unix_ts,iso_ts,index,clocks_gr_mhz,clocks_sm_mhz,clocks_mem_mhz,max_gr_mhz,power_w,power_limit_w,util_gpu_pct,memory_used_mib,temperature_c
1784295959.787603,2026-07-17T15:45:59+02:00,0, 210, 210, 405, 2040, 16.16, 72.00, 0, 0, 35
1784295964.924489,2026-07-17T15:46:04+02:00,0, 210, 210, 405, 2040, 16.16, 72.00, 0, 0, 35
1784295970.053168,2026-07-17T15:46:10+02:00,0, 990, 990, 6251, 2040, 20.72, 72.00, 0, 0, 36
1784295975.202416,2026-07-17T15:46:15+02:00,0, 990, 990, 6251, 2040, 38.60, 72.00, 100, 197, 41
1784295980.313462,2026-07-17T15:46:20+02:00,0, 990, 990, 6251, 2040, 38.60, 72.00, 100, 197, 42
1784295985.412604,2026-07-17T15:46:25+02:00,0, 990, 990, 6251, 2040, 38.65, 72.00, 100, 197, 43
1784295990.513722,2026-07-17T15:46:30+02:00,0, 990, 990, 6251, 2040, 38.94, 72.00, 100, 197, 44
1784295995.609352,2026-07-17T15:46:35+02:00,0, 990, 990, 6251, 2040, 38.80, 72.00, 100, 197, 45
1784296000.708395,2026-07-17T15:46:40+02:00,0, 990, 990, 6251, 2040, 38.90, 72.00, 100, 197, 45
1784296005.807589,2026-07-17T15:46:45+02:00,0, 990, 990, 6251, 2040, 38.98, 72.00, 100, 197, 46
