unix_ts,iso_ts,index,clocks_gr_mhz,clocks_sm_mhz,clocks_mem_mhz,max_gr_mhz,power_w,power_limit_w,util_gpu_pct,memory_used_mib,temperature_c
1784548031.992098,2026-07-20T13:47:12+02:00,1, 210, 210, 405, 2040, 15.92, 72.00, 0, 0, 35
1784548037.119064,2026-07-20T13:47:17+02:00,1, 210, 210, 405, 2040, 15.92, 72.00, 0, 0, 35
1784548042.231629,2026-07-20T13:47:22+02:00,1, 990, 990, 6251, 2040, 20.43, 72.00, 0, 0, 36
1784548047.362253,2026-07-20T13:47:27+02:00,1, 990, 990, 6251, 2040, 38.35, 72.00, 100, 197, 41
1784548052.471596,2026-07-20T13:47:32+02:00,1, 990, 990, 6251, 2040, 38.46, 72.00, 100, 197, 42
1784548057.574764,2026-07-20T13:47:37+02:00,1, 990, 990, 6251, 2040, 38.75, 72.00, 100, 197, 43
1784548062.684418,2026-07-20T13:47:42+02:00,1, 990, 990, 6251, 2040, 38.60, 72.00, 100, 197, 44
1784548067.785546,2026-07-20T13:47:47+02:00,1, 990, 990, 6251, 2040, 38.73, 72.00, 100, 197, 44
1784548072.889133,2026-07-20T13:47:52+02:00,1, 990, 990, 6251, 2040, 38.93, 72.00, 100, 197, 45
1784548077.993190,2026-07-20T13:47:57+02:00,1, 990, 990, 6251, 2040, 38.77, 72.00, 100, 197, 46
