unix_ts,iso_ts,index,name,clocks_sm_mhz,clocks_mem_mhz,power_w,util_gpu_pct,memory_used_mib,temperature_c
1784555089.106696,2026-07-20T15:44:49+02:00,0, NVIDIA L40S, 210, 405, 30.88, 0, 0, 22
1784555094.206193,2026-07-20T15:44:54+02:00,0, NVIDIA L40S, 210, 405, 30.89, 0, 0, 22
1784555099.304891,2026-07-20T15:44:59+02:00,0, NVIDIA L40S, 210, 405, 30.89, 0, 0, 22
1784555104.401873,2026-07-20T15:45:04+02:00,0, NVIDIA L40S, 210, 405, 31.01, 0, 0, 22
1784555109.501541,2026-07-20T15:45:09+02:00,0, NVIDIA L40S, 210, 405, 30.89, 0, 0, 22
1784555114.600244,2026-07-20T15:45:14+02:00,0, NVIDIA L40S, 210, 405, 30.87, 0, 0, 22
1784555119.701270,2026-07-20T15:45:19+02:00,0, NVIDIA L40S, 2520, 9001, 77.18, 0, 927, 24
1784555124.808324,2026-07-20T15:45:24+02:00,0, NVIDIA L40S, 2520, 9001, 77.31, 0, 14373, 25
1784555129.911625,2026-07-20T15:45:29+02:00,0, NVIDIA L40S, 2520, 9001, 76.55, 0, 14373, 25
1784555135.028752,2026-07-20T15:45:35+02:00,0, NVIDIA L40S, 2520, 9001, 81.32, 15, 14689, 26
1784555140.155962,2026-07-20T15:45:40+02:00,0, NVIDIA L40S, 2520, 9001, 206.69, 64, 41587, 34
1784555145.291436,2026-07-20T15:45:45+02:00,0, NVIDIA L40S, 2520, 9001, 75.46, 0, 41975, 27
1784555150.414829,2026-07-20T15:45:50+02:00,0, NVIDIA L40S, 2520, 9001, 75.45, 0, 41975, 27
1784555155.523504,2026-07-20T15:45:55+02:00,0, NVIDIA L40S, 2520, 9001, 75.09, 0, 41975, 27
1784555160.623778,2026-07-20T15:46:00+02:00,0, NVIDIA L40S, 2520, 9001, 75.31, 0, 41975, 27
1784555165.728727,2026-07-20T15:46:05+02:00,0, NVIDIA L40S, 2520, 9001, 75.21, 0, 41975, 28
1784555170.834538,2026-07-20T15:46:10+02:00,0, NVIDIA L40S, 2490, 9001, 222.87, 100, 41977, 34
1784555175.954246,2026-07-20T15:46:15+02:00,0, NVIDIA L40S, 2505, 9001, 250.23, 100, 41979, 37
1784555181.063637,2026-07-20T15:46:21+02:00,0, NVIDIA L40S, 2520, 9001, 260.41, 100, 42091, 38
1784555186.177415,2026-07-20T15:46:26+02:00,0, NVIDIA L40S, 2040, 9001, 258.31, 100, 42091, 44
1784555191.282887,2026-07-20T15:46:31+02:00,0, NVIDIA L40S, 2505, 9001, 267.42, 100, 42091, 42
1784555196.389199,2026-07-20T15:46:36+02:00,0, NVIDIA L40S, 2505, 9001, 281.04, 100, 42091, 44
1784555201.486085,2026-07-20T15:46:41+02:00,0, NVIDIA L40S, 2505, 9001, 280.43, 100, 42091, 45
1784555206.604522,2026-07-20T15:46:46+02:00,0, NVIDIA L40S, 2520, 9001, 259.12, 100, 42091, 45
1784555211.712209,2026-07-20T15:46:51+02:00,0, NVIDIA L40S, 2505, 9001, 289.51, 100, 42091, 47
1784555216.817354,2026-07-20T15:46:56+02:00,0, NVIDIA L40S, 2520, 9001, 273.69, 100, 42091, 50
1784555221.914114,2026-07-20T15:47:01+02:00,0, NVIDIA L40S, 2505, 9001, 272.69, 100, 42091, 48
1784555227.018177,2026-07-20T15:47:07+02:00,0, NVIDIA L40S, 2520, 9001, 269.91, 100, 42091, 48
1784555232.121678,2026-07-20T15:47:12+02:00,0, NVIDIA L40S, 2520, 9001, 248.79, 100, 42091, 49
1784555237.232114,2026-07-20T15:47:17+02:00,0, NVIDIA L40S, 2520, 9001, 79.90, 0, 42091, 42
1784555242.332585,2026-07-20T15:47:22+02:00,0, NVIDIA L40S, 2520, 9001, 79.31, 0, 42091, 41
1784555247.433393,2026-07-20T15:47:27+02:00,0, NVIDIA L40S, 2520, 9001, 79.07, 0, 42091, 40
1784555252.537099,2026-07-20T15:47:32+02:00,0, NVIDIA L40S, 2520, 9001, 180.40, 100, 42091, 44
1784555257.652490,2026-07-20T15:47:37+02:00,0, NVIDIA L40S, 2520, 9001, 245.62, 100, 42091, 46
1784555262.772144,2026-07-20T15:47:42+02:00,0, NVIDIA L40S, 2520, 9001, 256.05, 100, 42091, 47
1784555267.902151,2026-07-20T15:47:47+02:00,0, NVIDIA L40S, 2520, 9001, 247.04, 100, 42091, 48
1784555273.013346,2026-07-20T15:47:53+02:00,0, NVIDIA L40S, 2520, 9001, 262.67, 100, 42091, 49
1784555278.128472,2026-07-20T15:47:58+02:00,0, NVIDIA L40S, 2520, 9001, 264.56, 100, 42091, 49
1784555283.245877,2026-07-20T15:48:03+02:00,0, NVIDIA L40S, 2520, 9001, 259.49, 100, 42091, 50
1784555288.355992,2026-07-20T15:48:08+02:00,0, NVIDIA L40S, 2520, 9001, 256.76, 100, 42091, 50
1784555293.472439,2026-07-20T15:48:13+02:00,0, NVIDIA L40S, 2520, 9001, 281.06, 100, 42091, 52
1784555298.586536,2026-07-20T15:48:18+02:00,0, NVIDIA L40S, 2520, 9001, 268.58, 100, 42091, 52
1784555303.694979,2026-07-20T15:48:23+02:00,0, NVIDIA L40S, 2520, 9001, 258.47, 100, 42091, 52
1784555308.806857,2026-07-20T15:48:28+02:00,0, NVIDIA L40S, 2520, 9001, 260.07, 100, 42091, 52
1784555313.912121,2026-07-20T15:48:33+02:00,0, NVIDIA L40S, 2520, 9001, 250.44, 100, 42091, 52
1784555319.020655,2026-07-20T15:48:39+02:00,0, NVIDIA L40S, 2520, 9001, 81.88, 0, 42091, 46
1784555324.113218,2026-07-20T15:48:44+02:00,0, NVIDIA L40S, 2520, 9001, 81.39, 0, 42091, 44
1784555329.211579,2026-07-20T15:48:49+02:00,0, NVIDIA L40S, 2520, 9001, 80.14, 0, 42091, 43
1784555334.310699,2026-07-20T15:48:54+02:00,0, NVIDIA L40S, 2520, 9001, 251.36, 100, 42091, 48
1784555339.417214,2026-07-20T15:48:59+02:00,0, NVIDIA L40S, 2520, 9001, 256.60, 100, 42091, 49
1784555344.521864,2026-07-20T15:49:04+02:00,0, NVIDIA L40S, 2520, 9001, 261.19, 100, 42091, 50
1784555349.628755,2026-07-20T15:49:09+02:00,0, NVIDIA L40S, 2520, 9001, 252.47, 100, 42091, 50
1784555354.733795,2026-07-20T15:49:14+02:00,0, NVIDIA L40S, 2520, 9001, 260.19, 100, 42091, 51
1784555359.838639,2026-07-20T15:49:19+02:00,0, NVIDIA L40S, 2520, 9001, 259.58, 100, 42091, 51
1784555364.943791,2026-07-20T15:49:24+02:00,0, NVIDIA L40S, 2520, 9001, 259.03, 100, 42091, 52
1784555370.039450,2026-07-20T15:49:30+02:00,0, NVIDIA L40S, 2520, 9001, 270.62, 100, 42091, 52
1784555375.145435,2026-07-20T15:49:35+02:00,0, NVIDIA L40S, 2520, 9001, 260.79, 100, 42091, 53
1784555380.254866,2026-07-20T15:49:40+02:00,0, NVIDIA L40S, 2520, 9001, 266.08, 100, 42091, 53
1784555385.371371,2026-07-20T15:49:45+02:00,0, NVIDIA L40S, 2520, 9001, 260.79, 100, 42091, 53
1784555390.494429,2026-07-20T15:49:50+02:00,0, NVIDIA L40S, 2520, 9001, 260.77, 100, 42091, 54
1784555395.601325,2026-07-20T15:49:55+02:00,0, NVIDIA L40S, 2520, 9001, 257.93, 100, 42091, 54
1784555400.708281,2026-07-20T15:50:00+02:00,0, NVIDIA L40S, 2520, 9001, 83.02, 0, 42091, 48
1784555405.808212,2026-07-20T15:50:05+02:00,0, NVIDIA L40S, 2520, 9001, 82.19, 0, 42091, 46
1784555410.905836,2026-07-20T15:50:10+02:00,0, NVIDIA L40S, 2520, 9001, 81.61, 0, 42091, 44
1784555416.002353,2026-07-20T15:50:16+02:00,0, NVIDIA L40S, 2520, 9001, 188.13, 100, 42091, 49
1784555421.105375,2026-07-20T15:50:21+02:00,0, NVIDIA L40S, 2520, 9001, 253.78, 100, 42091, 50
1784555426.215029,2026-07-20T15:50:26+02:00,0, NVIDIA L40S, 2520, 9001, 262.85, 100, 42091, 51
1784555431.318771,2026-07-20T15:50:31+02:00,0, NVIDIA L40S, 2520, 9001, 254.93, 100, 42091, 52
1784555436.420618,2026-07-20T15:50:36+02:00,0, NVIDIA L40S, 2520, 9001, 268.17, 100, 42091, 52
1784555441.525815,2026-07-20T15:50:41+02:00,0, NVIDIA L40S, 2520, 9001, 266.99, 100, 42091, 53
