unix_ts,iso_ts,index,name,clocks_sm_mhz,clocks_mem_mhz,power_w,util_gpu_pct,memory_used_mib,temperature_c
1784557953.125369,2026-07-20T16:32:33+02:00,0, NVIDIA L40S, 210, 405, 30.87, 0, 0, 22
1784557958.228010,2026-07-20T16:32:38+02:00,0, NVIDIA L40S, 990, 9001, 60.01, 0, 0, 23
1784557963.325910,2026-07-20T16:32:43+02:00,0, NVIDIA L40S, 990, 9001, 60.01, 0, 0, 23
1784557968.422138,2026-07-20T16:32:48+02:00,0, NVIDIA L40S, 990, 9001, 60.35, 0, 0, 24
1784557973.518846,2026-07-20T16:32:53+02:00,0, NVIDIA L40S, 990, 9001, 60.26, 0, 0, 24
1784557978.625139,2026-07-20T16:32:58+02:00,0, NVIDIA L40S, 990, 9001, 60.35, 0, 0, 24
1784557983.727811,2026-07-20T16:33:03+02:00,0, NVIDIA L40S, 990, 9001, 60.26, 0, 0, 24
1784557988.826144,2026-07-20T16:33:08+02:00,0, NVIDIA L40S, 990, 9001, 62.14, 0, 503, 25
1784557993.927109,2026-07-20T16:33:13+02:00,0, NVIDIA L40S, 990, 9001, 64.49, 32, 14409, 25
1784557999.027078,2026-07-20T16:33:19+02:00,0, NVIDIA L40S, 990, 9001, 60.47, 0, 14373, 25
1784558004.141355,2026-07-20T16:33:24+02:00,0, NVIDIA L40S, 990, 9001, 60.35, 0, 14373, 25
1784558009.268720,2026-07-20T16:33:29+02:00,0, NVIDIA L40S, 990, 9001, 150.39, 55, 41383, 28
1784558014.387449,2026-07-20T16:33:34+02:00,0, NVIDIA L40S, 990, 9001, 61.33, 0, 41975, 27
1784558019.500609,2026-07-20T16:33:39+02:00,0, NVIDIA L40S, 990, 9001, 60.60, 0, 41975, 26
1784558024.605196,2026-07-20T16:33:44+02:00,0, NVIDIA L40S, 990, 9001, 60.72, 0, 41975, 26
1784558029.708249,2026-07-20T16:33:49+02:00,0, NVIDIA L40S, 990, 9001, 60.72, 0, 41975, 26
1784558034.818106,2026-07-20T16:33:54+02:00,0, NVIDIA L40S, 990, 9001, 60.61, 0, 41975, 26
1784558039.933159,2026-07-20T16:33:59+02:00,0, NVIDIA L40S, 990, 9001, 161.65, 0, 41977, 28
1784558045.038866,2026-07-20T16:34:05+02:00,0, NVIDIA L40S, 990, 9001, 189.80, 100, 41979, 32
1784558050.144938,2026-07-20T16:34:10+02:00,0, NVIDIA L40S, 990, 9001, 203.34, 100, 42091, 36
1784558055.251635,2026-07-20T16:34:15+02:00,0, NVIDIA L40S, 990, 9001, 189.24, 100, 42091, 34
1784558060.353045,2026-07-20T16:34:20+02:00,0, NVIDIA L40S, 990, 9001, 199.88, 100, 42091, 38
1784558065.458196,2026-07-20T16:34:25+02:00,0, NVIDIA L40S, 990, 9001, 198.19, 100, 42091, 37
1784558070.576872,2026-07-20T16:34:30+02:00,0, NVIDIA L40S, 990, 9001, 207.84, 100, 42091, 38
1784558075.674383,2026-07-20T16:34:35+02:00,0, NVIDIA L40S, 990, 9001, 200.15, 100, 42091, 39
1784558080.779886,2026-07-20T16:34:40+02:00,0, NVIDIA L40S, 990, 9001, 222.25, 100, 42091, 42
1784558085.882517,2026-07-20T16:34:45+02:00,0, NVIDIA L40S, 990, 9001, 207.55, 100, 42091, 42
1784558090.978305,2026-07-20T16:34:50+02:00,0, NVIDIA L40S, 990, 9001, 206.18, 100, 42091, 42
1784558096.075919,2026-07-20T16:34:56+02:00,0, NVIDIA L40S, 990, 9001, 193.21, 100, 42091, 40
1784558101.174836,2026-07-20T16:35:01+02:00,0, NVIDIA L40S, 990, 9001, 187.30, 100, 42091, 40
1784558106.270952,2026-07-20T16:35:06+02:00,0, NVIDIA L40S, 990, 9001, 62.40, 0, 42091, 36
1784558111.365915,2026-07-20T16:35:11+02:00,0, NVIDIA L40S, 990, 9001, 62.04, 0, 42091, 35
1784558116.458083,2026-07-20T16:35:16+02:00,0, NVIDIA L40S, 990, 9001, 61.67, 0, 42091, 34
