unix_ts,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784565863,21082711119,4851095626,0, 30.89, 210, 0
1784565865,21082851631,4851256290,0, 30.87, 210, 0
1784565867,21083146545,4851609922,0, 31.00, 210, 0
1784565869,21083462909,4851960442,0, 30.87, 210, 0
1784565871,21084252323,4852651944,0, 31.00, 210, 0
1784565873,21085645197,4853862724,0, 30.87, 210, 0
1784565875,21086148811,4854294606,0, 30.87, 210, 0
1784565877,21086851513,4854929494,0, 31.00, 210, 0
1784565879,21087244897,4855288482,0, 30.87, 210, 0
1784565881,21088064867,4856062086,0, 30.87, 210, 0
1784565883,21089333145,4857259263,0, 30.87, 210, 0
1784565885,21089793828,4857685923,0, 30.88, 210, 0
1784565888,21089909045,4857790059,0, 30.87, 210, 0
1784565890,21090118653,4857990127,0, 30.88, 210, 0
1784565892,21090384573,4858209021,0, 30.87, 210, 0
1784565894,21090541681,4858356655,0, 30.88, 210, 0
1784565896,21090975191,4858791503,0, 30.87, 210, 0
1784565898,21091548905,4859369323,1, 33.94, 2520, 435
1784565900,21092076475,4859910909,0, 77.28, 2520, 943
1784565902,21092933470,4860634732,11, 77.68, 2520, 14425
1784565904,21093125110,4860668071,10, 77.93, 2520, 14425
1784565906,21093126966,4860671297,11, 79.04, 2520, 14425
1784565908,21093128054,4860673589,10, 78.44, 2520, 14425
1784565910,21097471850,4860694465,0, 138.99, 2520, 14919
1784565913,21112088478,4860752591,0, 78.13, 2520, 14405
1784565915,21112089692,4860755173,0, 77.28, 2520, 14405
1784565917,21112091266,4860762609,0, 77.63, 2520, 14405
1784565919,21112093346,4860766157,0, 77.65, 2520, 14405
1784565921,21112094426,4860768801,0, 77.26, 2520, 14405
1784565923,21112095506,4860771501,0, 77.65, 2520, 14405
1784565925,21112452785,4860780799,0, 82.87, 2520, 37565
1784565927,21112888681,4861180335,0, 77.25, 2520, 37565
1784565929,21113089768,4861360809,0, 77.40, 2520, 37565
1784565931,21113183362,4861447010,0, 77.60, 2520, 37565
1784565933,21113189749,4861455314,0, 81.94, 2520, 37815
1784565935,21122757310,4863809674,0, 77.53, 2520, 37815
1784565938,21122759580,4863813833,0, 77.51, 2520, 37815
1784565940,21122761414,4863817755,0, 77.62, 2520, 37815
1784565942,21122763076,4863821606,0, 77.85, 2520, 37815
1784565944,21122765108,4863825513,0, 77.40, 2520, 37815
1784565946,21122767132,4863830963,42, 87.90, 2505, 37925
1784565948,21123018170,5004267512,0, 76.52, 2520, 37925
1784565950,21123021076,5004272677,0, 76.77, 2520, 37925
1784565952,21123148190,5074494289,0, 94.57, 2520, 37925
1784565954,21123402406,5214931112,0, 79.05, 2520, 37925
1784565956,21123651972,5355366460,0, 92.68, 2520, 37925
1784565958,21123901518,5495804702,0, 89.47, 2520, 37925
1784565960,21124026249,5566024979,0, 107.34, 2520, 37925
1784565963,21124271183,5706460431,0, 103.19, 2520, 37925
1784565965,21124513337,5846891195,0, 78.79, 2520, 37925
1784565967,21124656895,5924315238,46, 116.32, 2505, 37925
1784565969,21125004191,6127760726,0, 77.98, 2520, 37925
