proxy_start hostname=ganymede http=0.0.0.0:30403 registry=0.0.0.0:31403
registry_add role=decode http=10.1.0.3:33403 zmq=10.1.0.3:34403
registry_add role=prefill http=10.1.0.6:32403 zmq=10.1.0.6:34403
route count=0 request_id=___prefill_addr_10.1.0.6:34403___decode_addr_10.1.0.3:34403_2175b22994224699b0b5047475886231 prefill_http=10.1.0.6:32403 decode_http=10.1.0.3:33403
route count=1 request_id=___prefill_addr_10.1.0.6:34403___decode_addr_10.1.0.3:34403_d95a3495c5a440f28be1b1fd7d25e7c7 prefill_http=10.1.0.6:32403 decode_http=10.1.0.3:33403
route count=2 request_id=___prefill_addr_10.1.0.6:34403___decode_addr_10.1.0.3:34403_f96b9247f67a4969a0dff0dbdbcdbd82 prefill_http=10.1.0.6:32403 decode_http=10.1.0.3:33403
route count=3 request_id=___prefill_addr_10.1.0.6:34403___decode_addr_10.1.0.3:34403_9318a9484f9d4209a9c4e54d5a3ae992 prefill_http=10.1.0.6:32403 decode_http=10.1.0.3:33403
route count=4 request_id=___prefill_addr_10.1.0.6:34403___decode_addr_10.1.0.3:34403_c6157c51ac2e4db6a98a69c7867dbe55 prefill_http=10.1.0.6:32403 decode_http=10.1.0.3:33403
route count=5 request_id=___prefill_addr_10.1.0.6:34403___decode_addr_10.1.0.3:34403_c4d8d64d19a2492082c963c9903db848 prefill_http=10.1.0.6:32403 decode_http=10.1.0.3:33403
route count=6 request_id=___prefill_addr_10.1.0.6:34403___decode_addr_10.1.0.3:34403_1f40bd9050bc4919bf592bd70a1eb67c prefill_http=10.1.0.6:32403 decode_http=10.1.0.3:33403
route count=7 request_id=___prefill_addr_10.1.0.6:34403___decode_addr_10.1.0.3:34403_3ebf83536988486e8a9005799a7e1e23 prefill_http=10.1.0.6:32403 decode_http=10.1.0.3:33403
route count=8 request_id=___prefill_addr_10.1.0.6:34403___decode_addr_10.1.0.3:34403_c4c4c69b11674288871d02b6c30c8b34 prefill_http=10.1.0.6:32403 decode_http=10.1.0.3:33403
route count=9 request_id=___prefill_addr_10.1.0.6:34403___decode_addr_10.1.0.3:34403_39c8f0fca58c4e02b367847beea68e70 prefill_http=10.1.0.6:32403 decode_http=10.1.0.3:33403
route count=10 request_id=___prefill_addr_10.1.0.6:34403___decode_addr_10.1.0.3:34403_685f1d1838fd48e2ae266024769353a4 prefill_http=10.1.0.6:32403 decode_http=10.1.0.3:33403
