gpu_type,phase,slo_ms,target,p_th,rho_th,false_safe,false_unsafe,true_safe,true_unsafe,unsafe_support,safe_support,false_safe_rate_pct,false_unsafe_rate_pct,safe_precision_pct,admit_rate_pct
l4,prefill,200,p99_ttft,0.5,1.0,7,14,47,134,141,61,4.96,22.95,87.04,26.73
l4,prefill,200,p99_ttft,0.5,0.9,7,14,47,134,141,61,4.96,22.95,87.04,26.73
l4,prefill,200,p99_ttft,0.5,0.8,6,14,47,135,141,61,4.26,22.95,88.68,26.24
l4,prefill,200,p99_ttft,0.5,0.7,6,14,47,135,141,61,4.26,22.95,88.68,26.24
l4,prefill,200,p99_ttft,0.5,0.6,5,15,46,136,141,61,3.55,24.59,90.2,25.25
l4,prefill,200,p99_ttft,0.5,0.5,4,15,46,137,141,61,2.84,24.59,92.0,24.75
l4,prefill,200,p99_ttft,0.5,0.4,2,16,45,139,141,61,1.42,26.23,95.74,23.27
l4,prefill,200,p99_ttft,0.5,0.3,2,16,45,139,141,61,1.42,26.23,95.74,23.27
l4,prefill,200,p99_ttft,0.5,0.2,1,29,32,140,141,61,0.71,47.54,96.97,16.34
l4,prefill,200,p99_ttft,0.5,0.1,0,45,16,141,141,61,0.0,73.77,100.0,7.92
l4,prefill,200,p99_ttft,0.4,1.0,6,17,44,135,141,61,4.26,27.87,88.0,24.75
l4,prefill,200,p99_ttft,0.4,0.9,6,17,44,135,141,61,4.26,27.87,88.0,24.75
l4,prefill,200,p99_ttft,0.4,0.8,5,17,44,136,141,61,3.55,27.87,89.8,24.26
l4,prefill,200,p99_ttft,0.4,0.7,5,17,44,136,141,61,3.55,27.87,89.8,24.26
l4,prefill,200,p99_ttft,0.4,0.6,4,18,43,137,141,61,2.84,29.51,91.49,23.27
l4,prefill,200,p99_ttft,0.4,0.5,3,18,43,138,141,61,2.13,29.51,93.48,22.77
l4,prefill,200,p99_ttft,0.4,0.4,1,19,42,140,141,61,0.71,31.15,97.67,21.29
l4,prefill,200,p99_ttft,0.4,0.3,1,19,42,140,141,61,0.71,31.15,97.67,21.29
l4,prefill,200,p99_ttft,0.4,0.2,0,29,32,141,141,61,0.0,47.54,100.0,15.84
l4,prefill,200,p99_ttft,0.4,0.1,0,45,16,141,141,61,0.0,73.77,100.0,7.92
l4,prefill,200,p99_ttft,0.3,1.0,3,19,42,138,141,61,2.13,31.15,93.33,22.28
l4,prefill,200,p99_ttft,0.3,0.9,3,19,42,138,141,61,2.13,31.15,93.33,22.28
l4,prefill,200,p99_ttft,0.3,0.8,2,19,42,139,141,61,1.42,31.15,95.45,21.78
l4,prefill,200,p99_ttft,0.3,0.7,2,19,42,139,141,61,1.42,31.15,95.45,21.78
l4,prefill,200,p99_ttft,0.3,0.6,1,20,41,140,141,61,0.71,32.79,97.62,20.79
l4,prefill,200,p99_ttft,0.3,0.5,1,20,41,140,141,61,0.71,32.79,97.62,20.79
l4,prefill,200,p99_ttft,0.3,0.4,1,21,40,140,141,61,0.71,34.43,97.56,20.3
l4,prefill,200,p99_ttft,0.3,0.3,1,21,40,140,141,61,0.71,34.43,97.56,20.3
l4,prefill,200,p99_ttft,0.3,0.2,0,30,31,141,141,61,0.0,49.18,100.0,15.35
l4,prefill,200,p99_ttft,0.3,0.1,0,45,16,141,141,61,0.0,73.77,100.0,7.92
l4,prefill,200,p99_ttft,0.2,1.0,3,23,38,138,141,61,2.13,37.7,92.68,20.3
l4,prefill,200,p99_ttft,0.2,0.9,3,23,38,138,141,61,2.13,37.7,92.68,20.3
l4,prefill,200,p99_ttft,0.2,0.8,2,23,38,139,141,61,1.42,37.7,95.0,19.8
l4,prefill,200,p99_ttft,0.2,0.7,2,23,38,139,141,61,1.42,37.7,95.0,19.8
l4,prefill,200,p99_ttft,0.2,0.6,1,24,37,140,141,61,0.71,39.34,97.37,18.81
l4,prefill,200,p99_ttft,0.2,0.5,1,24,37,140,141,61,0.71,39.34,97.37,18.81
l4,prefill,200,p99_ttft,0.2,0.4,1,24,37,140,141,61,0.71,39.34,97.37,18.81
