gpu_type,phase,slo_ms,sample_idx,target,p_violate_oof,rho_phase_oof,actual_unsafe
l40s,prefill,200,0,p99_ttft,0.0218814391478039,0.0036940924547620045,0
l40s,prefill,200,1,p99_ttft,0.012629657655540822,0.036940924547620047,0
l40s,prefill,200,2,p99_ttft,0.4388014592509911,0.1847046227381002,0
l40s,prefill,200,3,p99_ttft,0.02039725369821272,0.005115330243567623,0
l40s,prefill,200,4,p99_ttft,0.009014367411480267,0.051153302435676236,0
l40s,prefill,200,5,p99_ttft,0.2637054328893077,0.25576651217838114,1
l40s,prefill,200,6,p99_ttft,0.018328893111933562,0.006983573195211303,0
l40s,prefill,200,7,p99_ttft,0.016905804106784127,0.06983573195211303,0
l40s,prefill,200,8,p99_ttft,0.9821569931587368,0.3491786597605651,1
l40s,prefill,200,9,p99_ttft,0.010775988563740211,0.011547547955512915,0
l40s,prefill,200,10,p99_ttft,0.20932782906748415,0.11547547955512914,0
l40s,prefill,200,11,p99_ttft,0.988826292174715,0.5773773977756458,1
l40s,prefill,200,12,p99_ttft,0.04842783199625079,0.013635283552267377,0
l40s,prefill,200,13,p99_ttft,0.09619467139238765,0.13635283552267377,0
l40s,prefill,200,14,p99_ttft,0.9021417377464734,0.6817641776133689,0
l40s,prefill,200,15,p99_ttft,0.02039725369821272,0.015720210014329578,0
l40s,prefill,200,16,p99_ttft,0.13035750984294608,0.15720210014329578,0
l40s,prefill,200,17,p99_ttft,0.8467910974733998,0.7860105007164788,1
l40s,prefill,200,18,p99_ttft,0.012414637777174475,0.028243292258707683,0
l40s,prefill,200,19,p99_ttft,0.3570487313411614,0.28243292258707686,0
l40s,prefill,200,20,p99_ttft,0.9861688248061643,1.4121646129353842,1
l40s,prefill,200,21,p99_ttft,0.01342235246308087,0.0452725663019745,0
l40s,prefill,200,22,p99_ttft,0.9694651921624566,0.45272566301974504,0
l40s,prefill,200,23,p99_ttft,0.9748094055452579,2.263628315098725,1
l40s,prefill,200,24,p99_ttft,0.07125435579161948,0.04132360836686409,0
l40s,prefill,200,25,p99_ttft,0.6387547830125629,0.41323608366864095,1
l40s,prefill,200,26,p99_ttft,0.9394014549005766,2.0661804183432047,1
