unix_ts,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784634514,21146920768,6132055260,0, 45.01, 480, 0
1784634516,21146996195,6132134021,0, 58.84, 480, 0
1784634518,21147274535,6132472005,0, 58.84, 480, 0
1784634520,21147675141,6132891097,0, 58.88, 480, 0
1784634522,21148115307,6133290121,0, 58.89, 480, 0
1784634524,21150098155,6135007901,0, 58.89, 480, 0
1784634527,21150831375,6135660819,0, 58.89, 480, 0
1784634529,21151857159,6136575423,0, 58.88, 480, 0
1784634531,21152320373,6136985043,0, 58.84, 480, 0
1784634533,21153116721,6137688193,0, 58.89, 480, 0
1784634535,21153772209,6138267725,0, 58.84, 480, 0
1784634537,21154190208,6138624902,0, 58.89, 480, 0
1784634539,21154309816,6138723936,0, 58.89, 480, 0
1784634541,21154621154,6139006402,0, 58.89, 480, 0
1784634543,21155110008,6139445496,0, 58.89, 480, 0
1784634545,21155764138,6140030750,0, 59.01, 480, 0
1784634547,21156178692,6140408320,0, 58.89, 480, 0
1784634549,21156387418,6140599846,0, 59.01, 480, 0
1784634551,21156734962,6140917222,0, 59.01, 480, 0
1784634554,21157080464,6141245130,0, 59.11, 480, 943
1784634556,21157623007,6141731927,6, 59.44, 480, 14425
1784634558,21157688568,6141773688,8, 60.24, 480, 14425
1784634560,21157690616,6141777022,10, 60.13, 480, 14425
