unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784713082,0,360,24519809034,7536418979,0, 16.16, 210, 0
1784713084,0,360,24519950696,7536587869,0, 16.25, 360, 0
1784713087,0,360,24520423270,7537161525,0, 16.25, 360, 0
1784713089,0,360,24520997648,7537683163,0, 16.25, 360, 0
1784713091,0,360,24522867992,7539308987,0, 16.25, 360, 0
1784713093,0,360,24523342086,7539716833,0, 16.25, 360, 0
1784713095,0,360,24523990706,7540303519,0, 16.25, 360, 0
1784713097,0,360,24524728032,7540984677,0, 16.25, 360, 0
1784713099,0,360,24525790106,7541993605,0, 16.25, 360, 0
1784713101,0,360,24526457467,7542617459,0, 16.25, 360, 0
1784713104,0,360,24526915974,7543043532,0, 16.25, 360, 0
1784713106,0,360,24527069366,7543185612,0, 16.25, 360, 0
1784713108,0,360,24527295434,7543391962,0, 16.25, 360, 0
1784713110,0,360,24527523750,7543581576,0, 16.30, 360, 0
1784713112,0,360,24527673452,7543727412,0, 16.25, 360, 0
1784713114,0,360,24529069038,7545126216,0, 18.87, 360, 225
1784713116,0,360,24529761842,7545805028,0, 20.14, 360, 14147
1784713118,0,360,24529993388,7546004390,9, 20.68, 360, 14147
1784713121,0,360,24529995244,7546007592,8, 20.65, 360, 14147
1784713123,0,360,24529997066,7546014996,9, 20.67, 360, 14147
1784713125,0,360,24529998558,7546018004,0, 20.29, 360, 14111
1784713127,0,360,24530001282,7546025755,100, 34.35, 360, 14639
1784713129,0,360,24530002742,7546029951,0, 21.04, 360, 14127
1784713131,0,360,24530014093,7546042281,0, 20.24, 360, 14127
1784713133,0,360,24530017320,7546053853,0, 20.14, 360, 14127
1784713135,0,360,24530019326,7546057411,0, 20.19, 360, 14127
1784713138,0,360,24530020537,7546060193,0, 20.14, 360, 14127
1784713140,0,360,24530022068,7546064893,0, 20.23, 360, 14127
1784713142,0,360,24530023518,7546067729,0, 20.31, 360, 14153
1784713144,0,360,24530102472,7546141013,0, 22.48, 360, 18471
1784713146,0,360,24530470779,7546503693,0, 20.23, 360, 18471
1784713148,0,360,24530609742,7546623254,0, 20.23, 360, 18471
1784713151,0,360,24530616386,7546633216,0, 20.23, 360, 18471
1784713153,0,360,24530618091,7546645724,18, 22.14, 360, 18663
1784713155,1,360,24532973318,7546797870,0, 23.99, 360, 18663
1784713157,1,360,24533271772,7547043688,51, 21.20, 360, 19020
1784713159,1,360,24533450609,7547204492,0, 30.19, 360, 19020
1784713161,1,360,24533461448,7547220114,0, 20.25, 360, 18663
1784713163,1,360,24533469327,7547235754,0, 20.23, 360, 18663
1784713165,1,360,24533473514,7547242712,0, 20.24, 360, 18663
1784713168,1,360,24533477954,7547249984,0, 20.23, 360, 18663
1784713170,1,360,24533482577,7547257132,0, 20.23, 360, 18663
1784713172,1,360,24533486830,7547264340,0, 20.23, 360, 18663
1784713174,1,360,24533490922,7547273000,0, 20.24, 360, 18663
1784713176,1,360,24533495175,7547280398,0, 20.24, 360, 18663
1784713178,1,360,24533499440,7547287978,0, 20.23, 360, 18663
1784713180,1,360,24533503628,7547295298,0, 20.24, 360, 18663
1784713182,1,360,24533507815,7547302744,0, 20.24, 360, 18663
1784713185,1,360,24533512068,7547310386,0, 20.23, 360, 18663
1784713187,1,360,24533516731,7547318276,0, 20.23, 360, 18663
1784713189,1,360,24533521610,7547331064,0, 20.23, 360, 18663
1784713191,1,360,24533527731,7547340098,0, 20.23, 360, 18663
1784713193,1,360,24533534438,7547351014,0, 20.23, 360, 18663
1784713195,1,360,24533538560,7547358894,0, 20.23, 360, 18663
1784713197,1,360,24533571877,7547395880,0, 20.23, 360, 18663
1784713199,1,360,24533884894,7547654330,0, 20.23, 360, 18663
1784713202,1,360,24534227308,7547952226,0, 20.28, 360, 18663
1784713204,1,360,24534835029,7548440596,0, 20.33, 360, 18663
1784713206,1,360,24535311510,7548826482,0, 20.33, 360, 18663
1784713208,1,360,24535593857,7549068334,0, 20.33, 360, 18663
1784713210,1,360,24536350889,7549783836,0, 20.24, 360, 18663
1784713212,1,360,24537102714,7550503024,0, 20.29, 360, 18663
1784713214,1,360,24537791270,7551140134,0, 20.33, 360, 18663
1784713216,1,360,24542280081,7551233094,73, 52.91, 360, 18665
1784713219,1,360,24546687646,7551254360,100, 54.97, 360, 18669
1784713221,1,360,24564304281,7551319331,100, 52.31, 360, 18677
1784713223,1,360,24573113005,7551351640,100, 52.27, 360, 18677
1784713225,1,360,24577520778,7551381389,100, 55.88, 360, 18677
1784713227,1,360,24581927518,7551398362,100, 50.95, 360, 18677
1784713229,1,360,24590737591,7551437613,100, 52.38, 360, 18677
1784713231,2,780,24595144318,7551454067,0, 30.58, 360, 18677
1784713234,2,780,24595234118,7551557203,0, 20.91, 780, 18677
1784713236,2,780,24595651829,7551903181,99, 45.37, 780, 19034
1784713238,2,780,24595658349,7551910121,0, 21.21, 780, 18677
1784713240,2,780,24595708928,7551971451,0, 20.91, 780, 18677
1784713242,2,780,24595845627,7552095287,0, 20.82, 780, 18677
1784713244,2,780,24596091261,7552313507,0, 20.82, 780, 18677
1784713246,2,780,24596269198,7552460813,0, 20.82, 780, 18677
1784713248,2,780,24597049379,7553240664,0, 20.82, 780, 18677
1784713250,2,780,24597662516,7553861048,0, 20.82, 780, 18677
1784713253,2,780,24597912306,7554096760,100, 24.95, 780, 18757
1784713255,2,780,24668142412,7554196928,100, 57.69, 780, 18757
1784713257,2,780,24668147805,7554203686,100, 57.81, 780, 18757
1784713259,2,780,24668151926,7554209252,100, 57.79, 780, 18757
1784713261,2,780,24668156004,7554218974,100, 34.43, 780, 18757
1784713263,2,780,24808612627,7554498836,100, 54.91, 780, 18937
1784713265,2,780,25019301403,7554923300,100, 55.80, 780, 19137
