unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784816278,0,2040,32384951660,8519216818,0, 16.38, 210, 0
1784816280,0,2040,32385271180,8519605400,0, 27.75, 2040, 0
1784816283,0,2040,32385691004,8520074724,0, 27.89, 2040, 0
1784816285,0,2040,32387611836,8521750162,0, 27.79, 2040, 0
1784816287,0,2040,32388848050,8522838014,0, 27.74, 2040, 0
1784816289,0,2040,32389649490,8523572198,0, 27.90, 2040, 0
1784816291,0,2040,32391390412,8525207372,0, 27.90, 2040, 0
1784816293,0,2040,32392009764,8525779977,0, 27.94, 2040, 0
1784816295,0,2040,32392145972,8525902117,0, 27.99, 2040, 0
1784816297,0,2040,32392614232,8526315543,0, 28.00, 2040, 0
1784816300,0,2040,32392762822,8526457695,0, 28.00, 2040, 0
