unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784816592,0,2040,32402952156,8534427982,0, 16.38, 210, 0
1784816594,0,2040,32403052536,8534547861,0, 27.98, 2040, 0
1784816597,0,2040,32403887214,8535470149,0, 27.94, 2040, 0
1784816599,0,2040,32406198904,8537471657,0, 27.94, 2040, 0
1784816601,0,2040,32407198766,8538370553,0, 28.14, 2040, 0
1784816603,0,2040,32408605386,8539687709,0, 28.18, 2040, 0
1784816605,0,2040,32409610315,8540624337,0, 28.03, 2040, 0
1784816607,0,2040,32410070378,8541051324,0, 28.14, 2040, 0
1784816609,0,2040,32410346742,8541315016,0, 28.23, 2040, 0
1784816611,0,2040,32410791388,8541698798,0, 28.04, 2040, 0
1784816613,0,2040,32412045884,8542957978,3, 29.30, 2040, 227
1784816616,0,2040,32413001400,8543890686,0, 28.38, 2040, 14147
1784816618,0,2040,32413190990,8544055000,10, 29.25, 2040, 14147
1784816620,0,2040,32413192846,8544057942,11, 29.42, 2040, 14147
1784816622,0,2040,32413193860,8544059904,0, 29.02, 2040, 14147
1784816624,0,2040,32413197542,8544070800,0, 48.41, 2040, 14127
1784816626,0,2040,32413208696,8544082622,0, 28.24, 2040, 14127
1784816628,0,2040,32413210704,8544091550,0, 28.48, 2040, 14127
1784816630,0,2040,32413211718,8544093764,0, 28.23, 2040, 14127
1784816633,0,2040,32413213178,8544098076,0, 28.52, 2040, 14127
1784816635,0,2040,32413214258,8544100484,0, 28.99, 2040, 14179
1784816637,0,2040,32413292142,8544170572,0, 32.09, 2040, 18471
1784816639,0,2040,32413676361,8544551549,0, 28.51, 2040, 18471
1784816641,0,2040,32413798309,8544652913,0, 28.33, 2040, 18471
1784816643,0,2040,32413800263,8544667083,0, 28.56, 2040, 18471
1784816645,0,2040,32413801403,8544669859,0, 28.42, 2040, 18471
1784816647,0,2040,32413802483,8544672643,0, 28.43, 2040, 18471
1784816650,0,2040,32413804371,8544679425,0, 28.62, 2040, 18471
1784816652,0,2040,32413805451,8544682337,0, 28.32, 2040, 18471
1784816654,0,2040,32413806911,8544687495,0, 28.61, 2040, 18471
1784816656,0,2040,32413810031,8544692228,0, 28.61, 2040, 18471
1784816658,0,2040,32413812050,8544698582,0, 28.48, 2040, 18471
1784816660,0,2040,32413813130,8544701746,0, 28.62, 2040, 18471
1784816662,0,2040,32413817023,8544711256,10, 28.69, 2040, 18615
1784816664,1,2040,32416245526,8544941868,0, 34.90, 2040, 18663
1784816667,1,2040,32416670068,8545292184,99, 71.23, 1155, 19020
1784816669,1,2040,32416675065,8545309192,0, 29.21, 2040, 18663
1784816671,1,2040,32416698270,8545333546,0, 28.91, 2040, 18663
1784816673,1,2040,32416702326,8545340540,0, 28.67, 2040, 18663
1784816675,1,2040,32416707501,8545353882,0, 28.60, 2040, 18663
1784816677,1,2040,32416711688,8545361066,0, 28.71, 2040, 18663
1784816679,1,2040,32416716304,8545371142,0, 28.80, 2040, 18663
1784816681,1,2040,32416720557,8545378520,0, 28.86, 2040, 18663
1784816684,1,2040,32416725128,8545386278,0, 28.76, 2040, 18663
1784816686,1,2040,32416731293,8545397358,0, 28.67, 2040, 18663
1784816688,1,2040,32417483497,8546241246,0, 28.61, 2040, 18663
1784816690,1,2040,32417486504,8546249636,0, 28.61, 2040, 18663
1784816692,1,2040,32417488231,8546254264,0, 28.56, 2040, 18663
1784816694,1,2040,32417489827,8546258952,0, 28.85, 2040, 18663
1784816696,1,2040,32417492086,8546263968,0, 28.90, 2040, 18663
1784816698,1,2040,32417494125,8546269174,0, 28.85, 2040, 18663
1784816701,1,2040,32417498176,8546280470,0, 28.91, 2040, 18663
1784816703,1,2040,32417499954,8546285542,0, 28.91, 2040, 18663
1784816705,1,2040,32417502043,8546291758,0, 28.90, 2040, 18663
1784816707,1,2040,32417533310,8546326134,0, 28.90, 2040, 18663
1784816709,1,2040,32418263404,8546969602,0, 28.99, 2040, 18663
1784816711,1,2040,32419120849,8547725538,0, 28.90, 2040, 18663
1784816713,1,2040,32420662110,8549071468,0, 28.85, 2040, 18663
1784816715,1,2040,32421678043,8549978702,0, 28.80, 2040, 18663
1784816718,1,2040,32423208830,8551421657,0, 28.81, 2040, 18663
1784816720,1,2040,32423807135,8551976613,100, 44.29, 1635, 18803
1784816722,1,2040,32564226643,8552211333,100, 72.01, 1590, 18803
1784816724,1,2040,32564228239,8552216975,100, 71.97, 1545, 18803
1784816726,1,2040,32564231626,8552229589,100, 72.03, 1515, 18803
1784816728,1,2040,32564233981,8552236057,100, 70.10, 1485, 18883
1784816730,1,2040,32845063637,8552709851,99, 71.87, 1530, 19303
1784816732,1,2040,33266307495,8553406206,100, 71.91, 1530, 19563
1784816735,1,2040,33547133763,8553859658,100, 72.02, 1530, 19703
1784816737,1,2040,33687546967,8554092542,99, 71.84, 1545, 19703
1784816739,1,2040,34078068262,8554732336,100, 72.11, 1545, 19703
1784816741,1,2040,34249200551,8555024263,100, 72.12, 1590, 19703
1784816743,1,2040,34249202212,8555026327,100, 72.04, 1620, 19703
1784816745,1,2040,34249205541,8555039465,100, 72.11, 1695, 19703
