unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784816592,0,1245,23770750756,15107162268,0, 31.12, 210, 0
1784816594,0,1245,23770921325,15107355552,0, 61.45, 1245, 0
1784816596,0,1245,23771201299,15107690994,0, 61.33, 1245, 0
1784816598,0,1245,23771483235,15108008266,0, 61.45, 1245, 0
1784816601,0,1245,23772223325,15108657982,0, 61.45, 1245, 0
1784816603,0,1245,23773811339,15110038806,0, 61.33, 1245, 0
1784816605,0,1245,23774256275,15110420384,0, 61.70, 1245, 0
1784816607,0,1245,23774919301,15111019854,0, 61.45, 1245, 0
1784816609,0,1245,23775295485,15111364466,0, 61.45, 1245, 0
1784816611,0,1245,23776148279,15112166046,0, 61.45, 1245, 0
1784816613,0,1245,23776949079,15112926918,0, 61.57, 1245, 0
1784816615,0,1245,23777454993,15113391876,0, 61.45, 1245, 0
1784816617,0,1245,23777876321,15113789186,0, 61.57, 1245, 0
1784816619,0,1245,23778034697,15113936700,0, 61.57, 1245, 0
1784816621,0,1245,23778270687,15114149398,0, 61.57, 1245, 0
1784816623,0,1245,23778478633,15114322012,0, 61.57, 1245, 0
1784816625,0,1245,23778913395,15114751842,0, 61.57, 1245, 0
1784816628,0,1245,23779912311,15115753978,0, 61.57, 1245, 0
1784816630,0,1245,23780471819,15116313208,1, 61.95, 1245, 943
1784816632,0,1245,23780930025,15116733839,10, 62.07, 1245, 14425
1784816634,0,1245,23780946743,15116746904,7, 62.91, 1245, 14425
1784816636,0,1245,23780948665,15116750210,11, 62.93, 1245, 14425
1784816638,0,1245,23780949879,15116752840,8, 62.75, 1245, 14425
1784816640,0,1245,23780951865,15116759676,100, 100.68, 1245, 14917
1784816642,0,1245,23780963521,15116772130,0, 61.82, 1245, 14405
1784816644,0,1245,23780965229,15116779860,0, 61.33, 1245, 14405
1784816646,0,1245,23780967235,15116783550,0, 61.33, 1245, 14405
1784816648,0,1245,23780968389,15116786452,0, 61.45, 1245, 14405
1784816650,0,1245,23780969469,15116789364,0, 61.45, 1245, 14405
1784816653,0,1245,23780970549,15116792340,0, 61.33, 1245, 14405
1784816655,0,1245,23780973285,15116796936,48, 66.37, 1245, 37565
1784816657,0,1245,23781050572,15116867378,0, 61.37, 1245, 37565
1784816659,0,1245,23781399736,15117213576,0, 61.57, 1245, 37565
1784816661,0,1245,23781533738,15117323568,0, 61.57, 1245, 37565
1784816663,0,1245,23781561776,15117352397,0, 62.45, 1245, 37815
1784816665,0,1245,23781692466,15119671753,0, 61.60, 1245, 37815
