unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1784840946.210411818,0,480,23804061048,19868093976,0, 31.13, 210, 0, 0, 350.00, 405, 23, 46068, P0
1784840946.792469917,0,480,23804061048,19868093976,0, 31.13, 210, 0, 0, 350.00, 405, 23, 46068, P0
1784840947.374285741,0,480,23804113133,19868144459,0, 44.95, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840947.957823088,0,480,23804113133,19868144459,0, 58.72, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840948.541309784,0,480,23804203897,19868256735,0, 58.72, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840949.124313627,0,480,23804376367,19868464425,0, 58.64, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840949.705469375,0,480,23804376367,19868464425,0, 58.64, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840950.287370790,0,480,23804508587,19868623905,0, 58.59, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840950.870494198,0,480,23804508587,19868623905,0, 58.59, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840951.452560599,0,480,23804647415,19868796021,0, 58.59, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840952.037207645,0,480,23804647415,19868796021,0, 58.59, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840952.618262554,0,480,23804832305,19868983407,0, 58.59, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840953.200035487,0,480,23805129939,19869250555,0, 58.54, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840953.778747413,0,480,23805129939,19869250555,0, 58.54, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840954.359668810,0,480,23806009393,19870017531,0, 58.67, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840954.942725602,0,480,23806009393,19870017531,0, 58.72, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840955.524513366,0,480,23806629133,19870557767,0, 58.72, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840956.106972891,0,480,23806629133,19870557767,0, 58.64, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840956.689232461,0,480,23807134371,19871001539,0, 58.64, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840957.272956121,0,480,23807255631,19871101371,0, 58.64, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840957.853216140,0,480,23807255631,19871101371,0, 58.59, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1784840958.434962004,0,480,23807518731,19871335049,0, 58.59, 480, 0, 0, 350.00, 9001, 24, 46068, P0
