proxy_start hostname=ganymede http=0.0.0.0:30014 registry=0.0.0.0:31014
registry_add role=decode http=10.1.0.3:33014 zmq=10.1.0.3:34014
registry_add role=prefill http=10.1.0.6:32014 zmq=10.1.0.6:34014
route count=0 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_96f4e502609048a69cb0a3d617014742 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=1 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_73720195860a4dec86f600d7b25e3c2e prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=2 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_90e5ae0ddc134b63b7b82ed48f808145 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=3 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_251be531e9184be498342b69b2a46383 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=4 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_148920db80634e53a550fd49dc45f6f4 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=5 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_12152a9f990942a684db8b279bde9b82 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=6 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_9fc38ca76f034ccc891ad9e95238116b prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=7 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_aa41886577294af5b23ce0a23a2787b1 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=8 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_453c71e630c446ce97708af9f62d5588 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=9 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_582ea34da0b348a3b8bb9e09ace7604c prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=10 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_aad0ab43fa4a4aa182ec9eccd923b334 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=11 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_6ffca1afd9274e9abcc1919a1c6d203c prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=12 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_896179d8ee964b67aa189f09a9dc9621 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=13 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_7138c91a20434e4fafaef3db5f41a909 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=14 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_0646d4d3cb554fc68af3c1e3f66e55ee prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=15 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_ef454e5c362c4b70ad458168c6c3c2e5 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=16 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_f18efce1b2d04432bada855af3906691 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=17 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_74347a4f8fe54d5fb9daf7a245043c52 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=18 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_273e385ed8764a9bad849c9fe1e67bd6 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=19 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_dcc26857c0ab401bae445d58ad04129f prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=20 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_9fb283f64cd547ef8135b5ebe9b5a0ee prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=21 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_0f8467709f2348ad995d6b7cfec93450 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=22 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_390ad809973842e28b58d5abf0a7fc8c prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=23 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_333cbdcff1ad49e691c289f457a6212f prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=24 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_f7aa6c0c96de44f4ae6d6b39dd001536 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=25 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_1148f76f5d324b2bafb842efee1f354e prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=26 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_8582997bd84b47349e5c3eafa9c8b8c7 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=27 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_66565a0f512745018e103009be343c57 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=28 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_d0ab27fafda54cbb9fbebcbc12ee39d4 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=29 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_c21185a9e7194e47a13bcc20330af12d prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=30 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_d993382c04e64cf4be8db331cacdc539 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=31 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_a347aeea1831455086782afacbdadca7 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=32 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_29678c0de92e4cfd96be727ae923604d prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=33 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_31ba418260c5432099a88d87d7f65751 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=34 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_58d669e3ee444767b1a6875a521ab0b7 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=35 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_9aecdbb78875422ea7776c0f06b859d8 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=36 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_ac1946cb23c040809cd6133dd1db966c prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=37 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_cb2f37971d7844acb0d1f4502b85ec31 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=38 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_053375172b2849e0a1f58a71324f6779 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=39 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_f4b34371acbe4c54b205d32421a4c6ba prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=40 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_8712aabf96d94f7eb19990c8332a85be prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=41 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_1658f137af6446ed81675df4dbe806cd prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=42 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_027cf10a5e9149eeac6bed967c72d9a1 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=43 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_a743d2280cad485fb0e125b6eef3863b prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=44 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_300939d7454e4a00bb8eee26af155a72 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=45 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_841dcee57835410c87a0cd1ada80ca63 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=46 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_577e5e5e41ec40adb36aacbf747ed228 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=47 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_34448a8475474693b44eee6986a43437 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=48 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_8353e00aba6c4de1a50aa093037513e7 prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=49 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_1ac7b78aa9e846489d14792965d6771f prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=50 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_6e998c280ca04a5dba9113066700712a prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
route count=51 request_id=___prefill_addr_10.1.0.6:34014___decode_addr_10.1.0.3:34014_82b8116f0b0a419081f1b0152800bbcc prefill_http=10.1.0.6:32014 decode_http=10.1.0.3:33014
