seq,workload_id,duration_s,successful_requests,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,steady_start,30.560436,12,2436.071327,1453.717107,3889.788434,1.080496787,127.281837,324.149036
2,short_ramp,30.494543,48,2553.289108,1551.964148,4105.253256,1.140348127,134.622553,85.526109
3,prefill_shift,33.668563,36,2794.546248,1640.227772,4434.77402,1.231881672,131.718543,123.188167
4,decode_shift,41.173862,24,3262.548793,2334.346641,5596.895434,1.554693176,135.933217,233.203976
5,sudden_burst,30.203989,80,2713.737416,1541.322135,4255.059552,1.181960987,140.877405,53.188244
6,short_recovery,31.668113,24,2541.403312,1593.487534,4134.890846,1.148580791,130.569539,172.287119
7,long_prefill,35.041298,24,2957.864452,1713.360759,4671.225211,1.297562559,133.306283,194.634384
8,mixed_pressure,42.411689,30,3339.029172,2451.339551,5790.368723,1.608435756,136.527663,193.012291
9,quiet_window,33.502758,12,2632.32872,1601.432086,4233.760806,1.176044668,126.370516,352.813401
10,prefill_peak,28.419137,20,2398.996474,1432.054587,3831.051061,1.06418085,134.805325,191.552553
11,decode_peak,88.567944,10,6826.062917,5577.855815,12403.918732,3.445532981,140.049753,1240.391873
12,final_recovery,30.496221,12,2385.751829,1484.641436,3870.393265,1.07510924,126.913865,322.532772
