unix_ts,event,seq,workload_id,policy
1784843217.475720625,workload_start,1,steady_start,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843248.036156670,workload_end,1,steady_start,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843248.235837659,workload_start,2,short_ramp,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843278.730380740,workload_end,2,short_ramp,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843278.851996632,workload_start,3,prefill_shift,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843312.520559351,workload_end,3,prefill_shift,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843312.725232892,workload_start,4,decode_shift,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843353.899094300,workload_end,4,decode_shift,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843353.985601193,workload_start,5,sudden_burst,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843384.189589925,workload_end,5,sudden_burst,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843384.385283491,workload_start,6,short_recovery,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843416.053395983,workload_end,6,short_recovery,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843416.187019155,workload_start,7,long_prefill,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843451.228317344,workload_end,7,long_prefill,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843451.426440912,workload_start,8,mixed_pressure,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843493.838129628,workload_end,8,mixed_pressure,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843493.952108794,workload_start,9,quiet_window,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843527.454866793,workload_end,9,quiet_window,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843527.650088036,workload_start,10,prefill_peak,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843556.069225633,workload_end,10,prefill_peak,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843556.177656885,workload_start,11,decode_peak,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843644.745601256,workload_end,11,decode_peak,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843644.918989850,workload_start,12,final_recovery,fixed_l40s_prefill_l4_decode_auto_dvfs
1784843675.415210695,workload_end,12,final_recovery,fixed_l40s_prefill_l4_decode_auto_dvfs
