seq,workload_id,duration_s,successful_requests,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,steady_start,28.794154,12,1789.904539,1059.853435,2849.757974,0.791599437,98.970018,237.479831
2,short_ramp,34.507703,48,2202.825671,1220.807207,3423.632879,0.951009133,99.213583,71.325685
3,prefill_shift,32.935319,36,2082.429311,1211.39646,3293.825771,0.914951603,100.008924,91.49516
4,decode_shift,46.747382,24,2826.715637,1940.27888,4766.994517,1.324165144,101.973508,198.624772
5,sudden_burst,30.976935,80,2231.545001,1220.366992,3451.911993,0.958864442,111.43491,43.1489
6,short_recovery,33.891198,24,2073.264172,1225.693891,3298.958062,0.91637724,97.33967,137.456586
7,long_prefill,32.634956,24,2331.171903,1220.233649,3551.405552,0.986501542,108.822135,147.975231
8,mixed_pressure,47.37327,30,2953.293046,2069.996182,5023.289229,1.395358119,106.036363,167.442974
9,quiet_window,30.881735,12,1916.600649,1137.222376,3053.823026,0.848284174,98.887676,254.485252
10,prefill_peak,32.500283,20,2810.596878,1169.511593,3980.108471,1.105585686,122.46381,199.005424
11,decode_peak,90.43633,10,5318.898143,4572.87385,9891.771993,2.747714443,109.3783,989.177199
12,final_recovery,34.669895,12,2069.666052,1225.064785,3294.730837,0.91520301,95.031462,274.560903
