unix_ts,event,seq,workload_id,policy
1784906336.009685779,workload_start,1,steady_start,gate_on_with_kv_transfer
1784906364.738864231,workload_end,1,steady_start,gate_on_with_kv_transfer
1784906372.748501033,workload_start,2,short_ramp,gate_on_with_kv_transfer
1784906407.304918646,workload_end,2,short_ramp,gate_on_with_kv_transfer
1784906414.189323576,workload_start,3,prefill_shift,gate_on_with_kv_transfer
1784906445.619384074,workload_end,3,prefill_shift,gate_on_with_kv_transfer
1784906453.527458142,workload_start,4,decode_shift,gate_on_with_kv_transfer
1784906499.275064096,workload_end,4,decode_shift,gate_on_with_kv_transfer
1784906507.204584768,workload_start,5,sudden_burst,gate_on_with_kv_transfer
1784906538.404562653,workload_end,5,sudden_burst,gate_on_with_kv_transfer
1784906545.305959461,workload_start,6,short_recovery,gate_on_with_kv_transfer
1784906579.767896167,workload_end,6,short_recovery,gate_on_with_kv_transfer
1784906587.699223088,workload_start,7,long_prefill,gate_on_with_kv_transfer
1784906618.962594372,workload_end,7,long_prefill,gate_on_with_kv_transfer
1784906625.885227882,workload_start,8,mixed_pressure,gate_on_with_kv_transfer
1784906673.571068558,workload_end,8,mixed_pressure,gate_on_with_kv_transfer
1784906680.519328255,workload_start,9,quiet_window,gate_on_with_kv_transfer
1784906713.665365941,workload_end,9,quiet_window,gate_on_with_kv_transfer
1784906720.566506350,workload_start,10,prefill_peak,gate_on_with_kv_transfer
1784906752.558424479,workload_end,10,prefill_peak,gate_on_with_kv_transfer
1784906760.531288330,workload_start,11,decode_peak,gate_on_with_kv_transfer
1784906849.247488837,workload_end,11,decode_peak,gate_on_with_kv_transfer
1784906858.085823700,workload_start,12,final_recovery,gate_on_with_kv_transfer
