proxy_start hostname=ganymede http=0.0.0.0:30140 registry=0.0.0.0:31140
registry_add role=decode http=10.1.0.3:33140 zmq=10.1.0.3:34140
registry_add role=prefill http=10.1.0.6:32140 zmq=10.1.0.6:34140
route count=0 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_225a4b60e797469baf63ad9f23761c73 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=1 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_a77ec2f455764d7ebe1699f55137e894 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=2 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_9892036a84084fc9a109897910602ac9 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=3 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_913fe05c533d4f35a999dea34baf367d prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=4 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_c7fe947e808d4c19831a633121226e00 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=5 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_fd9a79401cdd42de961c354e126abbd3 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=6 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_366fb0ce236748d2b607690a2699c74e prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=7 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_2ec3c90e224e4813ae726ffc4e9ac831 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=8 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_634576f1fe3f4e459a71aaf1a54154f7 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=9 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_23f1fdb8dfaa484b89bf11946be0ed62 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=10 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_f1982b81b36849b59b8d52c545fa33c6 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=11 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_57b70b40d9e94e54939f4e894fc05cc7 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=12 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_86719d63efda4be2819ad76b51d2b1dc prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=13 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_240912f37d8b48c5a80484d90b03e55d prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=14 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_d1c581d7e6374240a6e36b99b4bee859 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=15 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_3e9b2c92c2f6410d8b0f06b84bdd559d prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=16 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_daa1831fc52447cb9edb2a8b8a4bbc0d prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=17 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_e402b90b375c4492b848d4cac5a2a33d prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=18 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_e7f787713da340fe974e18b7d55e6588 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
