proxy_start hostname=ganymede http=0.0.0.0:30141 registry=0.0.0.0:31141
registry_add role=decode http=10.1.0.3:33141 zmq=10.1.0.3:34141
registry_add role=prefill http=10.1.0.6:32141 zmq=10.1.0.6:34141
route count=0 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_7fc71ad4c08248c89a4fb5f1d081f8c6 prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=1 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_1063c19923f749c1a790c972df6aee18 prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=2 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_0c4fa987211e4a198314e2d1c1c6f9d8 prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=3 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_0a94bd38556249f68ada637b8e3bc45c prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=4 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_f691babef228485781855fae6ffdc28f prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=5 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_1da3930f45bb4a459baeb24611e34f1d prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=6 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_46f612eaaeef4ef49aaa3dbaafe42c32 prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=7 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_549d98e5daff4350a84d1bbaed98812c prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=8 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_1cd11d7083a947a0b85696035c44cf6d prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=9 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_d9fee958fa60485cbad831d2886d00da prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=10 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_5baab0e6adac42778adc024e1e35853b prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=11 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_d6263c1bb45c4db88ada168b4a7f70f7 prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=12 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_b70d3d0c00d04db4a1a3502bdaa10c1e prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=13 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_2e140d3b95e34c7c9b4e8aa9c3d7cb7b prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=14 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_a61ed52a25e648c2a81209c675b50445 prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
route count=15 request_id=___prefill_addr_10.1.0.6:34141___decode_addr_10.1.0.3:34141_a23b58c640e943e29f3b5aa1ed7f11da prefill_http=10.1.0.6:32141 decode_http=10.1.0.3:33141
