unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785052761.754238071,0,1755,47799341653,119909570910,0, 31.14, 210, 0, 0, 350.00, 405, 24, 46068, P0
1785052762.333995410,0,1755,47799341653,119909570910,0, 47.16, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785052762.918873427,0,1755,47799405309,119909644882,0, 47.16, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785052763.501462887,0,1755,47799533803,119909805376,0, 63.24, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785052764.085506392,0,1755,47799533803,119909805376,0, 63.28, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785052764.668936432,0,1755,47799682505,119909983746,0, 63.28, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785052765.250450944,0,1755,47799682505,119909983746,0, 63.41, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785052765.833628274,0,1755,47799823727,119910155502,0, 63.41, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785052766.416935394,0,1755,47799823727,119910155502,0, 63.53, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785052766.999524425,0,1755,47799948187,119910306114,0, 63.53, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785052767.582203735,0,1755,47800106429,119910461912,0, 63.65, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785052768.163763793,0,1755,47800106429,119910461912,0, 63.53, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052768.744128034,0,1755,47800396349,119910722140,0, 63.53, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052769.324294244,0,1755,47800396349,119910722140,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052769.903775978,0,1755,47801088887,119911325388,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052770.485355569,0,1755,47801088887,119911325388,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052771.066490733,0,1755,47801738673,119911893466,0, 63.28, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052771.645824467,0,1755,47801738673,119912356634,0, 63.28, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052772.226162422,0,1755,47802266399,119912356634,0, 63.41, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052772.806667998,0,1755,47802492971,119912549336,0, 63.41, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052773.388643530,0,1755,47802492971,119912549336,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052773.970612922,0,1755,47802780003,119912803558,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052774.552982007,0,1755,47802780003,119912803558,0, 63.41, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052775.135869860,0,1755,47803045913,119913055328,0, 63.53, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052775.716792529,0,1755,47803045913,119913055328,0, 63.53, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052776.300881781,0,1755,47803415575,119913389128,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052776.885059132,0,1755,47803595469,119913552250,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052777.467212384,0,1755,47803595469,119913552250,0, 63.28, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052778.050283884,0,1755,47803816655,119913759282,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052778.630194097,0,1755,47803816655,119913759282,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052779.211103330,0,1755,47804278119,119914195870,0, 63.53, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052779.793500672,0,1755,47804278119,119914195870,0, 63.53, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052780.375229866,0,1755,47804704487,119914603920,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052780.957356644,0,1755,47805156043,119915040934,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052781.538465050,0,1755,47805156043,119915040934,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052782.122129204,0,1755,47805525299,119915396746,0, 63.53, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052782.703951948,0,1755,47805525299,119915396746,0, 63.53, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052783.287706524,0,1755,47805856141,119915714704,0, 63.41, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052783.869460224,0,1755,47805856141,119915714704,0, 63.41, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052784.449573684,0,1755,47806035716,119915880583,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052785.033431476,0,1755,47806394738,119916228284,0, 63.53, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052785.616111912,0,1755,47806394738,119916228284,0, 63.53, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052786.209370726,0,1755,47806479172,119916301481,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052786.791369232,0,1755,47806479172,119916301481,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785052787.374677013,0,1755,47806518110,119916333533,0, 63.41, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052787.956363939,0,1755,47806518110,119916333533,0, 63.41, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052788.539463059,0,1755,47806587066,119916399803,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052789.123057924,0,1755,47806754372,119916564073,0, 63.40, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052789.704819944,0,1755,47806754372,119916564073,0, 63.40, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052790.287580456,0,1755,47806845284,119916643777,0, 63.40, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052790.868563316,0,1755,47806845284,119916643777,0, 63.40, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052791.443703163,0,1755,47806973766,119916749545,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052792.028485001,0,1755,47806973766,119916749545,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052792.610069729,0,1755,47807088848,119916848163,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052793.193585414,0,1755,47807205960,119916963083,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052793.774609523,0,1755,47807205960,119916963083,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052794.356075479,0,1755,47807213982,119916971735,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052794.936646942,0,1755,47807213982,119916971735,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052795.518556772,0,1755,47807470802,119917231165,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052796.099441497,0,1755,47807470802,119917231165,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052796.679984838,0,1755,47807793310,119917559449,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052797.263439970,0,1755,47808119650,119917892143,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052797.845998489,0,1755,47808119650,119917892143,0, 63.53, 1755, 0, 0, 350.00, 9001, 27, 46068, P0
1785052798.439575536,0,1755,47808651562,119918447987,0, 67.88, 1755, 505, 0, 350.00, 9001, 27, 46068, P0
1785052799.021540541,0,1755,47808651562,119918447987,0, 64.82, 1755, 503, 0, 350.00, 9001, 27, 46068, P0
1785052799.603440598,0,1755,47809044326,119918825333,0, 64.06, 1755, 557, 0, 350.00, 9001, 27, 46068, P0
1785052800.185502629,0,1755,47809044326,119918825333,0, 64.26, 1755, 943, 0, 350.00, 9001, 27, 46068, P0
1785052800.764807428,0,1755,47809275666,119919052221,0, 64.15, 1755, 943, 0, 350.00, 9001, 27, 46068, P0
1785052801.346748883,0,1755,47809543678,119919303603,0, 64.13, 1755, 14425, 0, 350.00, 9001, 27, 46068, P0
