unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785053954.595686985,0,1830,199178785756,9518110600,0, 16.06, 210, 0, 0, 72.00, 405, 34, 23034, P0
1785053955.214413459,0,1830,199178822381,9518153484,0, 16.06, 210, 0, 0, 72.00, 405, 34, 23034, P0
1785053955.835554651,0,1830,199178822381,9518153484,0, 20.62, 1830, 0, 0, 72.00, 6251, 35, 23034, P0
1785053956.457040345,0,1830,199178905941,9518259380,0, 25.14, 1830, 0, 0, 72.00, 6251, 35, 23034, P0
1785053957.072844257,0,1830,199178905941,9518259380,0, 25.14, 1830, 0, 0, 72.00, 6251, 35, 23034, P0
1785053957.692407933,0,1830,199179063101,9518451144,0, 25.09, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053958.314035454,0,1830,199179201295,9518613602,0, 25.04, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053958.931340023,0,1830,199179201295,9518613602,0, 25.04, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053959.549718925,0,1830,199179339787,9518788304,0, 24.99, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053960.168230037,0,1830,199179339787,9518788304,0, 24.99, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053960.794638809,0,1830,199179492543,9518957006,0, 25.14, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053961.411033632,0,1830,199179691133,9519136114,0, 25.24, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053962.028431327,0,1830,199179691133,9519136114,0, 25.24, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053962.645073618,0,1830,199180291877,9519663398,0, 25.09, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053963.261565606,0,1830,199180291877,9519663398,0, 24.99, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053963.875780224,0,1830,199181269137,9520513872,0, 24.99, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053964.493193506,0,1830,199181883421,9521050676,0, 25.09, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053965.108657297,0,1830,199181883421,9521050676,0, 25.09, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053965.726137437,0,1830,199182147955,9521276852,0, 25.19, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785053966.344036245,0,1830,199182147955,9521276852,0, 25.14, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
