unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785053954.462430302,0,1755,47867054419,181829487084,0, 31.13, 210, 0, 0, 350.00, 405, 24, 46068, P0
1785053955.045479052,0,1755,47867054419,181829487084,0, 47.20, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785053955.634148511,0,1755,47867135119,181829587010,0, 47.20, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785053956.217225984,0,1755,47867135119,181829587010,0, 63.28, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785053956.798862225,0,1755,47867318885,181829809490,0, 63.28, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785053957.381850935,0,1755,47867318885,181829809490,0, 63.28, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785053957.966354629,0,1755,47867450049,181829965846,0, 63.28, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785053958.550361366,0,1755,47867584217,181830134214,0, 63.28, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785053959.134111911,0,1755,47867584217,181830134214,0, 63.40, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785053959.716839887,0,1755,47867748101,181830308882,0, 63.40, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785053960.305287042,0,1755,47867748101,181830308882,0, 63.41, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785053960.887455253,0,1755,47867985453,181830521542,0, 63.41, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785053961.469523168,0,1755,47867985453,181830521542,0, 63.28, 1755, 0, 0, 350.00, 9001, 25, 46068, P0
1785053962.051068710,0,1755,47868726331,181831169888,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785053962.633750615,0,1755,47869303241,181831674224,0, 63.40, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785053963.216222592,0,1755,47869303241,181831674224,0, 63.41, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785053963.798970357,0,1755,47869871173,181832171666,0, 63.41, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
1785053964.382875599,0,1755,47869871173,181832171666,0, 63.28, 1755, 0, 0, 350.00, 9001, 26, 46068, P0
