unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785095920.273115849,0,360,246142587591,9614652757,0, 16.16, 210, 0, 0, 72.00, 405, 34, 23034, P8
1785095920.895806723,0,360,246142622205,9614693635,0, 16.20, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095921.522257458,0,360,246142622205,9614693635,0, 16.20, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095922.146407539,0,360,246142667222,9614749571,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095922.769813642,0,360,246142812780,9614931511,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095923.395195525,0,360,246142812780,9614931511,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095924.017890592,0,360,246142946140,9615089929,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095924.640027096,0,360,246142946140,9615089929,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095925.261393100,0,360,246143118308,9615301131,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095925.895018885,0,360,246143243664,9615453319,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095926.517602146,0,360,246143243664,9615453319,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095927.137829919,0,360,246143944998,9616075489,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095927.760358938,0,360,246143944998,9616075489,0, 16.20, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095928.378884583,0,360,246144923696,9616926831,0, 16.20, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095928.998877831,0,360,246145661858,9617572801,0, 16.20, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095929.618456465,0,360,246145661858,9617572801,0, 16.20, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095930.237742696,0,360,246145803438,9617690261,0, 16.30, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095930.859207699,0,360,246145803438,9617690261,0, 16.30, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095931.481054384,0,360,246146136998,9617987595,0, 16.30, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095932.104933906,0,360,246146415644,9618249309,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095932.726220740,0,360,246146415644,9618249309,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095933.346658846,0,360,246146784878,9618579783,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095933.969559139,0,360,246146784878,9618579783,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095934.592007672,0,360,246146888824,9618677443,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095935.215011304,0,360,246147462554,9619216123,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095935.838135138,0,360,246147462554,9619216123,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095936.460684877,0,360,246147883596,9619618335,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095937.081485867,0,360,246147883596,9620197165,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095937.704037400,0,360,246148485228,9620197165,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095938.325091770,0,360,246149071512,9620753397,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095938.947038180,0,360,246149071512,9620753397,0, 16.26, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095939.570914039,0,360,246149259717,9620927655,0, 16.26, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095940.193813033,0,360,246149647021,9621299668,0, 16.26, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095940.818964379,0,360,246149647021,9621299668,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095941.443420871,0,360,246149716559,9621365118,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095942.066976592,0,360,246149716559,9621365118,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095942.695193451,0,360,246149762377,9621409102,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095943.317624569,0,360,246149883809,9621533604,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095943.942004720,0,360,246149883809,9621533604,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095944.562902477,0,360,246150003423,9621653912,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095945.188391338,0,360,246150003423,9621653912,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095945.811312653,0,360,246150126025,9621764568,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095946.430409595,0,360,246150262017,9621876090,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
1785095947.054248024,0,360,246150262017,9621876090,0, 16.25, 360, 0, 0, 72.00, 405, 34, 23034, P8
