seq,workload_id,duration_s,successful_requests,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,steady_start,35.127673,12,2161.920312,1185.185283,3347.105595,0.929751554,95.284011,278.925466
2,short_ramp,30.95948,48,2005.69121,1129.637467,3135.328678,0.870924633,101.272008,65.319347
3,prefill_shift,34.156117,36,2205.242608,1215.1816,3420.424208,0.950117836,100.140898,95.011784
4,decode_shift,45.423079,24,2759.070231,1942.336277,4701.406507,1.305946252,103.502594,195.891938
5,sudden_burst,29.45433,80,2105.620615,1227.070934,3332.691549,0.925747653,113.147761,41.658644
6,short_recovery,30.864961,24,1894.757556,1087.973743,2982.731299,0.828536472,96.638103,124.280471
7,long_prefill,35.438119,24,2610.891611,1656.799874,4267.691486,1.185469857,120.426581,177.820479
8,mixed_pressure,43.994476,30,2736.080416,1989.893047,4725.973463,1.312770406,107.421975,157.532449
9,quiet_window,34.762756,12,2131.434836,1105.493873,3236.928708,0.899146863,93.114846,269.744059
10,prefill_peak,28.866199,20,2444.930584,1093.164453,3538.095037,0.982804177,122.568786,176.904752
11,decode_peak,93.44914,10,5462.42102,4591.673886,10054.094906,2.79280414,107.588951,1005.409491
12,final_recovery,30.641955,12,1826.303658,1140.914786,2967.218444,0.824227346,96.835153,247.268204
