unix_ts,event,seq,workload_id,policy
1785096051.740880222,workload_start,1,steady_start,gate_off_latency_only_l4_uncapped
1785096086.868553452,workload_end,1,steady_start,gate_off_latency_only_l4_uncapped
1785096088.718290791,workload_start,2,short_ramp,gate_off_latency_only_l4_uncapped
1785096119.677770296,workload_end,2,short_ramp,gate_off_latency_only_l4_uncapped
1785096121.636948943,workload_start,3,prefill_shift,gate_off_latency_only_l4_uncapped
1785096155.793065771,workload_end,3,prefill_shift,gate_off_latency_only_l4_uncapped
1785096157.621215312,workload_start,4,decode_shift,gate_off_latency_only_l4_uncapped
1785096203.044294380,workload_end,4,decode_shift,gate_off_latency_only_l4_uncapped
1785096204.828122825,workload_start,5,sudden_burst,gate_off_latency_only_l4_uncapped
1785096234.282453315,workload_end,5,sudden_burst,gate_off_latency_only_l4_uncapped
1785096237.129320725,workload_start,6,short_recovery,gate_off_latency_only_l4_uncapped
1785096267.994281815,workload_end,6,short_recovery,gate_off_latency_only_l4_uncapped
1785096270.939517087,workload_start,7,long_prefill,gate_off_latency_only_l4_uncapped
