actual_benchmark_duration_s,actual_failed_requests,actual_measured_saturated,actual_output_token_throughput_tps,actual_p99_itl_ms,actual_p99_tpot_ms,actual_p99_ttft_ms,actual_request_throughput_rps,actual_saturation_assessment,actual_successful_requests,actual_throughput_ratio,actual_total_token_throughput_tps,actual_tpot_slo_ok,actual_ttft_slo_ok,combined_avg_power_w,combined_energy_j,configured_request_rate_rps,decision_mode,decision_status,decode_ganymede_gpu_mem_clock_avg_mhz,decode_ganymede_gpu_mem_clock_max_mhz,decode_ganymede_gpu_mem_util_avg_pct,decode_ganymede_gpu_mem_util_max_pct,decode_ganymede_gpu_memory_used_avg_mib,decode_ganymede_gpu_memory_used_max_mib,decode_ganymede_gpu_power_avg_w,decode_ganymede_gpu_power_limit_avg_w,decode_ganymede_gpu_power_limit_max_w,decode_ganymede_gpu_power_max_w,decode_ganymede_gpu_pstate_mode,decode_ganymede_gpu_sm_clock_avg_mhz,decode_ganymede_gpu_sm_clock_max_mhz,decode_ganymede_gpu_sm_clock_min_mhz,decode_ganymede_gpu_temperature_avg_c,decode_ganymede_gpu_temperature_max_c,decode_ganymede_gpu_util_avg_pct,decode_ganymede_gpu_util_max_pct,decode_ganymede_network_rx_bytes,decode_ganymede_network_tx_bytes,decode_ganymede_samples,decode_ganymede_target_freq_mhz,decode_gpu,decode_predicted_p99_tpot_ms,decode_predicted_p_saturated,decode_target_freq_mhz,energy_per_request_j,input_len,kv_bytes_per_token,kv_effective_bandwidth_gbps,kv_total_bytes,num_candidates,num_safe,output_len,predicted_cluster_power_w,predicted_dispatch_ms,predicted_kv_transfer_ms,prefill_gpu,prefill_neptune_gpu_mem_clock_avg_mhz,prefill_neptune_gpu_mem_clock_max_mhz,prefill_neptune_gpu_mem_util_avg_pct,prefill_neptune_gpu_mem_util_max_pct,prefill_neptune_gpu_memory_used_avg_mib,prefill_neptune_gpu_memory_used_max_mib,prefill_neptune_gpu_power_avg_w,prefill_neptune_gpu_power_limit_avg_w,prefill_neptune_gpu_power_limit_max_w,prefill_neptune_gpu_power_max_w,prefill_neptune_gpu_pstate_mode,prefill_neptune_gpu_sm_clock_avg_mhz,prefill_neptune_gpu_sm_clock_max_mhz,prefill_neptune_gpu_sm_clock_min_mhz,prefill_neptune_gpu_temperature_avg_c,prefill_neptune_gpu_temperature_max_c,prefill_neptune_gpu_util_avg_pct,prefill_neptune_gpu_util_max_pct,prefill_neptune_network_rx_bytes,prefill_neptune_network_tx_bytes,prefill_neptune_samples,prefill_neptune_target_freq_mhz,prefill_predicted_p99_queue_plus_prefill_ms,prefill_predicted_p99_ttft_ms,prefill_predicted_p_saturated,prefill_target_freq_mhz,recommended_is_safe,seq,workload_id
14.21,0,,27.02,73.78,64.78,271.02,0.84,INCONCLUSIVE_FINITE_POISSON,12,0.84,53.2,True,True,95.284011,3347.105595,1.0,safe_min_power,OK,6251.0,6251.0,40.982143,100.0,18667.928571,18677.0,33.681071,72.0,72.0,55.8,P0,360.0,360.0,360.0,40.178571,45.0,40.821429,100.0,64624806.0,6974249.0,56,360.0,l4,154.4,0.079869,360,278.925466,32,131072,,4194304,100,90,32,147.8,0.0,0.0,l40s,9001.0,9001.0,0.95,39.0,37815.933333,37817.0,61.5495,350.0,350.0,79.88,P0,480.0,480.0,480.0,27.833333,28.0,1.183333,45.0,343775.0,57513327.0,60,480.0,112.4,112.4,0.024298,480,True,1,steady_start
14.4,0,,106.69,83.73,71.76,428.22,3.33,INCONCLUSIVE_FINITE_POISSON,48,0.8325,210.04,True,True,101.272008,3135.328678,4.0,safe_min_power,OK,6251.0,6251.0,49.346939,100.0,18690.714286,18729.0,36.480612,72.0,72.0,55.92,P0,360.0,360.0,360.0,43.795918,47.0,50.77551,100.0,217806960.0,2941167.0,49,360.0,l4,133.1,0.081364,360,65.319347,32,131072,,4194304,100,90,32,161.7,0.0,0.0,l40s,9001.0,9001.0,3.150943,31.0,37817.0,37817.0,64.791509,350.0,350.0,99.15,P0,210.0,210.0,210.0,28.113208,29.0,8.754717,94.0,826787.0,215922546.0,53,210.0,142.7,142.7,0.125887,210,True,2,short_ramp
14.26,0,,80.78,83.67,66.76,332.93,2.52,INCONCLUSIVE_FINITE_POISSON,36,0.84,401.38,True,True,100.140898,3420.424208,3.0,safe_min_power,OK,6251.0,6251.0,44.444444,100.0,18757.037037,18867.0,35.407407,72.0,72.0,56.99,P0,570.0,570.0,570.0,45.759259,49.0,44.333333,100.0,654118467.0,5089803.0,54,570.0,l4,163.4,0.093087,570,95.011784,128,131072,,16777216,100,72,32,177.2,0.0,0.0,l40s,9001.0,9001.0,1.931034,30.0,37819.551724,37823.0,64.611552,350.0,350.0,91.98,P0,480.0,480.0,480.0,28.206897,30.0,3.068966,48.0,1354468.0,650145019.0,58,480.0,181.0,181.0,0.023551,480,True,3,prefill_shift
22.98,0,,133.65,82.47,73.35,375.75,1.04,INCONCLUSIVE_FINITE_POISSON,24,0.52,166.02,True,True,103.502594,4701.406507,2.0,safe_min_power,OK,6251.0,6251.0,65.875,100.0,18867.0,18867.0,42.667917,72.0,72.0,56.45,P0,360.0,360.0,360.0,49.097222,52.0,66.652778,100.0,112206520.0,2673007.0,72,360.0,l4,101.3,0.499969,360,195.891938,32,131072,,4194304,100,90,128,168.2,0.0,0.0,l40s,9001.0,9001.0,1.192308,30.0,37823.0,37823.0,60.735513,350.0,350.0,77.22,P0,210.0,210.0,210.0,28.064103,29.0,2.538462,65.0,496019.0,110365242.0,78,210.0,169.2,169.2,0.21824,210,True,4,decode_shift
13.53,0,,189.26,76.91,63.58,437.28,5.91,INCONCLUSIVE_FINITE_POISSON,80,0.73875,940.41,True,True,113.147761,3332.691549,8.0,safe_min_power,OK,6251.0,6251.0,49.425532,100.0,18891.723404,18933.0,41.324255,72.0,72.0,62.02,P0,1200.0,1200.0,1200.0,51.446809,55.0,50.255319,100.0,1427196055.0,7123647.0,47,1200.0,l4,111.4,0.39063,1200,41.658644,128,131072,,16777216,100,40,32,203.6,0.0,0.0,l40s,9001.0,9001.0,5.76,50.0,37827.8,37837.0,71.5604,350.0,350.0,103.14,P0,735.0,735.0,735.0,28.64,32.0,6.9,58.0,3365594.0,1423176227.0,50,735.0,198.1,198.1,0.122929,735,True,5,sudden_burst
14.26,0,,53.85,77.51,67.25,362.73,1.68,INCONCLUSIVE_FINITE_POISSON,24,0.84,106.01,True,True,96.638103,2982.731299,2.0,safe_min_power,OK,6251.0,6251.0,43.816327,100.0,18933.0,18933.0,35.176939,72.0,72.0,56.81,P0,360.0,360.0,360.0,51.367347,53.0,44.408163,100.0,112139634.0,2533658.0,49,360.0,l4,133.4,0.079869,360,124.280471,32,131072,,4194304,100,90,32,148.7,0.0,0.0,l40s,9001.0,9001.0,3.0,37.0,37837.0,37837.0,61.38,350.0,350.0,84.6,P0,210.0,210.0,210.0,28.283019,29.0,6.415094,79.0,457645.0,110248525.0,53,210.0,129.2,129.2,0.108784,210,True,6,short_recovery
14.15,0,,54.29,70.8,60.48,419.13,1.7,INCONCLUSIVE_FINITE_POISSON,24,0.85,921.17,True,True,120.426581,4267.691486,2.0,safe_min_power,OK,6251.0,6251.0,42.517857,100.0,19076.928571,19393.0,46.473036,72.0,72.0,72.69,P0,1914.107143,2040.0,1560.0,54.107143,59.0,42.232143,100.0,1759525421.0,6254507.0,56,2040.0,l4,104.3,0.183285,2040,177.820479,512,131072,,67108864,100,7,32,211.7,0.0,0.0,l40s,9001.0,9001.0,2.311475,27.0,37858.114754,37883.0,73.602787,350.0,350.0,118.66,P0,1755.0,1755.0,1755.0,29.360656,33.0,3.377049,38.0,2481206.0,1755544035.0,61,1755.0,168.2,168.2,0.024257,1755,True,7,long_prefill
22.24,0,,172.69,77.2,66.45,357.43,1.35,INCONCLUSIVE_FINITE_POISSON,30,0.45,344.03,True,True,107.421975,4725.973463,3.0,safe_min_power,OK,6251.0,6251.0,65.217391,100.0,19393.0,19393.0,44.981594,72.0,72.0,59.24,P0,780.0,780.0,780.0,55.405797,58.0,66.072464,100.0,546767002.0,3421155.0,69,780.0,l4,100.4,0.514316,780,157.532449,128,131072,,16777216,100,63,128,205.3,0.0,0.0,l40s,9001.0,9001.0,1.092105,26.0,37883.0,37883.0,62.179868,350.0,350.0,79.26,P0,496.776316,1755.0,480.0,29.0,29.0,1.460526,32.0,1221101.0,544868442.0,76,480.0,200.1,200.1,0.197373,480,True,8,mixed_pressure
14.3,0,,26.85,74.51,65.3,373.21,0.84,INCONCLUSIVE_FINITE_POISSON,12,0.84,52.86,True,True,93.114846,3236.928708,1.0,safe_min_power,OK,6251.0,6251.0,30.839286,100.0,19393.0,19393.0,31.737143,72.0,72.0,57.28,P0,360.0,360.0,360.0,53.982143,56.0,30.75,100.0,61457425.0,4078619.0,56,360.0,l4,154.4,0.079869,360,269.744059,32,131072,,4194304,100,90,32,147.8,0.0,0.0,l40s,9001.0,9001.0,1.254237,63.0,37883.0,37883.0,61.330508,350.0,350.0,74.22,P0,480.0,480.0,480.0,28.016949,29.0,1.457627,71.0,277233.0,57431511.0,59,480.0,112.4,112.4,0.024298,480,True,9,quiet_window
12.32,0,,51.94,85.34,65.34,489.45,1.62,INCONCLUSIVE_FINITE_POISSON,20,0.81,1712.49,True,True,122.568786,3538.095037,2.0,overload_min_slo_violation,OVERLOAD_FALLBACK,6251.0,6251.0,44.0,100.0,19492.565217,19713.0,37.638696,72.0,72.0,59.71,P0,990.0,990.0,990.0,53.347826,56.0,43.913043,100.0,2950609863.0,5681940.0,46,990.0,l4,1026.4,0.343933,990,176.904752,1024,131072,,134217728,100,0,32,251.7,0.0,0.0,l40s,9001.0,9001.0,1.72,34.0,37913.8,37953.0,84.5758,350.0,350.0,110.47,P0,2511.0,2520.0,2265.0,30.24,37.0,5.04,64.0,3612808.0,2948705175.0,50,2520.0,309.9,309.9,0.024411,2520,False,10,prefill_peak
