seq,workload_id,duration_s,successful_requests,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,steady_start,35.141869,12,2826.770143,1596.960379,4423.730522,1.228814034,125.882049,368.64421
2,short_ramp,30.545594,48,2696.888824,1515.089818,4211.978642,1.169994067,137.891529,87.749555
3,prefill_shift,35.432635,36,2994.348114,1669.192181,4663.540295,1.29542786,131.617089,129.542786
4,decode_shift,39.84986,24,3153.466828,2301.799013,5455.265841,1.515351623,136.895482,227.302743
5,sudden_burst,30.316747,80,2648.508073,1528.077474,4176.585548,1.160162652,137.764962,52.207319
6,short_recovery,30.606511,24,2471.120062,1449.303526,3920.423588,1.089006552,128.091162,163.350983
7,long_prefill,35.555086,24,3077.118156,1685.846045,4762.964201,1.323045611,133.960139,198.456842
8,mixed_pressure,43.963217,30,3518.225717,2475.366414,5993.592131,1.664886703,136.331975,199.786404
9,quiet_window,30.64403,12,2399.206733,1381.345645,3780.552379,1.050153438,123.369949,315.046032
10,prefill_peak,29.62674,20,2548.463471,1444.533238,3992.996709,1.109165752,134.776783,199.649835
11,decode_peak,89.142864,10,6872.454403,5543.951493,12416.405896,3.449001638,139.286593,1241.64059
12,final_recovery,30.513574,12,2394.243674,1490.274809,3884.518483,1.079032912,127.304604,323.709874
