actual_benchmark_duration_s,actual_failed_requests,actual_measured_saturated,actual_output_token_throughput_tps,actual_p99_itl_ms,actual_p99_tpot_ms,actual_p99_ttft_ms,actual_request_throughput_rps,actual_saturation_assessment,actual_successful_requests,actual_throughput_ratio,actual_total_token_throughput_tps,actual_tpot_slo_ok,actual_ttft_slo_ok,combined_avg_power_w,combined_energy_j,configured_request_rate_rps,decision_status,decode_ganymede_gpu_mem_clock_avg_mhz,decode_ganymede_gpu_mem_clock_max_mhz,decode_ganymede_gpu_mem_util_avg_pct,decode_ganymede_gpu_mem_util_max_pct,decode_ganymede_gpu_memory_used_avg_mib,decode_ganymede_gpu_memory_used_max_mib,decode_ganymede_gpu_power_avg_w,decode_ganymede_gpu_power_limit_avg_w,decode_ganymede_gpu_power_limit_max_w,decode_ganymede_gpu_power_max_w,decode_ganymede_gpu_pstate_mode,decode_ganymede_gpu_sm_clock_avg_mhz,decode_ganymede_gpu_sm_clock_max_mhz,decode_ganymede_gpu_sm_clock_min_mhz,decode_ganymede_gpu_temperature_avg_c,decode_ganymede_gpu_temperature_max_c,decode_ganymede_gpu_util_avg_pct,decode_ganymede_gpu_util_max_pct,decode_ganymede_network_rx_bytes,decode_ganymede_network_tx_bytes,decode_ganymede_samples,decode_ganymede_target_freq_mhz,decode_gpu,energy_per_request_j,input_len,output_len,prefill_gpu,prefill_neptune_gpu_mem_clock_avg_mhz,prefill_neptune_gpu_mem_clock_max_mhz,prefill_neptune_gpu_mem_util_avg_pct,prefill_neptune_gpu_mem_util_max_pct,prefill_neptune_gpu_memory_used_avg_mib,prefill_neptune_gpu_memory_used_max_mib,prefill_neptune_gpu_power_avg_w,prefill_neptune_gpu_power_limit_avg_w,prefill_neptune_gpu_power_limit_max_w,prefill_neptune_gpu_power_max_w,prefill_neptune_gpu_pstate_mode,prefill_neptune_gpu_sm_clock_avg_mhz,prefill_neptune_gpu_sm_clock_max_mhz,prefill_neptune_gpu_sm_clock_min_mhz,prefill_neptune_gpu_temperature_avg_c,prefill_neptune_gpu_temperature_max_c,prefill_neptune_gpu_util_avg_pct,prefill_neptune_gpu_util_max_pct,prefill_neptune_network_rx_bytes,prefill_neptune_network_tx_bytes,prefill_neptune_samples,prefill_neptune_target_freq_mhz,seq,workload_id
13.99,0,,27.45,68.75,58.03,269.08,0.86,INCONCLUSIVE_FINITE_POISSON,12,0.86,54.05,True,True,125.882049,4423.730522,1.0,FIXED_AUTO_DVFS,6251.0,6251.0,36.410714,100.0,18667.928571,18677.0,45.179286,72.0,72.0,72.61,P0,1958.839286,2040.0,1575.0,43.125,50.0,37.642857,100.0,64062115.0,4478461.0,56,0.0,l4,368.64421,32,32,l40s,9001.0,9001.0,1.42623,55.0,37815.918033,37817.0,80.424098,350.0,350.0,95.31,P0,2520.0,2520.0,2520.0,28.754098,30.0,1.360656,52.0,1235307.0,58484828.0,61,0.0,1,steady_start
14.07,0,,109.13,74.42,60.54,354.29,3.41,INCONCLUSIVE_FINITE_POISSON,48,0.8525,214.85,True,True,137.891529,4211.978642,4.0,FIXED_AUTO_DVFS,6251.0,6251.0,48.0,100.0,18689.081633,18725.0,49.151224,72.0,72.0,72.56,P0,1907.142857,2040.0,1620.0,49.0,54.0,48.244898,100.0,218087918.0,3236136.0,49,0.0,l4,87.749555,32,32,l40s,9001.0,9001.0,5.962264,44.0,37818.358491,37821.0,88.162642,350.0,350.0,122.57,P0,2520.0,2520.0,2520.0,30.150943,32.0,6.113208,45.0,875644.0,215967395.0,53,0.0,2,short_ramp
14.11,0,,81.66,72.34,60.69,330.21,2.55,INCONCLUSIVE_FINITE_POISSON,36,0.85,405.73,True,True,131.617089,4663.540295,3.0,FIXED_AUTO_DVFS,6251.0,6251.0,42.857143,100.0,18748.357143,18849.0,46.653036,72.0,72.0,72.96,P0,1916.517857,2040.0,1545.0,51.982143,57.0,42.553571,100.0,654427286.0,5331250.0,56,0.0,l4,129.542786,128,32,l40s,9001.0,9001.0,3.508197,43.0,37823.229508,37827.0,84.468852,350.0,350.0,109.33,P0,2520.0,2520.0,2520.0,30.540984,33.0,3.57377,45.0,1247796.0,650150611.0,61,0.0,3,prefill_shift
20.07,0,,153.05,70.09,60.43,296.8,1.2,INCONCLUSIVE_FINITE_POISSON,24,0.6,190.12,True,True,136.895482,5455.265841,2.0,FIXED_AUTO_DVFS,6251.0,6251.0,65.75,100.0,18849.0,18849.0,57.427188,72.0,72.0,72.35,P0,1785.9375,2040.0,1545.0,57.046875,62.0,66.4375,100.0,112488013.0,2939588.0,64,0.0,l4,227.302743,32,128,l40s,9001.0,9001.0,1.647059,62.0,37827.0,37827.0,79.136912,350.0,350.0,96.89,P0,2520.0,2520.0,2520.0,31.0,31.0,1.588235,58.0,536576.0,110374929.0,68,0.0,4,decode_shift
13.48,0,,189.98,75.47,62.12,454.17,5.94,INCONCLUSIVE_FINITE_POISSON,80,0.7425,943.97,True,True,137.764962,4176.585548,8.0,FIXED_AUTO_DVFS,6251.0,6251.0,46.938776,100.0,18879.77551,18933.0,50.063469,72.0,72.0,72.57,P0,1843.469388,2040.0,1515.0,58.979592,63.0,47.367347,100.0,1427335148.0,7019040.0,49,0.0,l4,52.207319,128,32,l40s,9001.0,9001.0,8.72549,49.0,37833.431373,37865.0,87.538039,350.0,350.0,123.29,P0,2520.0,2520.0,2520.0,31.568627,36.0,9.078431,47.0,2973202.0,1423037679.0,51,0.0,5,sudden_burst
14.03,0,,54.74,68.66,59.25,345.09,1.71,INCONCLUSIVE_FINITE_POISSON,24,0.855,107.77,True,True,128.091162,3920.423588,2.0,FIXED_AUTO_DVFS,6251.0,6251.0,38.040816,100.0,18933.0,18933.0,47.031837,72.0,72.0,72.44,P0,1902.857143,2040.0,1560.0,59.673469,63.0,38.653061,100.0,112443010.0,2894532.0,49,0.0,l4,163.350983,32,32,l40s,9001.0,9001.0,1.788462,50.0,37865.0,37865.0,80.771346,350.0,350.0,104.68,P0,2520.0,2520.0,2520.0,31.153846,33.0,1.846154,49.0,492502.0,110294660.0,52,0.0,6,short_recovery
14.11,0,,54.41,71.08,60.7,421.2,1.7,INCONCLUSIVE_FINITE_POISSON,24,0.85,923.35,True,True,133.960139,4762.964201,2.0,FIXED_AUTO_DVFS,6251.0,6251.0,40.350877,100.0,19077.210526,19393.0,47.024912,72.0,72.0,72.89,P0,1894.210526,2040.0,1485.0,59.842105,64.0,40.298246,100.0,1759776372.0,6171693.0,57,0.0,l4,198.456842,512,32,l40s,9001.0,9001.0,2.229508,48.0,37876.409836,37889.0,86.519344,350.0,350.0,135.43,P0,2515.819672,2520.0,2385.0,31.52459,36.0,2.836066,56.0,2123957.0,1755505501.0,61,0.0,7,long_prefill
21.17,0,,181.41,70.72,61.8,343.38,1.42,INCONCLUSIVE_FINITE_POISSON,30,0.473333,361.4,True,True,136.331975,5993.592131,3.0,FIXED_AUTO_DVFS,6251.0,6251.0,62.318841,100.0,19393.0,19393.0,55.968116,72.0,72.0,72.25,P0,1749.782609,2040.0,1485.0,62.391304,67.0,63.246377,100.0,546926037.0,3512072.0,69,0.0,l4,199.786404,128,128,l40s,9001.0,9001.0,1.56,25.0,37889.0,37889.0,80.0352,350.0,350.0,100.3,P0,2520.0,2520.0,2520.0,31.226667,33.0,1.613333,26.0,1096904.0,544844091.0,75,0.0,8,mixed_pressure
14.05,0,,27.33,66.22,58.41,319.39,0.85,INCONCLUSIVE_FINITE_POISSON,12,0.85,53.81,True,True,123.369949,3780.552379,1.0,FIXED_AUTO_DVFS,6251.0,6251.0,32.693878,100.0,19393.0,19393.0,44.703469,72.0,72.0,73.24,P0,1904.693878,2040.0,1455.0,62.795918,66.0,33.530612,100.0,61740976.0,4339911.0,49,0.0,l4,315.046032,32,32,l40s,9001.0,9001.0,1.207547,37.0,37889.0,37889.0,78.275472,350.0,350.0,88.42,P0,2520.0,2520.0,2520.0,31.037736,32.0,1.188679,36.0,292907.0,57444056.0,53,0.0,9,quiet_window
12.22,0,,52.38,72.54,62.2,452.28,1.64,INCONCLUSIVE_FINITE_POISSON,20,0.82,1726.77,True,True,134.776783,3992.996709,2.0,FIXED_AUTO_DVFS,6251.0,6251.0,42.553191,100.0,19490.87234,19713.0,48.44617,72.0,72.0,72.58,P0,1865.744681,2040.0,1485.0,62.170213,65.0,42.489362,100.0,2950905597.0,5437860.0,47,0.0,l4,199.649835,1024,32,l40s,9001.0,9001.0,2.686275,30.0,37923.313725,37959.0,85.947451,350.0,350.0,130.36,P0,2512.647059,2520.0,2385.0,31.607843,36.0,6.372549,57.0,3113344.0,2948802511.0,51,0.0,10,prefill_peak
