unix_ts,event,seq,workload_id,policy
1785140682.472324179,workload_start,1,steady_start,gate_on_with_kv_transfer_l4_uncapped
1785140720.308844583,workload_end,1,steady_start,gate_on_with_kv_transfer_l4_uncapped
1785140723.181721677,workload_start,2,short_ramp,gate_on_with_kv_transfer_l4_uncapped
1785140754.696391257,workload_end,2,short_ramp,gate_on_with_kv_transfer_l4_uncapped
1785140757.676577300,workload_start,3,prefill_shift,gate_on_with_kv_transfer_l4_uncapped
1785140793.210014971,workload_end,3,prefill_shift,gate_on_with_kv_transfer_l4_uncapped
1785140795.136286946,workload_start,4,decode_shift,gate_on_with_kv_transfer_l4_uncapped
1785140837.581559513,workload_end,4,decode_shift,gate_on_with_kv_transfer_l4_uncapped
1785140840.536644710,workload_start,5,sudden_burst,gate_on_with_kv_transfer_l4_uncapped
1785140875.157884429,workload_end,5,sudden_burst,gate_on_with_kv_transfer_l4_uncapped
1785140877.052384703,workload_start,6,short_recovery,gate_on_with_kv_transfer_l4_uncapped
1785140907.744724163,workload_end,6,short_recovery,gate_on_with_kv_transfer_l4_uncapped
1785140910.690313566,workload_start,7,long_prefill,gate_on_with_kv_transfer_l4_uncapped
1785140945.563786032,workload_end,7,long_prefill,gate_on_with_kv_transfer_l4_uncapped
1785140947.420642158,workload_start,8,mixed_pressure,gate_on_with_kv_transfer_l4_uncapped
1785140990.347856934,workload_end,8,mixed_pressure,gate_on_with_kv_transfer_l4_uncapped
1785140993.287778587,workload_start,9,quiet_window,gate_on_with_kv_transfer_l4_uncapped
1785141028.279358979,workload_end,9,quiet_window,gate_on_with_kv_transfer_l4_uncapped
1785141030.147988083,workload_start,10,prefill_peak,gate_on_with_kv_transfer_l4_uncapped
1785141059.753153779,workload_end,10,prefill_peak,gate_on_with_kv_transfer_l4_uncapped
1785141061.712931649,workload_start,11,decode_peak,gate_on_with_kv_transfer_l4_uncapped
