actual_benchmark_duration_s,actual_failed_requests,actual_measured_saturated,actual_output_token_throughput_tps,actual_p99_itl_ms,actual_p99_tpot_ms,actual_p99_ttft_ms,actual_request_throughput_rps,actual_saturation_assessment,actual_successful_requests,actual_throughput_ratio,actual_total_token_throughput_tps,actual_tpot_slo_ok,actual_ttft_slo_ok,combined_avg_power_w,combined_energy_j,configured_request_rate_rps,decision_mode,decision_status,decode_ganymede_gpu_mem_clock_avg_mhz,decode_ganymede_gpu_mem_clock_max_mhz,decode_ganymede_gpu_mem_util_avg_pct,decode_ganymede_gpu_mem_util_max_pct,decode_ganymede_gpu_memory_used_avg_mib,decode_ganymede_gpu_memory_used_max_mib,decode_ganymede_gpu_power_avg_w,decode_ganymede_gpu_power_limit_avg_w,decode_ganymede_gpu_power_limit_max_w,decode_ganymede_gpu_power_max_w,decode_ganymede_gpu_pstate_mode,decode_ganymede_gpu_sm_clock_avg_mhz,decode_ganymede_gpu_sm_clock_max_mhz,decode_ganymede_gpu_sm_clock_min_mhz,decode_ganymede_gpu_temperature_avg_c,decode_ganymede_gpu_temperature_max_c,decode_ganymede_gpu_util_avg_pct,decode_ganymede_gpu_util_max_pct,decode_ganymede_network_rx_bytes,decode_ganymede_network_tx_bytes,decode_ganymede_samples,decode_ganymede_target_freq_mhz,decode_gpu,decode_predicted_p99_tpot_ms,decode_predicted_p_saturated,decode_target_freq_mhz,energy_per_request_j,input_len,kv_bytes_per_token,kv_effective_bandwidth_gbps,kv_total_bytes,num_candidates,num_safe,output_len,predicted_cluster_power_w,predicted_dispatch_ms,predicted_kv_transfer_ms,prefill_gpu,prefill_neptune_gpu_mem_clock_avg_mhz,prefill_neptune_gpu_mem_clock_max_mhz,prefill_neptune_gpu_mem_util_avg_pct,prefill_neptune_gpu_mem_util_max_pct,prefill_neptune_gpu_memory_used_avg_mib,prefill_neptune_gpu_memory_used_max_mib,prefill_neptune_gpu_power_avg_w,prefill_neptune_gpu_power_limit_avg_w,prefill_neptune_gpu_power_limit_max_w,prefill_neptune_gpu_power_max_w,prefill_neptune_gpu_pstate_mode,prefill_neptune_gpu_sm_clock_avg_mhz,prefill_neptune_gpu_sm_clock_max_mhz,prefill_neptune_gpu_sm_clock_min_mhz,prefill_neptune_gpu_temperature_avg_c,prefill_neptune_gpu_temperature_max_c,prefill_neptune_gpu_util_avg_pct,prefill_neptune_gpu_util_max_pct,prefill_neptune_network_rx_bytes,prefill_neptune_network_tx_bytes,prefill_neptune_samples,prefill_neptune_target_freq_mhz,prefill_predicted_p99_queue_plus_prefill_ms,prefill_predicted_p99_ttft_ms,prefill_predicted_p_saturated,prefill_target_freq_mhz,recommended_is_safe,seq,workload_id
14.2,0,,27.04,75.19,64.69,286.15,0.84,INCONCLUSIVE_FINITE_POISSON,12,0.84,53.23,True,True,93.131115,3678.90798,1.0,safe_min_power,OK,6251.0,6251.0,37.365079,100.0,18667.539683,18677.0,32.410317,72.0,72.0,55.9,P0,360.0,360.0,360.0,39.84127,45.0,37.492063,100.0,64668719.0,7050095.0,63,360.0,l4,154.4,0.079869,360,306.575665,32,131072,24.076,4194304,100,90,32,147.8,0.0,1.393688,l40s,9001.0,9001.0,0.477612,23.0,37815.686567,37817.0,60.751194,350.0,350.0,77.11,P0,480.0,480.0,480.0,27.059701,28.0,0.686567,33.0,294863.0,57469577.0,67,480.0,112.4,113.8,0.024298,480,True,1,steady_start
14.4,0,,106.7,82.69,72.04,435.97,3.33,INCONCLUSIVE_FINITE_POISSON,48,0.8325,210.07,True,True,101.440693,3129.440245,4.0,safe_min_power,OK,6251.0,6251.0,48.755102,100.0,18691.081633,18729.0,36.442041,72.0,72.0,55.95,P0,360.0,360.0,360.0,43.489796,47.0,48.795918,100.0,217792075.0,2914260.0,49,360.0,l4,133.1,0.081364,360,65.196672,32,131072,24.076,4194304,100,90,32,161.7,0.0,1.393688,l40s,9001.0,9001.0,2.490566,31.0,37817.0,37817.0,64.984151,350.0,350.0,92.97,P0,210.0,210.0,210.0,27.528302,29.0,7.018868,92.0,840788.0,215929141.0,53,210.0,142.7,144.1,0.125887,210,True,2,short_ramp
14.26,0,,80.77,79.07,66.72,354.59,2.52,INCONCLUSIVE_FINITE_POISSON,36,0.84,401.33,True,True,98.586899,3524.676392,3.0,safe_min_power,OK,6251.0,6251.0,40.614035,100.0,18755.701754,18865.0,34.61386,72.0,72.0,57.11,P0,570.0,570.0,570.0,45.210526,49.0,40.561404,100.0,654146578.0,5046730.0,57,570.0,l4,163.4,0.093087,570,97.907678,128,131072,24.076,16777216,100,72,32,177.2,0.0,5.574752,l40s,9001.0,9001.0,5.213115,48.0,37819.52459,37823.0,63.728852,350.0,350.0,86.67,P0,480.0,480.0,480.0,28.147541,30.0,8.065574,74.0,1254473.0,650145037.0,61,480.0,181.0,186.6,0.023551,480,True,3,prefill_shift
22.99,0,,133.64,82.83,73.34,384.24,1.04,INCONCLUSIVE_FINITE_POISSON,24,0.52,166.0,True,True,103.494755,4728.856837,2.0,safe_min_power,OK,6251.0,6251.0,67.194444,100.0,18865.0,18865.0,42.343889,72.0,72.0,56.56,P0,360.0,360.0,360.0,48.708333,52.0,67.902778,100.0,112200968.0,2677100.0,72,360.0,l4,101.3,0.499969,360,197.035702,32,131072,24.076,4194304,100,90,128,168.2,0.0,1.393688,l40s,9001.0,9001.0,1.653846,24.0,37823.0,37823.0,61.053333,350.0,350.0,83.6,P0,210.0,210.0,210.0,28.0,28.0,3.5,52.0,498697.0,110348519.0,78,210.0,169.2,170.6,0.21824,210,True,4,decode_shift
13.67,0,,187.25,76.92,63.76,499.1,5.85,INCONCLUSIVE_FINITE_POISSON,80,0.73125,930.38,True,True,111.353214,3341.196594,8.0,safe_min_power,OK,6251.0,6251.0,49.416667,100.0,18889.791667,18933.0,40.998125,72.0,72.0,62.02,P0,1200.0,1200.0,1200.0,51.104167,54.0,49.291667,100.0,1426962305.0,6271647.0,48,1200.0,l4,111.4,0.39063,1200,41.764957,128,131072,24.076,16777216,100,40,32,203.6,0.0,5.574752,l40s,9001.0,9001.0,5.326923,37.0,37832.269231,37861.0,69.734038,350.0,350.0,99.2,P0,735.0,735.0,735.0,28.442308,31.0,7.173077,55.0,2552043.0,1422975120.0,52,735.0,198.1,203.7,0.122929,735,True,5,sudden_burst
14.26,0,,53.85,76.22,67.29,352.15,1.68,INCONCLUSIVE_FINITE_POISSON,24,0.84,106.02,True,True,96.718187,2984.463074,2.0,safe_min_power,OK,6251.0,6251.0,42.857143,100.0,18933.0,18933.0,35.104898,72.0,72.0,56.8,P0,360.0,360.0,360.0,51.204082,53.0,42.795918,100.0,112132447.0,2503231.0,49,360.0,l4,133.4,0.079869,360,124.352628,32,131072,24.076,4194304,100,90,32,148.7,0.0,1.393688,l40s,9001.0,9001.0,1.660377,35.0,37861.0,37861.0,61.399057,350.0,350.0,79.78,P0,210.0,210.0,210.0,28.037736,29.0,4.075472,92.0,457417.0,110243839.0,53,210.0,129.2,130.6,0.108784,210,True,6,short_recovery
14.13,0,,54.35,71.38,60.45,417.25,1.7,INCONCLUSIVE_FINITE_POISSON,24,0.85,922.18,True,True,117.261986,4119.340947,2.0,safe_min_power,OK,6251.0,6251.0,41.071429,100.0,19078.357143,19393.0,46.282321,72.0,72.0,72.39,P0,1915.982143,2040.0,1650.0,53.732143,59.0,41.053571,100.0,1759509073.0,5891352.0,56,2040.0,l4,104.3,0.183285,2040,171.639206,512,131072,24.076,67108864,100,7,32,211.7,0.0,22.299008,l40s,9001.0,9001.0,2.416667,33.0,37872.2,37885.0,70.693833,350.0,350.0,103.44,P0,1755.0,1755.0,1755.0,28.733333,34.0,3.533333,44.0,2111091.0,1755483990.0,60,1755.0,168.2,190.5,0.024257,1755,True,7,long_prefill
22.24,0,,172.64,77.29,66.42,364.6,1.35,INCONCLUSIVE_FINITE_POISSON,30,0.45,343.94,True,True,106.319525,4806.467975,3.0,safe_min_power,OK,6251.0,6251.0,64.788732,100.0,19393.0,19393.0,44.467746,72.0,72.0,59.27,P0,780.0,780.0,780.0,54.971831,58.0,64.760563,100.0,546616050.0,3144380.0,71,780.0,l4,100.4,0.514316,780,160.215599,128,131072,24.076,16777216,100,63,128,205.3,0.0,5.574752,l40s,9001.0,9001.0,1.153846,22.0,37885.0,37885.0,61.709359,350.0,350.0,75.42,P0,480.0,480.0,480.0,28.192308,29.0,1.589744,28.0,1088681.0,544835393.0,78,480.0,200.1,205.7,0.197373,480,True,8,mixed_pressure
14.32,0,,26.83,75.61,65.34,357.7,0.84,INCONCLUSIVE_FINITE_POISSON,12,0.84,52.81,True,True,93.777861,2905.684206,1.0,safe_min_power,OK,6251.0,6251.0,34.42,100.0,19393.0,19393.0,32.764,72.0,72.0,57.29,P0,360.0,360.0,360.0,54.16,56.0,35.76,100.0,61440228.0,3997556.0,50,360.0,l4,154.4,0.079869,360,242.140351,32,131072,24.076,4194304,100,90,32,147.8,0.0,1.393688,l40s,9001.0,9001.0,0.415094,13.0,37885.0,37885.0,60.843396,350.0,350.0,70.47,P0,480.0,480.0,480.0,28.018868,29.0,0.528302,16.0,272442.0,57436976.0,53,480.0,112.4,113.8,0.024298,480,True,9,quiet_window
12.32,0,,51.93,75.56,65.38,493.98,1.62,INCONCLUSIVE_FINITE_POISSON,20,0.81,1712.13,True,True,125.304587,3408.301269,2.0,overload_min_slo_violation,OVERLOAD_FALLBACK,6251.0,6251.0,46.511628,100.0,19502.302326,19713.0,38.910698,72.0,72.0,59.77,P0,990.0,990.0,990.0,53.651163,56.0,48.604651,100.0,2950614800.0,5021020.0,43,990.0,l4,1026.4,0.343933,990,170.415063,1024,131072,24.076,134217728,100,0,32,251.7,0.0,44.598016,l40s,9001.0,9001.0,2.765957,55.0,37921.93617,37955.0,86.239362,350.0,350.0,123.41,P0,2514.255319,2520.0,2385.0,29.638298,32.0,6.978723,68.0,2946032.0,2948688872.0,47,2520.0,309.9,354.5,0.024411,2520,False,10,prefill_peak
