unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785144300.654733607,0,1245,48110018562,269618601723,0, 31.25, 210, 0, 0, 350.00, 405, 24, 46068, P0
1785144301.235121103,0,1245,48110051762,269618627978,0, 31.25, 210, 0, 0, 350.00, 405, 24, 46068, P0
1785144301.819056236,0,1245,48110051762,269618627978,0, 46.10, 1245, 0, 0, 350.00, 9001, 24, 46068, P0
1785144302.402234266,0,1245,48110097522,269618683345,0, 46.10, 1245, 0, 0, 350.00, 9001, 24, 46068, P0
1785144302.984204033,0,1245,48110237272,269618858273,0, 61.21, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144303.567374518,0,1245,48110237272,269618858273,0, 61.33, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144304.150110879,0,1245,48110371978,269619019107,0, 61.33, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144304.733155816,0,1245,48110371978,269619019107,0, 61.33, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144305.317759155,0,1245,48110517278,269619197119,0, 61.33, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144305.899904603,0,1245,48110517278,269619197119,0, 61.33, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144306.482541624,0,1245,48110637528,269619341665,0, 61.33, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144307.063887089,0,1245,48110794158,269619496065,0, 61.94, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144307.647473057,0,1245,48110794158,269619496065,0, 61.94, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144308.227420751,0,1245,48111104104,269619774099,0, 61.94, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144308.808374831,0,1245,48111104104,269619774099,0, 61.33, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144309.390343846,0,1245,48111753280,269620341459,0, 61.33, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144309.972513383,0,1245,48111753280,269620341459,0, 61.33, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144310.552490842,0,1245,48112283378,269620803871,0, 61.45, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144311.134100542,0,1245,48112937720,269621376819,0, 61.45, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144311.713632421,0,1245,48112937720,269621376819,0, 61.45, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144312.294603837,0,1245,48113175170,269621581783,0, 61.45, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144312.876252052,0,1245,48113175170,269621581783,0, 61.33, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144313.458650146,0,1245,48113381856,269621761401,0, 61.33, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144314.038885113,0,1245,48113381856,269621761401,0, 61.69, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
1785144314.613735337,0,1245,48113624586,269621992353,0, 61.69, 1245, 0, 0, 350.00, 9001, 25, 46068, P0
