proxy_start hostname=ganymede http=0.0.0.0:30161 registry=0.0.0.0:31161
registry_add role=decode http=10.1.0.3:33161 zmq=10.1.0.3:34161
registry_add role=prefill http=10.1.0.6:32161 zmq=10.1.0.6:34161
route count=0 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_a355a4ec66ce41c1a2dde31155f9d04e prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
clock_ack_publish node_group=ganymede seq=1 target_mhz=2040 rc=0 observed_mhz=2040
clock_ack_publish node_group=neptune seq=1 target_mhz=1245 rc=0 observed_mhz=1245
route count=1 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_7edc704b82d340b59c93919bde1bb574 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=2 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_6873e1eb28024ed69c0691884c2184b6 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=3 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_7a7856c652674d52a4d1d42391486862 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=4 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_4574a915b2104deda38688e338897d2e prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=5 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_dac708192a094faf94363ab926ae7732 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=6 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_defc6c5a52e9463c84e71928698f3dd0 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=7 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_65f2ed3b974744a2afc2eefd98c3d2e7 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=8 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_0b721b3d09f5407ca2c5567ac7e38522 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=9 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_75d3ff3d88d646c09e21356315c389fb prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=10 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_72e0e846225b4ce9bd2f38a225e557e8 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=11 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_365ee940cc3b47819fd89a4e32fcaa96 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=12 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_04e15e68159f4288b5339f53749d2496 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=13 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_d73db9f1536f40b6a9a2059bf3f4a195 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
clock_ack_publish node_group=neptune seq=2 target_mhz=735 rc=0 observed_mhz=1245
clock_ack_publish node_group=ganymede seq=2 target_mhz=2040 rc=0 observed_mhz=2040
route count=14 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_459b13e1e5d2475d867cf5969fecc0d4 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=15 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_90b654b47d114000b88ebd806fd363dd prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=16 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_ed989e6f341b4ff19481543be03374e6 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=17 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_d653bb436a2843ea94138b8b38b59a1c prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=18 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_d555d7759e6f45f5a20810b37e25007e prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=19 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_b476326b5ed84f92a7b09499eb04f51e prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=20 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_83288049175c4c3cacee5c3f361123d9 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=21 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_af6afb3ba2654d05a170352241282447 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=22 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_718565255c6a4d508ad873ac02fc2bd6 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=23 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_7ae7842d0fc243fda8c0585c227f858a prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=24 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_9318978f5af0409d8baeacbb1536134b prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=25 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_3f9f54799645460e8b9ff60296d22527 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=26 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_7c832b27a0be406687ba928eb5ad404d prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
clock_ack_publish node_group=neptune seq=3 target_mhz=480 rc=0 observed_mhz=480
clock_ack_publish node_group=ganymede seq=3 target_mhz=1200 rc=0 observed_mhz=2040
route count=27 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_3ba61a4d139f43469eeb9089502db0be prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=28 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_25065274ead54c2ab4d0f9ffb1809fd3 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=29 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_b6ab71de8e504b12b4e465482929883b prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
