unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785146066.198239557,0,2040,308527290499,10071751938,0, 16.11, 210, 0, 0, 72.00, 405, 33, 23034, P0
1785146066.810107495,0,2040,308527290499,10071751938,0, 16.11, 210, 0, 0, 72.00, 405, 33, 23034, P0
1785146067.430903845,0,2040,308527364541,10071845740,0, 21.49, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785146068.049889583,0,2040,308527527091,10072044934,0, 26.83, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785146068.666941570,0,2040,308527527091,10072044934,0, 26.83, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785146069.285846459,0,2040,308527676947,10072220664,0, 26.79, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785146069.903315957,0,2040,308527676947,10072220664,0, 26.79, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785146070.521377970,0,2040,308527819353,10072399180,0, 26.79, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785146071.137264323,0,2040,308527994615,10072586390,0, 26.83, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146071.760348774,0,2040,308527994615,10072586390,0, 26.83, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146072.377915565,0,2040,308528326075,10072883202,0, 26.84, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146072.994842802,0,2040,308528326075,10072883202,0, 26.79, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146073.610787931,0,2040,308529060593,10073522842,0, 26.79, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146074.224881392,0,2040,308530068883,10074401880,0, 26.78, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146074.841269448,0,2040,308530068883,10074401880,0, 26.78, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146075.458615056,0,2040,308530409447,10074694270,0, 26.88, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146076.073137022,0,2040,308530409447,10074694270,0, 26.93, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146076.690668835,0,2040,308530705499,10074956002,0, 26.93, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146077.307986190,0,2040,308530974265,10075209306,0, 26.83, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146077.924023942,0,2040,308530974265,10075209306,0, 26.83, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146078.540260491,0,2040,308531445911,10075630506,0, 26.89, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785146079.159254654,0,2040,308531445911,10075630506,0, 26.98, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146079.777281493,0,2040,308531540437,10075719804,0, 26.98, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146080.395802053,0,2040,308532078023,10076223156,0, 26.88, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146081.018407403,0,2040,308532078023,10076223156,0, 26.84, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146081.635159705,0,2040,308532691313,10076803976,0, 26.84, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146082.251062439,0,2040,308532691313,10076803976,0, 26.94, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146082.865967900,0,2040,308533343829,10077428098,0, 26.94, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146083.481921977,0,2040,308533846441,10077901968,0, 27.03, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146084.099986816,0,2040,308533846441,10077901968,0, 26.93, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146084.714149692,0,2040,308533969336,10078012262,0, 26.93, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146085.331023295,0,2040,308533969336,10078012262,0, 26.83, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146085.947450447,0,2040,308534357341,10078387829,0, 26.83, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146086.565421845,0,2040,308534396575,10078425987,0, 27.12, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146087.183726077,0,2040,308534396575,10078425987,0, 27.22, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146087.802658074,0,2040,308534478681,10078508317,0, 27.22, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146088.424017661,0,2040,308534478681,10078508317,0, 26.93, 2040, 0, 0, 72.00, 6251, 37, 23034, P0
1785146089.046521584,0,2040,308534569709,10078599087,0, 26.83, 2040, 0, 0, 72.00, 6251, 38, 23034, P0
1785146089.663954279,0,2040,308534708805,10078736391,0, 26.83, 2040, 0, 0, 72.00, 6251, 38, 23034, P0
1785146090.281906814,0,2040,308534708805,10078736391,0, 26.93, 2040, 0, 0, 72.00, 6251, 38, 23034, P0
1785146090.899150663,0,2040,308534859295,10078867919,0, 26.93, 2040, 0, 0, 72.00, 6251, 38, 23034, P0
1785146091.516437657,0,2040,308534859295,10078867919,0, 27.17, 2040, 0, 0, 72.00, 6251, 38, 23034, P0
1785146092.134217358,0,2040,308534991381,10078979267,0, 27.17, 2040, 0, 0, 72.00, 6251, 38, 23034, P0
1785146092.752923520,0,2040,308535111681,10079094947,0, 27.17, 2040, 0, 0, 72.00, 6251, 38, 23034, P0
1785146093.372231519,0,2040,308535111681,10079094947,0, 26.98, 2040, 0, 0, 72.00, 6251, 38, 23034, P0
1785146093.991055085,0,2040,308535116331,10079100651,0, 27.02, 2040, 0, 0, 72.00, 6251, 38, 23034, P0
