unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785319557.908018235,0,360,331038126579,11411671324,0, 16.16, 210, 0, 0, 72.00, 405, 35, 23034, P8
1785319558.532139862,0,360,331038161384,11411712576,0, 16.16, 210, 0, 0, 72.00, 405, 35, 23034, P8
1785319559.166243007,0,360,331038161384,11411712576,0, 16.20, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319559.784865315,0,360,331038215466,11411776728,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319560.406502973,0,360,331038378178,11411985820,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319561.030382379,0,360,331038378178,11411985820,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319561.654161362,0,360,331038545882,11412181820,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319562.281232529,0,360,331038545882,11412181820,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319562.903973899,0,360,331038692264,11412365138,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319563.545174710,0,360,331038867520,11412552202,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319564.169790475,0,360,331038867520,11412552202,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319564.791809150,0,360,331039082712,11412745270,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319565.412943527,0,360,331039647848,11413244804,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319566.034115132,0,360,331039647848,11413244804,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319566.656153936,0,360,331040369014,11413874432,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319567.280351459,0,360,331040369014,11413874432,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319567.904671758,0,360,331041130442,11414538144,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319568.526720957,0,360,331041312872,11414693694,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319569.148510694,0,360,331041312872,11414693694,0, 16.30, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319569.773327483,0,360,331041578904,11414928686,0, 16.30, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319570.397517597,0,360,331041578904,11414928686,0, 16.30, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319571.022277286,0,360,331041879492,11415211372,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319571.648924322,0,360,331042333530,11415619568,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319572.272130478,0,360,331042333530,11415619568,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319572.894588540,0,360,331042475246,11415748246,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319573.520160844,0,360,331042475246,11415748246,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319574.142750696,0,360,331043081976,11416319786,0, 16.30, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319574.764428119,0,360,331043732180,11416937238,0, 16.30, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319575.389213292,0,360,331043732180,11416937238,0, 16.30, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319576.012161710,0,360,331044653094,11417820944,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319576.637018638,0,360,331044828955,11417978724,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319577.258354141,0,360,331044828955,11417978724,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319577.882179993,0,360,331045235636,11418369441,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319578.501787345,0,360,331045235636,11418369441,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319579.140233119,0,360,331045268332,11418400861,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319579.764194540,0,360,331045351238,11418486599,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319580.390587798,0,360,331045351238,11418486599,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319581.014799910,0,360,331045442254,11418578241,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319581.646017875,0,360,331045442254,11418578241,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319582.269448336,0,360,331045557988,11418695991,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319582.889652367,0,360,331045682266,11418808021,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319583.512802024,0,360,331045682266,11418808021,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319584.137068293,0,360,331045815026,11418917719,0, 16.30, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319584.759419978,0,360,331045815026,11418917719,0, 16.30, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319585.382058488,0,360,331045887196,11418983081,0, 16.30, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319586.005339409,0,360,331045994304,11419088579,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319586.630686651,0,360,331045994304,11419088579,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319587.254144745,0,360,331046100784,11419195353,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319587.879457220,0,360,331046100784,11419195353,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319588.502509200,0,360,331046634900,11419733271,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319589.126645084,0,360,331047115484,11420218089,0, 16.25, 360, 0, 0, 72.00, 405, 35, 23034, P8
1785319589.749182992,0,360,331047115484,11420218089,0, 17.13, 360, 197, 0, 72.00, 6251, 35, 23034, P0
1785319590.375005259,0,360,331047436222,11420550307,0, 18.23, 360, 225, 0, 72.00, 6251, 35, 23034, P0
1785319590.998314345,0,360,331047754282,11420867501,0, 20.15, 360, 279, 0, 72.00, 6251, 35, 23034, P0
1785319591.621831870,0,360,331047754282,11420867501,0, 20.14, 360, 665, 0, 72.00, 6251, 35, 23034, P0
1785319592.244787464,0,360,331048092068,11421195037,1, 20.14, 360, 14147, 0, 72.00, 6251, 36, 23034, P0
1785319592.870726804,0,360,331048092068,11421195037,0, 20.12, 360, 14147, 0, 72.00, 6251, 36, 23034, P0
