time_start_s,time_end_s,component,samples,running_avg,running_max,waiting_avg,waiting_max,gpu_cache_usage_avg,gpu_cache_usage_max
0.0,5.0,decode,5,0.0,0.0,0.0,0.0,,
0.0,5.0,prefill,5,0.0,0.0,0.0,0.0,,
5.0,10.0,decode,5,0.0,0.0,0.0,0.0,,
5.0,10.0,prefill,5,0.0,0.0,0.0,0.0,,
10.0,15.0,decode,5,0.0,0.0,0.0,0.0,,
10.0,15.0,prefill,5,0.0,0.0,0.0,0.0,,
15.0,20.0,decode,5,9.4,18.0,0.0,0.0,,
15.0,20.0,prefill,5,8.0,22.0,0.0,0.0,,
20.0,25.0,decode,5,17.6,32.0,0.0,0.0,,
20.0,25.0,prefill,5,35.0,57.0,0.0,0.0,,
25.0,30.0,decode,5,29.2,57.0,0.0,0.0,,
25.0,30.0,prefill,5,62.6,71.0,10.8,27.0,,
30.0,35.0,decode,5,28.4,71.0,0.0,0.0,,
30.0,35.0,prefill,5,59.8,71.0,76.6,89.0,,
35.0,40.0,decode,5,51.2,71.0,0.0,0.0,,
35.0,40.0,prefill,5,65.4,71.0,154.6,196.0,,
40.0,45.0,decode,5,34.2,57.0,0.0,0.0,,
40.0,45.0,prefill,5,65.4,71.0,226.4,276.0,,
45.0,50.0,decode,5,51.2,71.0,0.0,0.0,,
45.0,50.0,prefill,5,62.6,71.0,285.6,300.0,,
50.0,55.0,decode,5,44.8,71.0,0.0,0.0,,
50.0,55.0,prefill,5,59.8,71.0,321.6,327.0,,
55.0,60.0,decode,5,51.2,71.0,0.0,0.0,,
55.0,60.0,prefill,5,65.4,71.0,318.6,327.0,,
60.0,65.0,decode,5,48.4,71.0,0.0,0.0,,
60.0,65.0,prefill,5,65.4,71.0,318.6,327.0,,
65.0,70.0,decode,5,51.2,71.0,0.0,0.0,,
65.0,70.0,prefill,5,62.6,71.0,321.4,327.0,,
70.0,75.0,decode,5,53.8,71.0,0.0,0.0,,
70.0,75.0,prefill,5,59.8,71.0,324.2,327.0,,
75.0,80.0,decode,5,62.6,71.0,0.0,0.0,,
75.0,80.0,prefill,5,65.4,71.0,318.6,327.0,,
80.0,85.0,decode,5,37.0,71.0,0.0,0.0,,
80.0,85.0,prefill,5,65.4,71.0,318.6,327.0,,
85.0,90.0,decode,5,53.8,71.0,0.0,0.0,,
85.0,90.0,prefill,5,59.8,71.0,324.2,327.0,,
90.0,95.0,decode,5,39.8,71.0,0.0,0.0,,
90.0,95.0,prefill,5,62.6,71.0,321.4,327.0,,
95.0,100.0,decode,5,48.4,71.0,0.0,0.0,,
95.0,100.0,prefill,5,65.4,71.0,318.6,327.0,,
100.0,105.0,decode,5,47.2,71.0,0.0,0.0,,
100.0,105.0,prefill,5,65.4,71.0,311.4,327.0,,
105.0,110.0,decode,5,51.6,71.0,0.0,0.0,,
105.0,110.0,prefill,5,59.8,71.0,229.8,244.0,,
110.0,115.0,decode,5,65.2,71.0,0.0,0.0,,
110.0,115.0,prefill,5,62.6,71.0,138.8,173.0,,
115.0,120.0,decode,5,66.2,116.0,0.0,0.0,,
115.0,120.0,prefill,5,39.8,71.0,41.2,116.0,,
120.0,125.0,decode,2,58.0,116.0,0.0,0.0,,
120.0,125.0,prefill,2,0.0,0.0,0.0,0.0,,
