unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785332314.514438481,0,480,48379606123,329430478873,0, 31.63, 210, 0, 0, 350.00, 405, 31, 46068, P0
1785332315.098224038,0,480,48379606123,329430478873,0, 45.38, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332315.682657842,0,480,48379684846,329430556822,0, 45.38, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332316.265541973,0,480,48379684846,329430556822,0, 59.13, 480, 0, 0, 350.00, 9001, 32, 46068, P0
1785332316.848254181,0,480,48379788966,329430686744,0, 59.13, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332317.430980252,0,480,48379788966,329430686744,0, 59.13, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332318.014151490,0,480,48379959548,329430891742,0, 59.13, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332318.596614783,0,480,48380080426,329431038532,0, 59.13, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332319.179928901,0,480,48380080426,329431038532,0, 59.13, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332319.762916764,0,480,48380200104,329431186676,0, 59.13, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332320.345619851,0,480,48380200104,329431186676,0, 59.25, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332320.928258535,0,480,48380354868,329431346382,0, 59.25, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332321.510516831,0,480,48380354868,329431346382,0, 59.25, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332322.093373310,0,480,48380570842,329431540410,0, 59.13, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332322.676140254,0,480,48381006184,329431923362,0, 59.13, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332323.258745182,0,480,48381006184,329431923362,0, 59.13, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332323.840223214,0,480,48381622798,329432462468,0, 59.13, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332324.423234523,0,480,48381622798,329432462468,0, 59.13, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332325.008277567,0,480,48382243066,329433003392,0, 59.02, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332325.591385489,0,480,48382243066,329433003392,0, 59.02, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332326.174220641,0,480,48382704936,329433408324,0, 59.03, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332326.757164304,0,480,48382831226,329433514152,0, 59.03, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332327.340848563,0,480,48382831226,329433514152,0, 59.15, 480, 0, 0, 350.00, 9001, 31, 46068, P0
1785332327.926305324,0,480,48383136364,329433789604,0, 59.15, 480, 0, 0, 350.00, 9001, 31, 46068, P0
