proxy_start hostname=ganymede http=0.0.0.0:30271 registry=0.0.0.0:31271
registry_add role=prefill http=10.1.0.6:32271 zmq=10.1.0.6:34271
registry_add role=decode http=10.1.0.3:33271 zmq=10.1.0.3:34271
route count=0 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_3633b86473b04c0299b6e6e0bfdb70b0 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
clock_ack_publish node_group=ganymede seq=1 target_mhz=360 rc=0 observed_mhz=360
clock_ack_publish node_group=neptune seq=1 target_mhz=480 rc=0 observed_mhz=480
route count=1 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_005c5df60a794a0aa95f37178fe7b7a0 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=2 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_82cd3170f58a4f62adb97c1b1c05f649 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=3 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_33b5a6b1b078462bb93c121dce399dcd prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=4 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_3d2b5062198349a4969c20ccd49941ac prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=5 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_a29bc69fea9b4c3ba71cff3edc2e86d4 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=6 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_bd816c6d491344a0aa0f49631b3a531b prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=7 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_f33c248656e24564a6ee05b709f297ca prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=8 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_c430e66ef0a142a9a33b0fb5c98fab68 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=9 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_bac16fa42cc6468e99139b6dabe75d68 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=10 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_4c40b0ac2c3840478b5ef1c0b2af601b prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=11 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_fc7dcc6b632140c0bac7be2477935241 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=12 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_472ed0eb235d494cabde25469e7223ba prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=13 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_1f613382b1fa45d2ab851e4910c1b25b prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
clock_ack_publish node_group=neptune seq=2 target_mhz=735 rc=0 observed_mhz=480
clock_ack_publish node_group=ganymede seq=2 target_mhz=2040 rc=0 observed_mhz=360
route count=14 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_e099d46155534be59127dd04c123e5a8 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=15 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_5f199b3d517a429fba913a3d27c21210 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=16 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_8caa537ab3ea4c42b1b2d6907c0be430 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=17 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_dae78170c015402e80941eb026f7046f prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=18 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_b0114df5e3204e0db7835be43915a274 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=19 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_d2a5bea180544c7c8001394b9be916f2 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=20 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_bce32464c7a04c31a5349fdd92ee60b1 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=21 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_d751c91c9db1414ab71a515e184776c2 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=22 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_255ffb2b9dbb4fdfaee88026cd59627d prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=23 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_c3140d361aa5436bafb490e9cabad720 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=24 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_b1f36970a3244555b69b15cba5ef17a2 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=25 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_fecaf74cbd514ad6a9ba2d92e411f10c prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=26 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_7bea4c1b56824623acda0d75395fa169 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=27 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_733c6efdef884f71b5a12214abaa3ec1 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=28 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_92506d4316264e159db237e993f7bde7 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=29 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_a795579393554cc48889b4c4dd16ac3b prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=30 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_c9e2f219e2f44bbf94983c9102428adf prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=31 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_49e3f791f8d14b4b90bb9132a21c773d prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=32 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_14e9b1d3e2904d0aa21de570da8931db prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=33 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_b3fffe7a5faf447ab529116e49e006eb prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=34 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_5ef16810d86343f6b8a83654150d4f21 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=35 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_24dbb0bfcaf34866b2501255d853abc6 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=36 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_09d3e95102ab425fb24798edda7d0dfe prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=37 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_f0b52ff98ff04a1e9a0024e8e7c51988 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=38 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_8f8771665d514c2eb3efe7bf1f8bf237 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=39 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_00ef33f467df47cf84491b53445a69f8 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=40 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_adb62e9cca4741b9b0184712ab133caa prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=41 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_53b4962a16a44d8da3157f375e2b0807 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=42 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_1c1c5275771146bd91ea6c3f0e15b92b prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=43 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_adb306e579f44c0ca3ba0fdcd14eb11b prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=44 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_079cd9b08d1e4e8ba14ec4c7abed7062 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=45 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_e0e875072e7a41ee8fcf22646cfb1c0c prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=46 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_23e8b76bdaa8437fa3863f7c02c65e55 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=47 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_7594ed38b7854496b603187431bac03d prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=48 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_624344b0638a4a69b0fbe31232f8bf81 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=49 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_4b8f966ca8a74060a721219deb1b5d38 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=50 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_e777792452304f178b35aae85d407206 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=51 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_32ea0c0f4c76493db9a5020f447a64b7 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=52 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_1a90573fea0841539deaf170847588c0 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=53 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_55123da198474f7aa201363b348ea074 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=54 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_c4a3cca818534c14a55fc34adf42b17b prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=55 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_4541b73610b24c128841c888e1a1e8cc prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=56 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_4af90132697b4444ae22231d5ca24ac5 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=57 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_63e2699056ee4a759db83741657ad310 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=58 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_af71824b93e44589b6f9980c1c5bfe77 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=59 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_3c0668f096954b78abf100696e2aef00 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=60 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_51150590a9dd462babf67b705c164522 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=61 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_c319c718e59c48059860247691a23073 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=62 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_91506f68038d44f18ccd8e6372087d50 prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
route count=63 request_id=___prefill_addr_10.1.0.6:34271___decode_addr_10.1.0.3:34271_af613ff44129407b8617c2ac844e72cb prefill_http=10.1.0.6:32271 decode_http=10.1.0.3:33271
