unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785333222.862253481,0,360,365529449308,11673820409,0, 17.52, 210, 0, 0, 72.00, 405, 55, 23034, P8
1785333223.486157614,0,360,365529517205,11673896669,0, 17.57, 360, 0, 0, 72.00, 405, 55, 23034, P8
1785333224.116629516,0,360,365529517205,11673896669,0, 17.57, 360, 0, 0, 72.00, 405, 55, 23034, P8
1785333224.741516684,0,360,365529654345,11674037645,0, 17.62, 360, 0, 0, 72.00, 405, 54, 23034, P8
1785333225.366183724,0,360,365529654345,11674037645,0, 17.62, 360, 0, 0, 72.00, 405, 54, 23034, P8
1785333225.988362900,0,360,365529887701,11674272983,0, 17.62, 360, 0, 0, 72.00, 405, 54, 23034, P8
1785333226.614655531,0,360,365530089463,11674474757,0, 17.57, 360, 0, 0, 72.00, 405, 54, 23034, P8
1785333227.238707578,0,360,365530089463,11674474757,0, 17.57, 360, 0, 0, 72.00, 405, 54, 23034, P8
1785333227.861231811,0,360,365530304865,11674699079,0, 17.52, 360, 0, 0, 72.00, 405, 54, 23034, P8
1785333228.484470764,0,360,365530304865,11674699079,0, 17.52, 360, 0, 0, 72.00, 405, 54, 23034, P8
1785333229.109737401,0,360,365530520457,11674918053,0, 17.52, 360, 0, 0, 72.00, 405, 54, 23034, P8
1785333229.742421475,0,360,365530725507,11675119981,0, 17.52, 360, 0, 0, 72.00, 405, 53, 23034, P8
1785333230.365339128,0,360,365530725507,11675119981,0, 17.52, 360, 0, 0, 72.00, 405, 53, 23034, P8
1785333230.986406486,0,360,365530850367,11675244783,0, 17.52, 360, 0, 0, 72.00, 405, 53, 23034, P8
1785333231.611553375,0,360,365530850367,11675244783,0, 17.47, 360, 0, 0, 72.00, 405, 53, 23034, P8
1785333232.235355280,0,360,365531167803,11675555815,0, 17.47, 360, 0, 0, 72.00, 405, 53, 23034, P8
1785333232.856635353,0,360,365531551951,11675937225,0, 17.43, 360, 0, 0, 72.00, 405, 53, 23034, P8
1785333233.479181481,0,360,365531551951,11675937225,0, 17.43, 360, 0, 0, 72.00, 405, 53, 23034, P8
1785333234.102235927,0,360,365531877879,11676255231,0, 17.43, 360, 0, 0, 72.00, 405, 53, 23034, P8
1785333234.724679276,0,360,365531877879,11676255231,0, 17.43, 360, 0, 0, 72.00, 405, 52, 23034, P8
1785333235.348969353,0,360,365532042475,11676399717,0, 17.47, 360, 0, 0, 72.00, 405, 52, 23034, P8
1785333235.972324397,0,360,365532235641,11676595053,0, 17.47, 360, 0, 0, 72.00, 405, 52, 23034, P8
1785333236.596925711,0,360,365532235641,11676595053,0, 17.47, 360, 0, 0, 72.00, 405, 52, 23034, P8
1785333237.221678229,0,360,365532476113,11676829537,0, 17.47, 360, 0, 0, 72.00, 405, 52, 23034, P8
1785333237.846386093,0,360,365532639935,11676995689,0, 17.38, 360, 0, 0, 72.00, 405, 52, 23034, P8
1785333238.467596088,0,360,365532639935,11676995689,0, 17.33, 360, 0, 0, 72.00, 405, 52, 23034, P8
1785333239.089176477,0,360,365532884225,11677230437,0, 17.33, 360, 0, 0, 72.00, 405, 52, 23034, P8
1785333239.709654427,0,360,365532884225,11677230437,0, 17.33, 360, 0, 0, 72.00, 405, 52, 23034, P8
1785333240.331824389,0,360,365533525419,11677835325,0, 17.33, 360, 0, 0, 72.00, 405, 52, 23034, P8
1785333240.952716416,0,360,365533936335,11678234141,0, 17.38, 360, 0, 0, 72.00, 405, 51, 23034, P8
