bin,request_index_start,request_index_end,nominal_send_start_s,nominal_send_end_s,count,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
1,1,160,0.0,5.0,160,4339.528682467062,6183.121615782146,6416.971193969948,,,,,,
2,161,320,5.0,10.0,160,7811.413816001732,9572.10196495289,9764.616862131516,,,,,,
3,321,480,10.0,15.0,160,11230.265690945089,12942.006046266759,13186.283196626464,,,,,,
4,481,640,15.0,20.0,160,14779.527371516451,16658.974028087687,16823.601595892105,,,,,,
5,641,800,20.0,25.0,160,18059.017329011112,19454.938324500108,19642.582830481697,,,,,,
6,801,960,25.0,30.0,160,20966.16317849839,22607.96781378449,22829.981843943242,,,,,,
7,961,1120,30.0,35.0,160,23867.715266009327,24007.61935042683,24017.868242706172,,,,,,
8,1121,1280,35.0,40.0,160,23933.330023486633,24219.04024797259,24225.043461682508,,,,,,
9,1281,1440,40.0,45.0,160,24347.126099979505,24360.815102100605,24365.25073956931,,,,,,
10,1441,1600,45.0,50.0,160,24589.450184023008,24739.020321134012,24743.680608519353,,,,,,
11,1601,1760,50.0,55.0,160,24642.276369442698,24730.115495598875,24740.315398651874,,,,,,
12,1761,1920,55.0,60.0,160,24528.250314528123,25528.598746308126,25536.1131170718,,,,,,
