unix_ts,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate,dvfs_mode
1785363401.770893113,48545503000,355272737392,0, 31.13, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363402.354928966,48545547090,355272779039,0, 31.12, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363402.937967815,48545547090,355272779039,0, 31.12, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363403.520218823,48545634654,355272887407,0, 31.13, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363404.102292624,48545794014,355273080621,0, 31.13, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363404.685440969,48545794014,355273080621,0, 31.13, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363405.268318723,48545919116,355273229471,0, 31.12, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363405.851644657,48545919116,355273229471,0, 31.12, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363406.434387376,48546058530,355273405279,0, 31.12, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363407.018126067,48546058530,355273405279,0, 31.12, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363407.604466127,48546176670,355273541313,0, 31.12, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363408.186008914,48546176670,355273541313,0, 31.12, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363408.769073090,48546267274,355273653111,0, 31.12, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363409.352194805,48546483088,355273908413,0, 31.12, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363409.932715941,48546483088,355273908413,0, 31.12, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363410.514356556,48546723048,355274188541,0, 31.13, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363411.097806800,48546723048,355274188541,0, 31.13, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363411.678272129,48546863134,355274319067,0, 31.13, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363412.259556410,48546863134,355274319067,0, 31.13, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363412.843253058,48546974100,355274446935,0, 31.13, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363413.427363286,48547146302,355274629075,0, 31.14, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363414.009956864,48547146302,355274629075,0, 31.14, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363414.592695452,48547258950,355274771365,0, 31.14, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
1785363415.174601664,48547258950,355274771365,0, 31.14, 210, 0, 0, 350.00, 405, 25, 46068, P8,automatic_hardware
