unix_ns,monotonic_ns,window_id,request_id,attempt,event,http_status,detail
1785364434876841229,989804920370508,baseline_short,baseline_short-00000-21625f3ea815,0,client_ready,,
1785364434877992958,989804921522151,baseline_short,baseline_short-00000-21625f3ea815,0,semaphore_acquired,,
1785364434878687100,989804922216219,baseline_short,baseline_short-00000-21625f3ea815,1,attempt_send,,
1785364435531286275,989805574816820,baseline_short,baseline_short-00000-21625f3ea815,1,response_headers,200,response_request_id=baseline_short-00000-21625f3ea815
1785364435730865676,989805774396168,baseline_short,baseline_short-00000-21625f3ea815,1,first_token,,
1785364435875433613,989805918964209,baseline_short,baseline_short-00001-55c49c43cc27,0,client_ready,,
1785364435879420871,989805922952118,baseline_short,baseline_short-00001-55c49c43cc27,0,semaphore_acquired,,
1785364435881775674,989805925306409,baseline_short,baseline_short-00001-55c49c43cc27,1,attempt_send,,
1785364435966327240,989806009857398,baseline_short,baseline_short-00001-55c49c43cc27,1,response_headers,200,response_request_id=baseline_short-00001-55c49c43cc27
1785364436126733939,989806170264364,baseline_short,baseline_short-00001-55c49c43cc27,1,first_token,,
1785364436874820548,989806918351267,baseline_short,baseline_short-00002-f58ddc05efc7,0,client_ready,,
1785364436878874061,989806922405427,baseline_short,baseline_short-00002-f58ddc05efc7,0,semaphore_acquired,,
1785364436881815402,989806925346234,baseline_short,baseline_short-00002-f58ddc05efc7,1,attempt_send,,
1785364436978885003,989807022415235,baseline_short,baseline_short-00002-f58ddc05efc7,1,response_headers,200,response_request_id=baseline_short-00002-f58ddc05efc7
1785364437109526970,989807153057510,baseline_short,baseline_short-00002-f58ddc05efc7,1,first_token,,
1785364437522620990,989807566152229,baseline_short,baseline_short-00000-21625f3ea815,1,request_complete,200,
1785364437874909304,989807918440208,baseline_short,baseline_short-00003-1267b44f1d37,0,client_ready,,
1785364437878559508,989807922090863,baseline_short,baseline_short-00003-1267b44f1d37,0,semaphore_acquired,,
1785364437880341447,989807923871607,baseline_short,baseline_short-00003-1267b44f1d37,1,attempt_send,,
1785364437923886528,989807967417811,baseline_short,baseline_short-00001-55c49c43cc27,1,request_complete,200,
1785364437970918744,989808014449116,baseline_short,baseline_short-00003-1267b44f1d37,1,response_headers,200,response_request_id=baseline_short-00003-1267b44f1d37
1785364438147106780,989808190637112,baseline_short,baseline_short-00003-1267b44f1d37,1,first_token,,
1785364438875579237,989808919110602,baseline_short,baseline_short-00004-f809f4d91c81,0,client_ready,,
1785364438878680498,989808922211753,baseline_short,baseline_short-00004-f809f4d91c81,0,semaphore_acquired,,
1785364438880264747,989808923795258,baseline_short,baseline_short-00004-f809f4d91c81,1,attempt_send,,
1785364438903853654,989808947385453,baseline_short,baseline_short-00002-f58ddc05efc7,1,request_complete,200,
1785364438980230500,989809023760818,baseline_short,baseline_short-00004-f809f4d91c81,1,response_headers,200,response_request_id=baseline_short-00004-f809f4d91c81
1785364439125815626,989809169346057,baseline_short,baseline_short-00004-f809f4d91c81,1,first_token,,
1785364439874726376,989809918257308,baseline_short,baseline_short-00005-7c6bf07db1ec,0,client_ready,,
1785364439878506146,989809922037355,baseline_short,baseline_short-00005-7c6bf07db1ec,0,semaphore_acquired,,
1785364439880493590,989809924024102,baseline_short,baseline_short-00005-7c6bf07db1ec,1,attempt_send,,
1785364439946031781,989809989562942,baseline_short,baseline_short-00003-1267b44f1d37,1,request_complete,200,
1785364439981419466,989810024949498,baseline_short,baseline_short-00005-7c6bf07db1ec,1,response_headers,200,response_request_id=baseline_short-00005-7c6bf07db1ec
1785364440163002143,989810206532605,baseline_short,baseline_short-00005-7c6bf07db1ec,1,first_token,,
1785364440874761567,989810918292435,baseline_short,baseline_short-00006-ce8b38c10d4d,0,client_ready,,
1785364440878263254,989810921794489,baseline_short,baseline_short-00006-ce8b38c10d4d,0,semaphore_acquired,,
1785364440880806133,989810924336965,baseline_short,baseline_short-00006-ce8b38c10d4d,1,attempt_send,,
1785364440923453303,989810966985006,baseline_short,baseline_short-00004-f809f4d91c81,1,request_complete,200,
1785364440978319516,989811021849738,baseline_short,baseline_short-00006-ce8b38c10d4d,1,response_headers,200,response_request_id=baseline_short-00006-ce8b38c10d4d
1785364441142057312,989811185587647,baseline_short,baseline_short-00006-ce8b38c10d4d,1,first_token,,
