unix_ts,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate,dvfs_mode
1785364356.265057905,374212363876,11787659199,0, 16.25, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364356.888580207,374212363876,11787659199,0, 16.25, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364357.521853681,374212410083,11787703649,0, 16.25, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364358.147042420,374212410083,11787703649,0, 16.20, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364358.771550060,374212665885,11788019205,0, 16.20, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364359.396420867,374212817213,11788196557,0, 16.20, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364360.021965416,374212817213,11788196557,0, 16.20, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364360.648173076,374212960911,11788377287,0, 16.35, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364361.272921157,374212960911,11788533741,0, 16.35, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364361.897401390,374213094055,11788533741,0, 16.35, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364362.520253517,374213165575,11788622325,0, 16.20, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364363.139377946,374213165575,11788622325,0, 16.20, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364363.765140871,374213392427,11788888489,0, 16.20, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364364.385297218,374213631873,11789169625,0, 16.25, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364365.008931925,374213631873,11789169625,0, 16.25, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364365.630071452,374213771567,11789301015,0, 16.25, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364366.255014063,374213771567,11789301015,0, 16.20, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364366.879596682,374213885951,11789428565,0, 16.20, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
1785364367.500123696,374214085407,11789639807,0, 16.20, 210, 0, 0, 72.00, 405, 35, 23034, P8,automatic_hardware
