unix_ns,monotonic_ns,role,endpoint,scrape_ok,scrape_duration_ms,running,waiting,waiting_growth_per_s,kv_cache_usage,prefix_cache_hits,prefix_cache_queries,external_prefix_cache_hits,external_prefix_cache_queries,preemptions,prompt_tokens,generation_tokens,successful_requests,e2e_count,e2e_sum_s,ttft_count,ttft_sum_s,inter_token_count,inter_token_sum_s,iteration_tokens_count,iteration_tokens_sum,error
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,True,60.19427499268204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785364434934728189,989804978257965,decode,http://10.1.0.3:33327/metrics,True,50.64910289365798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785364435374030824,989805417561116,prefill,http://10.1.0.6:32327/metrics,True,37.327490048483014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785364435413341743,989805456871474,decode,http://10.1.0.3:33327/metrics,True,33.87576900422573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785364435874877374,989805918407589,prefill,http://10.1.0.6:32327/metrics,True,36.21886298060417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48235344886779785,1.0,0.48235344886779785,0.0,0.0,1.0,33.0,
1785364435913335905,989805956865965,decode,http://10.1.0.3:33327/metrics,True,35.5638659093529,1.0,0.0,0.0,0.0014272121788773129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1091914176940918,3.0,0.16750943008810282,4.0,36.0,
1785364436376528761,989806420058784,prefill,http://10.1.0.6:32327/metrics,True,36.34088102262467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.541738748550415,2.0,0.541738748550415,0.0,0.0,2.0,66.0,
1785364436415314311,989806458844475,decode,http://10.1.0.3:33327/metrics,True,37.311466061510146,2.0,0.0,0.0,0.0023786869647954845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2575368881225586,17.0,0.9731557451887056,13.0,83.0,
1785364436878053581,989806921583696,prefill,http://10.1.0.6:32327/metrics,True,36.35967709124088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.541738748550415,2.0,0.541738748550415,0.0,0.0,2.0,66.0,
1785364436916978065,989806960508292,decode,http://10.1.0.3:33327/metrics,True,36.82718297932297,2.0,0.0,0.0,0.0028544243577545148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2575368881225586,33.0,1.8979404031997547,21.0,99.0,
