role,source_file,line_number,log_timestamp,category,request_id,message
prefill,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260730-002912-luqia-vllm-pd-observability-chjing-workdir-r3/observability_results/prefill_server.log,7,07-30 00:32:55,iteration,,"[0;36m(APIServer pid=2276349)[0;0m INFO 07-30 00:32:55 [utils.py:261] non-default args: {'model_tag': 'mistralai/Mistral-7B-v0.1', 'api_server_count': 1, 'host': '0.0.0.0', 'port': 32327, 'enable_request_id_headers': True, 'model': 'mistralai/Mistral-7B-v0.1', 'dtype': 'float16', 'max_model_len': 4096, 'enforce_eager': True, 'gpu_memory_utilization': 0.82, 'enable_prefix_caching': True, 'otlp_traces_endpoint': 'http://10.1.0.3:35327/v1/traces', 'collect_detailed_traces': ['all'], 'kv_cache_metrics': True, 'kv_cache_metrics_sample': 1.0, 'enable_mfu_metrics': True, 'enable_logging_iteration_details': True, 'max_num_batched_tokens': 4096, 'max_num_seqs': 64, 'kv_transfer_config': KVTransferConfig(kv_connector='P2pNcclConnector', engine_id='203f5510-9c6e-4b03-a1d2-afb9813f6e43', kv_buffer_device='cuda', kv_buffer_size=10.0, kv_role='kv_producer', kv_rank=None, kv_parallel_size=1, kv_ip='127.0.0.1', kv_port=34327, kv_connector_extra_config={'proxy_ip': '10.1.0.3', 'proxy_port': '31327', 'http_port': '32327', 'send_type': 'PUT_ASYNC', 'nccl_num_channels': '16'}, kv_connector_module_path=None, enable_permute_local_kv=False, kv_load_failure_policy='recompute'), 'attention_config': AttentionConfig(backend=<AttentionBackendEnum.FLASH_ATTN: 'vllm.v1.attention.backends.flash_attn.FlashAttentionBackend'>, flash_attn_version=None, use_prefill_decode_attention=False, flash_attn_max_num_splits_for_cuda_graph=32, use_cudnn_prefill=False, use_trtllm_ragged_deepseek_prefill=True, use_trtllm_attention=None, disable_flashinfer_prefill=False, disable_flashinfer_q_quantization=False), 'enable_log_requests': True}"
prefill,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260730-002912-luqia-vllm-pd-observability-chjing-workdir-r3/observability_results/prefill_server.log,11,07-30 00:33:07,scheduler,,[0;36m(APIServer pid=2276349)[0;0m INFO 07-30 00:33:07 [scheduler.py:226] Chunked prefill is enabled with max_num_batched_tokens=4096.
prefill,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260730-002912-luqia-vllm-pd-observability-chjing-workdir-r3/observability_results/prefill_server.log,15,07-30 00:33:07,kv_cache,,"[0;36m(APIServer pid=2276349)[0;0m WARNING 07-30 00:33:07 [vllm.py:980] Turning off hybrid kv cache manager because `--kv-transfer-config` is set. This will reduce the performance of vLLM on LLMs with sliding window attention or Mamba attention. If you are a developer of kv connector, please consider supporting hybrid kv cache manager for your connector by making sure your connector is a subclass of `SupportsHMA` defined in kv_connector/v1/base.py and use --no-disable-hybrid-kv-cache-manager to start vLLM."
prefill,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260730-002912-luqia-vllm-pd-observability-chjing-workdir-r3/observability_results/prefill_server.log,16,07-30 00:33:20,iteration,,"[0;36m(EngineCore_DP0 pid=2277020)[0;0m INFO 07-30 00:33:20 [core.py:96] Initializing a V1 LLM engine (v0.15.1) with config: model='mistralai/Mistral-7B-v0.1', speculative_config=None, tokenizer='mistralai/Mistral-7B-v0.1', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.float16, max_seq_len=4096, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, data_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, enable_return_routed_experts=False, kv_cache_dtype=auto, device_config=cuda, structured_outputs_config=StructuredOutputsConfig(backend='auto', disable_fallback=False, disable_any_whitespace=False, disable_additional_properties=False, reasoning_parser='', reasoning_parser_plugin='', enable_in_reasoning=False), observability_config=ObservabilityConfig(show_hidden_metrics_for_version=None, otlp_traces_endpoint='http://10.1.0.3:35327/v1/traces', collect_detailed_traces=['all'], kv_cache_metrics=True, kv_cache_metrics_sample=1.0, cudagraph_metrics=False, enable_layerwise_nvtx_tracing=False, enable_mfu_metrics=True, enable_mm_processor_stats=False, enable_logging_iteration_details=True), seed=0, served_model_name=mistralai/Mistral-7B-v0.1, enable_prefix_caching=True, enable_chunked_prefill=True, pooler_config=None, compilation_config={'level': None, 'mode': <CompilationMode.NONE: 0>, 'debug_dump_path': None, 'cache_dir': '', 'compile_cache_save_format': 'binary', 'backend': 'inductor', 'custom_ops': ['all'], 'splitting_ops': [], 'compile_mm_encoder': False, 'compile_sizes': [], 'compile_ranges_split_points': [4096], 'inductor_compile_config': {'enable_auto_functionalized_v2': False, 'combo_kernels': True, 'benchmark_combo_kernel': True}, 'inductor_passes': {}, 'cudagraph_mode': <CUDAGraphMode.NONE: 0>, 'cudagraph_num_of_warmups': 0, 'cudagraph_capture_sizes': [], 'cudagraph_copy_inputs': False, 'cudagraph_specialize_lora': True, 'use_inductor_graph_partition': False, 'pass_config': {'fuse_norm_quant': False, 'fuse_act_quant': False, 'fuse_attn_quant': False, 'eliminate_noops': False, 'enable_sp': False, 'fuse_gemm_comms': False, 'fuse_allreduce_rms': False}, 'max_cudagraph_capture_size': 0, 'dynamic_shapes_config': {'type': <DynamicShapesType.BACKED: 'backed'>, 'evaluate_guards': False, 'assume_32_bit_indexing': True}, 'local_cache_dir': None, 'static_all_moe_layers': []}"
prefill,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260730-002912-luqia-vllm-pd-observability-chjing-workdir-r3/observability_results/prefill_server.log,39,07-30 00:33:34,kv_cache,,[0;36m(EngineCore_DP0 pid=2277020)[0;0m INFO 07-30 00:33:34 [gpu_worker.py:356] Available KV cache memory: 22.44 GiB
prefill,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260730-002912-luqia-vllm-pd-observability-chjing-workdir-r3/observability_results/prefill_server.log,40,07-30 00:33:34,kv_cache,,"[0;36m(EngineCore_DP0 pid=2277020)[0;0m INFO 07-30 00:33:34 [kv_cache_utils.py:1307] GPU KV cache size: 183,840 tokens"
prefill,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260730-002912-luqia-vllm-pd-observability-chjing-workdir-r3/observability_results/prefill_server.log,41,07-30 00:33:34,kv_cache,,"[0;36m(EngineCore_DP0 pid=2277020)[0;0m INFO 07-30 00:33:34 [kv_cache_utils.py:1312] Maximum concurrency for 4,096 tokens per request: 44.71x"
prefill,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260730-002912-luqia-vllm-pd-observability-chjing-workdir-r3/observability_results/prefill_server.log,48,07-30 00:33:49,kv_cache,,"[0;36m(EngineCore_DP0 pid=2277020)[0;0m INFO 07-30 00:33:49 [utils.py:38] Connectors do not specify a kv cache layout, defaulting to NHD."
prefill,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260730-002912-luqia-vllm-pd-observability-chjing-workdir-r3/observability_results/prefill_server.log,49,07-30 00:33:49,kv_cache,,"[0;36m(EngineCore_DP0 pid=2277020)[0;0m INFO 07-30 00:33:49 [core.py:272] init engine (profile, create kv cache, warmup model) took 16.48 seconds"
prefill,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260730-002912-luqia-vllm-pd-observability-chjing-workdir-r3/observability_results/prefill_server.log,52,07-30 00:33:50,engine,,[0;36m(EngineCore_DP0 pid=2277020)[0;0m INFO 07-30 00:33:50 [perf.py:965] Instantiated ComponentMetrics [attn] with (num_hidden_layers=32 hidden_size=4096 num_attention_heads=32 activation_byte_size=2 tp_size=1 pp_size=1 num_key_value_heads=8 head_dim=128 cache_byte_size=2 weight_byte_size=2)
