clickhouse_preflight_ok=true version=25.8.28.1 database=vllm_observability
clickhouse_insert table=gpu_samples rows=1
clickhouse_insert table=gpu_samples rows=1
clickhouse_insert table=request_token_series rows=3576
clickhouse_insert table=requests rows=3600
clickhouse_insert table=request_events rows=61187
clickhouse_insert table=request_attempts rows=3600
clickhouse_insert table=workload_windows rows=6
clickhouse_insert table=job_nodes rows=2
clickhouse_insert table=otel_spans rows=7176
clickhouse_insert table=scheduler_iterations rows=29401
clickhouse_insert table=drain_samples rows=6
clickhouse_insert table=jobs rows=1
clickhouse_finalize_success=true
