unix_ns,monotonic_ns,role,endpoint,scrape_ok,scrape_duration_ms,running,waiting,waiting_growth_per_s,kv_cache_usage,prefix_cache_hits,prefix_cache_queries,external_prefix_cache_hits,external_prefix_cache_queries,preemptions,prompt_tokens,generation_tokens,successful_requests,e2e_count,e2e_sum_s,ttft_count,ttft_sum_s,inter_token_count,inter_token_sum_s,iteration_tokens_count,iteration_tokens_sum,error
1785485239887558596,1110609931088043,prefill,http://10.1.0.6:32023/metrics,True,44.3777609616518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485239936727493,1110609980259483,decode,http://10.1.0.3:33023/metrics,True,43.89013699255884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485240388357150,1110610431888595,prefill,http://10.1.0.6:32023/metrics,True,25.053302058950067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485240417347895,1110610460878710,decode,http://10.1.0.3:33023/metrics,True,21.860755048692226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485240889747968,1110610933278453,prefill,http://10.1.0.6:32023/metrics,True,24.561511119827628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485240918129129,1110610961659981,decode,http://10.1.0.3:33023/metrics,True,23.54816789738834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485241391201408,1110611434731860,prefill,http://10.1.0.6:32023/metrics,True,24.23651795834303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485241419398342,1110611462928970,decode,http://10.1.0.3:33023/metrics,True,23.448525927960873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485241892239135,1110611935769690,prefill,http://10.1.0.6:32023/metrics,True,24.242731975391507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485241920382748,1110611963913391,decode,http://10.1.0.3:33023/metrics,True,22.92096195742488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485242392942743,1110612436473068,prefill,http://10.1.0.6:32023/metrics,True,24.13042588159442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485242419933475,1110612463463944,decode,http://10.1.0.3:33023/metrics,True,23.164496989920735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485242893786445,1110612937316983,prefill,http://10.1.0.6:32023/metrics,True,28.561034006997943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485242924777631,1110612968308326,decode,http://10.1.0.3:33023/metrics,True,26.56421298161149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485243394938089,1110613438469737,prefill,http://10.1.0.6:32023/metrics,True,25.971332099288702,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0,32.0,1.0,1.0,1.0,0.426605224609375,1.0,0.426605224609375,0.0,0.0,1.0,33.0,
1785485243424533118,1110613468064143,decode,http://10.1.0.3:33023/metrics,True,23.46968511119485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785485243896406444,1110613939937855,prefill,http://10.1.0.6:32023/metrics,True,25.373716838657856,0.0,0.0,0.0,0.0,16.0,64.0,0.0,64.0,0.0,64.0,2.0,2.0,2.0,0.49113988876342773,2.0,0.49113988876342773,0.0,0.0,2.0,66.0,
1785485243924456693,1110613967987294,decode,http://10.1.0.3:33023/metrics,True,24.559618905186653,1.0,0.0,0.0,0.0014272121788773129,0.0,32.0,31.0,32.0,0.0,32.0,8.0,0.0,0.0,0.0,1.0,0.11263394355773926,7.0,0.39154054899699986,8.0,40.0,
1785485244397632700,1110614441163091,prefill,http://10.1.0.6:32023/metrics,True,25.010707788169384,0.0,0.0,0.0,0.0,16.0,64.0,0.0,64.0,0.0,64.0,2.0,2.0,2.0,0.49113988876342773,2.0,0.49113988876342773,0.0,0.0,2.0,66.0,
