clickhouse_preflight_ok=true version=25.8.28.1 database=vllm_observability
clickhouse_insert table=experiments rows=1
clickhouse_insert table=jobs rows=1
clickhouse_insert table=gpu_samples rows=135
clickhouse_insert table=gpu_samples rows=126
clickhouse_insert table=engine_samples rows=241
clickhouse_insert table=gpu_samples rows=104
clickhouse_insert table=gpu_samples rows=94
clickhouse_insert table=engine_samples rows=241
clickhouse_insert table=gpu_samples rows=103
clickhouse_insert table=gpu_samples rows=93
clickhouse_insert table=engine_samples rows=240
clickhouse_insert table=gpu_samples rows=104
clickhouse_insert table=gpu_samples rows=94
clickhouse_insert table=engine_samples rows=242
clickhouse_insert table=gpu_samples rows=103
clickhouse_insert table=gpu_samples rows=94
clickhouse_insert table=engine_samples rows=240
clickhouse_insert table=gpu_samples rows=104
clickhouse_insert table=gpu_samples rows=94
clickhouse_insert table=engine_samples rows=240
clickhouse_insert table=gpu_samples rows=103
clickhouse_insert table=gpu_samples rows=94
clickhouse_insert table=engine_samples rows=242
clickhouse_insert table=gpu_samples rows=104
clickhouse_insert table=gpu_samples rows=94
clickhouse_insert table=engine_samples rows=240
clickhouse_insert table=gpu_samples rows=103
clickhouse_insert table=gpu_samples rows=95
clickhouse_insert table=engine_samples rows=240
clickhouse_insert table=gpu_samples rows=104
clickhouse_insert table=gpu_samples rows=94
clickhouse_insert table=engine_samples rows=242
clickhouse_insert table=gpu_samples rows=103
clickhouse_insert table=gpu_samples rows=95
clickhouse_insert table=engine_samples rows=240
clickhouse_insert table=gpu_samples rows=104
clickhouse_insert table=gpu_samples rows=95
clickhouse_insert table=engine_samples rows=240
clickhouse_insert table=gpu_samples rows=103
clickhouse_insert table=gpu_samples rows=96
clickhouse_insert table=engine_samples rows=242
clickhouse_insert table=gpu_samples rows=104
clickhouse_insert table=gpu_samples rows=95
clickhouse_insert table=engine_samples rows=240
clickhouse_insert table=gpu_samples rows=103
clickhouse_insert table=gpu_samples rows=95
clickhouse_insert table=engine_samples rows=242
clickhouse_insert table=gpu_samples rows=104
clickhouse_insert table=gpu_samples rows=94
clickhouse_insert table=engine_samples rows=240
clickhouse_insert table=gpu_samples rows=103
clickhouse_insert table=gpu_samples rows=95
clickhouse_insert table=engine_samples rows=240
clickhouse_insert table=gpu_samples rows=103
clickhouse_insert table=gpu_samples rows=95
