unix_ns,monotonic_ns,event,window_id,detail
1785490308494973538,1115678538502808,window_start,baseline_3m,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""180"", ""input_tokens"": ""32"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""32"", ""max_tokens"": ""32"", ""request_rate"": ""1"", ""retries"": ""1"", ""shared_prefix_tokens"": ""16"", ""timeout_s"": ""120"", ""window_id"": ""baseline_3m""}"
1785490488496194625,1115858539724540,sending_stopped,baseline_3m,
1785490489533544127,1115859577073718,window_end,baseline_3m,
1785490489539890865,1115859583420775,inter_window_pause_start,baseline_3m,
1785490494547043234,1115864590573566,inter_window_pause_end,baseline_3m,
1785490494550129669,1115864593659844,window_start,prefill_heavy_3m,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""180"", ""input_tokens"": ""1024"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""64"", ""max_tokens"": ""32"", ""request_rate"": ""2"", ""retries"": ""1"", ""shared_prefix_tokens"": ""768"", ""timeout_s"": ""180"", ""window_id"": ""prefill_heavy_3m""}"
1785490674550371955,1116044593901793,sending_stopped,prefill_heavy_3m,
1785490676255269073,1116046298798583,window_end,prefill_heavy_3m,
1785490676261163863,1116046304693857,inter_window_pause_start,prefill_heavy_3m,
1785490681265310508,1116051308840958,inter_window_pause_end,prefill_heavy_3m,
1785490681269033152,1116051312563217,window_start,decode_heavy_3m,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""180"", ""input_tokens"": ""32"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""64"", ""max_tokens"": ""256"", ""request_rate"": ""1"", ""retries"": ""1"", ""shared_prefix_tokens"": ""16"", ""timeout_s"": ""300"", ""window_id"": ""decode_heavy_3m""}"
1785490861269640821,1116231313170526,sending_stopped,decode_heavy_3m,
1785490875804849552,1116245848379024,window_end,decode_heavy_3m,
1785490875809187318,1116245852717054,inter_window_pause_start,decode_heavy_3m,
1785490880815700908,1116250859231073,inter_window_pause_end,decode_heavy_3m,
1785490880818226663,1116250861756078,window_start,mixed_3m,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""180"", ""input_tokens"": ""1024"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""128"", ""max_tokens"": ""128"", ""request_rate"": ""2"", ""retries"": ""1"", ""shared_prefix_tokens"": ""512"", ""timeout_s"": ""300"", ""window_id"": ""mixed_3m""}"
1785491060819872204,1116430863402263,sending_stopped,mixed_3m,
1785491069413009916,1116439456539428,window_end,mixed_3m,
1785491069419337836,1116439462867658,inter_window_pause_start,mixed_3m,
1785491074426396511,1116444469926866,inter_window_pause_end,mixed_3m,
1785491074429142606,1116444472672755,window_start,queue_pressure_5m,"{""cancel_after_s"": ""0.25"", ""cancel_fraction"": ""0.01"", ""duration_s"": ""300"", ""input_tokens"": ""32"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""512"", ""max_tokens"": ""32"", ""request_rate"": ""8"", ""retries"": ""1"", ""shared_prefix_tokens"": ""16"", ""timeout_s"": ""300"", ""window_id"": ""queue_pressure_5m""}"
