role,source_file,line_number,log_timestamp,category,request_id,message
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l40s-neptune-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r50-rep1-seg1-attempt2/combined_server.log,15,07-31 17:31:22,iteration,,"[0;36m(EngineCore_DP0 pid=2667193)[0;0m INFO 07-31 17:31:22 [core.py:348] Iteration(0): 2 context requests, 256 context tokens, 0 generation requests, 0 generation tokens, iteration elapsed time: 10.18 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l40s-neptune-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r50-rep1-seg1-attempt2/combined_server.log,19,07-31 17:31:22,iteration,,"[0;36m(EngineCore_DP0 pid=2667193)[0;0m INFO 07-31 17:31:22 [core.py:348] Iteration(1): 1 context requests, 128 context tokens, 2 generation requests, 2 generation tokens, iteration elapsed time: 12.44 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l40s-neptune-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r50-rep1-seg1-attempt2/combined_server.log,23,07-31 17:31:22,iteration,,"[0;36m(EngineCore_DP0 pid=2667193)[0;0m INFO 07-31 17:31:22 [core.py:348] Iteration(2): 1 context requests, 128 context tokens, 3 generation requests, 3 generation tokens, iteration elapsed time: 11.63 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l40s-neptune-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r50-rep1-seg1-attempt2/combined_server.log,30,07-31 17:31:22,iteration,,"[0;36m(EngineCore_DP0 pid=2667193)[0;0m INFO 07-31 17:31:22 [core.py:348] Iteration(3): 1 context requests, 128 context tokens, 4 generation requests, 4 generation tokens, iteration elapsed time: 12.02 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l40s-neptune-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r50-rep1-seg1-attempt2/combined_server.log,31,07-31 17:31:22,iteration,,"[0;36m(EngineCore_DP0 pid=2667193)[0;0m INFO 07-31 17:31:22 [core.py:348] Iteration(4): 1 context requests, 128 context tokens, 5 generation requests, 5 generation tokens, iteration elapsed time: 11.42 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l40s-neptune-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r50-rep1-seg1-attempt2/combined_server.log,38,07-31 17:31:22,iteration,,"[0;36m(EngineCore_DP0 pid=2667193)[0;0m INFO 07-31 17:31:22 [core.py:348] Iteration(5): 2 context requests, 256 context tokens, 6 generation requests, 6 generation tokens, iteration elapsed time: 24.15 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l40s-neptune-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r50-rep1-seg1-attempt2/combined_server.log,42,07-31 17:31:22,iteration,,"[0;36m(EngineCore_DP0 pid=2667193)[0;0m INFO 07-31 17:31:22 [core.py:348] Iteration(6): 0 context requests, 0 context tokens, 8 generation requests, 8 generation tokens, iteration elapsed time: 7.78 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l40s-neptune-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r50-rep1-seg1-attempt2/combined_server.log,49,07-31 17:31:22,iteration,,"[0;36m(EngineCore_DP0 pid=2667193)[0;0m INFO 07-31 17:31:22 [core.py:348] Iteration(7): 2 context requests, 256 context tokens, 8 generation requests, 8 generation tokens, iteration elapsed time: 17.61 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l40s-neptune-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r50-rep1-seg1-attempt2/combined_server.log,53,07-31 17:31:22,iteration,,"[0;36m(EngineCore_DP0 pid=2667193)[0;0m INFO 07-31 17:31:22 [core.py:348] Iteration(8): 1 context requests, 128 context tokens, 10 generation requests, 10 generation tokens, iteration elapsed time: 12.62 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l40s-neptune-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r50-rep1-seg1-attempt2/combined_server.log,60,07-31 17:31:22,iteration,,"[0;36m(EngineCore_DP0 pid=2667193)[0;0m INFO 07-31 17:31:22 [core.py:348] Iteration(9): 2 context requests, 256 context tokens, 11 generation requests, 11 generation tokens, iteration elapsed time: 18.23 ms"
