unix_ts,host,gpu_index,gpu_uuid,gpu_power_w
1785676633.444225,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,28.0
1785676633.444225,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.89
1785676633.444225,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.97
1785676633.444225,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.46
1785676633.944683,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,28.09
1785676633.944683,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.94
1785676633.944683,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.92
1785676633.944683,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.51
1785676634.445149,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,28.09
1785676634.445149,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.94
1785676634.445149,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.92
1785676634.445149,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.51
1785676634.945614,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,28.19
1785676634.945614,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.94
1785676634.945614,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.87
1785676634.945614,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56
1785676635.446076,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,28.19
1785676635.446076,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.94
1785676635.446076,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.87
1785676635.446076,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56
1785676635.946541,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,28.19
1785676635.946541,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.94
1785676635.946541,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88
1785676635.946541,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56
1785676636.447006,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,28.19
1785676636.447006,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.94
1785676636.447006,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88
1785676636.447006,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56
1785676636.947471,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,28.1
1785676636.947471,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.94
1785676636.947471,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88
1785676636.947471,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56
