actual_benchmark_duration_s,actual_failed_requests,actual_measured_saturated,actual_output_token_throughput_tps,actual_p99_itl_ms,actual_p99_tpot_ms,actual_p99_ttft_ms,actual_request_throughput_rps,actual_saturation_assessment,actual_successful_requests,actual_throughput_ratio,actual_total_token_throughput_tps,actual_tpot_slo_ok,actual_ttft_slo_ok,combined_avg_power_w,combined_energy_j,configured_request_rate_rps,covered_gpu_stream_count,decision_mode,decision_status,decode_ganymede_gpu_mem_clock_avg_mhz,decode_ganymede_gpu_mem_clock_max_mhz,decode_ganymede_gpu_mem_util_avg_pct,decode_ganymede_gpu_mem_util_max_pct,decode_ganymede_gpu_memory_used_avg_mib,decode_ganymede_gpu_memory_used_max_mib,decode_ganymede_gpu_power_avg_w,decode_ganymede_gpu_power_limit_avg_w,decode_ganymede_gpu_power_limit_max_w,decode_ganymede_gpu_power_max_w,decode_ganymede_gpu_pstate_mode,decode_ganymede_gpu_sm_clock_avg_mhz,decode_ganymede_gpu_sm_clock_max_mhz,decode_ganymede_gpu_sm_clock_min_mhz,decode_ganymede_gpu_temperature_avg_c,decode_ganymede_gpu_temperature_max_c,decode_ganymede_gpu_util_avg_pct,decode_ganymede_gpu_util_max_pct,decode_ganymede_network_rx_bytes,decode_ganymede_network_tx_bytes,decode_ganymede_samples,decode_ganymede_target_freq_mhz,decode_gpu,decode_instances,decode_predicted_p99_tpot_ms,decode_predicted_p_saturated,decode_request_rate_per_instance_rps,decode_target_freq_mhz,energy_per_request_j,ganymede_energy_j,gpu_stream_count,input_len,kv_bytes_per_token,kv_effective_bandwidth_gbps,kv_total_bytes,min_gpu_coverage_ratio,neptune_energy_j,num_candidates,num_safe,output_len,predicted_cluster_power_w,predicted_dispatch_ms,predicted_kv_transfer_ms,prefill_gpu,prefill_instances,prefill_neptune_gpu_mem_clock_avg_mhz,prefill_neptune_gpu_mem_clock_max_mhz,prefill_neptune_gpu_mem_util_avg_pct,prefill_neptune_gpu_mem_util_max_pct,prefill_neptune_gpu_memory_used_avg_mib,prefill_neptune_gpu_memory_used_max_mib,prefill_neptune_gpu_power_avg_w,prefill_neptune_gpu_power_limit_avg_w,prefill_neptune_gpu_power_limit_max_w,prefill_neptune_gpu_power_max_w,prefill_neptune_gpu_pstate_mode,prefill_neptune_gpu_sm_clock_avg_mhz,prefill_neptune_gpu_sm_clock_max_mhz,prefill_neptune_gpu_sm_clock_min_mhz,prefill_neptune_gpu_temperature_avg_c,prefill_neptune_gpu_temperature_max_c,prefill_neptune_gpu_util_avg_pct,prefill_neptune_gpu_util_max_pct,prefill_neptune_network_rx_bytes,prefill_neptune_network_tx_bytes,prefill_neptune_samples,prefill_neptune_target_freq_mhz,prefill_predicted_p99_queue_plus_prefill_ms,prefill_predicted_p99_ttft_ms,prefill_predicted_p_saturated,prefill_request_rate_per_instance_rps,prefill_target_freq_mhz,recommended_is_safe,seq,workload_id
12.23,0,,26.16,75.21,64.76,291.18,0.82,INCONCLUSIVE_FINITE_POISSON,10,0.82,51.5,True,True,235.85569,9169.60961,1.0,8,safe_min_power,OK,6251.0,6251.0,32.786885,100.0,18667.459016,18677.0,31.461475,72.0,72.0,56.1,P0,360.0,360.0,360.0,42.47541,46.0,33.42623,100.0,60508472.0,7591567.0,61,360.0,l4,1,154.4,0.079869,1.0,360,916.960961,3108.787879,8,32,131072,24.076,4194304,1.0,6060.821731,100,90,32,147.8,0.0,1.393688,l40s,1,9001.0,9001.0,0.151515,10.0,37815.69697,37817.0,61.412879,350.0,350.0,74.39,P0,480.0,480.0,480.0,28.015152,29.0,0.212121,14.0,295078.0,48886064.0,66,480.0,112.4,113.8,0.024298,1.0,480,True,1,baseline_short
,,,,,,,,,,,,,,,,8.0,,safe_min_power,OK,,,,,,,,,,,,,,,,,,,,,,,l4,2,133.1,0.081364,4.0,360,,,,32,131072,24.076,4194304,,,100,90,32,207.9,0.0,1.393688,l40s,1,,,,,,,,,,,,,,,,,,,,,,,185.6,187.0,0.166341,8.0,210,True,2,decode_scale_to_2
,,,,,,,,,,,,,,,,16.0,,,NOT_EXECUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,decode_scale_to_3
,,,,,,,,,,,,,,,,20.0,,,NOT_EXECUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,decode_scale_to_4
,,,,,,,,,,,,,,,,32.0,,,NOT_EXECUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,short_r32_capacity
,,,,,,,,,,,,,,,,16.0,,,NOT_EXECUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,balanced_prefill_scale_to_3
,,,,,,,,,,,,,,,,24.0,,,NOT_EXECUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,balanced_prefill_scale_to_4
,,,,,,,,,,,,,,,,4.0,,,NOT_EXECUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,decode_heavy_capacity
,,,,,,,,,,,,,,,,8.0,,,NOT_EXECUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,long_prompt_capacity
,,,,,,,,,,,,,,,,32.0,,,NOT_EXECUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,balanced_extreme_capacity
,,,,,,,,,,,,,,,,50.0,,,NOT_EXECUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,extreme_short_rps_capacity
,,,,,,,,,,,,,,,,1.0,,,NOT_EXECUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,long_decode_capacity
,,,,,,,,,,,,,,,,2.0,,,NOT_EXECUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,very_long_prompt_capacity
,,,,,,,,,,,,,,,,1.0,,,NOT_EXECUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,recovery_short
