unix_ts,host,role,instance_id,gpu_id,gpu_uuid,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785753832.848004545,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717874353399,140020626120,0, 16.25, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785753833.469791203,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717874353399,140020626120,0, 16.25, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785753834.096757539,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717874492740,140020704628,0, 16.30, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753834.728359950,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717874659480,140020864154,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753835.348401688,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717874659480,140020864154,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753835.968501822,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717874907984,140021124040,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753836.592082905,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717874907984,140021124040,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753837.226541588,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717875079948,140021302762,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753837.846591833,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717875333120,140021571326,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753838.467039843,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717875333120,140021571326,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753839.090281650,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717875549466,140021798018,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753839.732250460,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717881128900,140022032656,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753840.352001243,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717881128900,140022032656,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753840.970367926,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717892822816,140022289682,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753841.593513084,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717892822816,140022289682,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753842.229366114,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717909995648,140022855136,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753842.848929140,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717932711144,140023744396,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753843.469174962,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717932711144,140023744396,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753844.091856220,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717947991658,140024255048,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753844.727547200,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717947991658,140024255048,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
1785753845.348414993,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4717948319498,140024551206,0, 16.34, 360, 0, 0, 72.00, 405, 37, 23034, P8
