unix_ts,event,seq,workload_id,policy
1785753948.850558643,warmup_start,1,baseline_short,kv_autoscale_warmup_8l4_r2
1785753978.866161450,warmup_end,1,baseline_short,kv_autoscale_warmup_8l4_r2
1785753978.880525109,workload_start,1,baseline_short,kv_autoscale_warmup_8l4_r2
1785754015.099393767,workload_end,1,baseline_short,kv_autoscale_warmup_8l4_r2
1785754085.026390982,warmup_start,2,decode_scale_to_2,kv_autoscale_warmup_8l4_r2
1785754115.044554331,warmup_end,2,decode_scale_to_2,kv_autoscale_warmup_8l4_r2
1785754115.057346423,workload_start,2,decode_scale_to_2,kv_autoscale_warmup_8l4_r2
1785754146.964987456,workload_end,2,decode_scale_to_2,kv_autoscale_warmup_8l4_r2
1785754216.871523346,warmup_start,3,decode_scale_to_3,kv_autoscale_warmup_8l4_r2
1785754246.885756838,warmup_end,3,decode_scale_to_3,kv_autoscale_warmup_8l4_r2
1785754246.897096059,workload_start,3,decode_scale_to_3,kv_autoscale_warmup_8l4_r2
1785754279.397635089,workload_end,3,decode_scale_to_3,kv_autoscale_warmup_8l4_r2
1785754343.808935332,warmup_start,4,decode_scale_to_4,kv_autoscale_warmup_8l4_r2
1785754373.823833617,warmup_end,4,decode_scale_to_4,kv_autoscale_warmup_8l4_r2
1785754373.836365366,workload_start,4,decode_scale_to_4,kv_autoscale_warmup_8l4_r2
1785754400.937948904,workload_end,4,decode_scale_to_4,kv_autoscale_warmup_8l4_r2
1785754495.591810681,warmup_start,5,short_r32_capacity,kv_autoscale_warmup_8l4_r2
1785754525.607821835,warmup_end,5,short_r32_capacity,kv_autoscale_warmup_8l4_r2
1785754525.622166183,workload_start,5,short_r32_capacity,kv_autoscale_warmup_8l4_r2
1785754556.046850592,workload_end,5,short_r32_capacity,kv_autoscale_warmup_8l4_r2
1785754650.679890151,warmup_start,6,balanced_prefill_scale_to_3,kv_autoscale_warmup_8l4_r2
1785754680.696379247,warmup_end,6,balanced_prefill_scale_to_3,kv_autoscale_warmup_8l4_r2
1785754680.710602731,workload_start,6,balanced_prefill_scale_to_3,kv_autoscale_warmup_8l4_r2
1785754729.645158308,workload_end,6,balanced_prefill_scale_to_3,kv_autoscale_warmup_8l4_r2
1785754824.023254930,warmup_start,7,balanced_prefill_scale_to_4,kv_autoscale_warmup_8l4_r2
1785754854.039040843,warmup_end,7,balanced_prefill_scale_to_4,kv_autoscale_warmup_8l4_r2
1785754854.054259110,workload_start,7,balanced_prefill_scale_to_4,kv_autoscale_warmup_8l4_r2
