unix_ts,host,role,instance_id,gpu_id,gpu_uuid,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785754404.126993338,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,480,108073745122,721705139836,0, 64.60, 1755, 0, 0, 350.00, 9001, 29, 46068, P0
1785754404.719759319,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,480,108073748132,721705150587,0, 62.40, 480, 0, 0, 350.00, 9001, 29, 46068, P0
1785754405.322847486,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,480,108073933520,721705310765,0, 60.21, 480, 0, 0, 350.00, 9001, 29, 46068, P0
1785754405.908979377,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,480,108073933520,721705310765,0, 60.21, 480, 0, 0, 350.00, 9001, 29, 46068, P0
1785754406.492131611,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,480,108074245456,721705603045,0, 60.21, 480, 0, 0, 350.00, 9001, 29, 46068, P0
1785754407.077565992,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,480,108074245456,721705603045,0, 60.21, 480, 0, 0, 350.00, 9001, 29, 46068, P0
1785754407.674514579,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,480,108074850454,721706149580,0, 60.21, 480, 0, 0, 350.00, 9001, 29, 46068, P0
1785754408.261206658,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,480,108075257494,721706525568,0, 60.21, 480, 0, 0, 350.00, 9001, 29, 46068, P0
1785754408.850313108,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,480,108075257494,721706525568,0, 60.21, 480, 0, 0, 350.00, 9001, 29, 46068, P0
1785754409.437294447,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,480,108075756386,721706981902,0, 60.21, 480, 0, 0, 350.00, 9001, 29, 46068, P0
