unix_ts,host,gpu_index,gpu_uuid,gpu_power_w
1785776637.798603,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785776637.798603,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.75
1785776637.798603,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.53
1785776637.798603,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.18
1785776638.299110,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785776638.299110,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.75
1785776638.299110,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.53
1785776638.299110,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.18
1785776638.799615,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785776638.799615,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.75
1785776638.799615,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.53
1785776638.799615,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.08
1785776639.300125,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785776639.300125,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.75
1785776639.300125,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.53
1785776639.300125,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.08
1785776639.800639,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.13
1785776639.800639,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.88
1785776639.800639,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.41
1785776639.800639,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.1
1785776640.301154,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.13
1785776640.301154,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.88
1785776640.301154,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.41
1785776640.301154,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.1
1785776640.801677,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.14
1785776640.801677,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.93
1785776640.801677,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.42
1785776640.801677,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.09
1785776641.302190,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.14
1785776641.302190,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.93
1785776641.302190,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.42
1785776641.302190,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.09
1785776641.802704,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.14
1785776641.802704,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.93
1785776641.802704,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.42
1785776641.802704,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.21
1785776642.303224,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.14
1785776642.303224,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.93
1785776642.303224,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.42
1785776642.303224,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.21
1785776642.803741,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.14
1785776642.803741,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.75
1785776642.803741,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.41
1785776642.803741,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.22
1785776643.304251,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.14
1785776643.304251,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.75
1785776643.304251,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.41
1785776643.304251,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.22
1785776643.804756,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.14
1785776643.804756,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.75
1785776643.804756,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.54
1785776643.804756,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.22
