unix_ts,event,seq,workload_id,policy
1785776782.226897095,warmup_start,1,baseline_1p1d,latency_only_autoscale
1785776812.244702998,warmup_end,1,baseline_1p1d,latency_only_autoscale
1785776812.258445903,workload_start,1,baseline_1p1d,latency_only_autoscale
1785776836.882123464,workload_end,1,baseline_1p1d,latency_only_autoscale
1785776930.835122228,warmup_start,2,long_prompt_slo_scaleout,latency_only_autoscale
1785776960.851582721,warmup_end,2,long_prompt_slo_scaleout,latency_only_autoscale
1785776960.865560414,workload_start,2,long_prompt_slo_scaleout,latency_only_autoscale
1785776997.439027873,workload_end,2,long_prompt_slo_scaleout,latency_only_autoscale
1785777013.084977960,warmup_start,3,recovery_scalein,latency_only_autoscale
1785777043.100990517,warmup_end,3,recovery_scalein,latency_only_autoscale
1785777043.114953993,workload_start,3,recovery_scalein,latency_only_autoscale
1785777066.787905172,workload_end,3,recovery_scalein,latency_only_autoscale
