unix_ts,host,role,instance_id,gpu_id,gpu_uuid,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785776839.312039847,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108183406297,743363394947,0, 31.87, 210, 0, 0, 350.00, 405, 24, 46068, P0
1785776839.896256518,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108183406297,743363394947,0, 56.49, 2520, 0, 0, 350.00, 9001, 26, 46068, P0
1785776840.491485148,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108183677583,743363677975,0, 56.49, 2520, 0, 0, 350.00, 9001, 26, 46068, P0
1785776841.088482539,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108184390469,743364371686,0, 81.24, 2520, 0, 0, 350.00, 9001, 26, 46068, P0
1785776841.677355753,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108184390469,743364371686,0, 81.24, 2520, 0, 0, 350.00, 9001, 26, 46068, P0
1785776842.265474130,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108185305649,743365252762,0, 81.61, 2520, 0, 0, 350.00, 9001, 26, 46068, P0
1785776842.846340927,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108185305649,743365252762,0, 81.60, 2520, 0, 0, 350.00, 9001, 26, 46068, P0
1785776843.429311289,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108185868119,743365806740,0, 81.60, 2520, 0, 0, 350.00, 9001, 26, 46068, P0
1785776844.014946127,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108185868119,743365806740,0, 81.48, 2520, 0, 0, 350.00, 9001, 26, 46068, P0
1785776844.619490796,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108186640977,743366551871,0, 81.48, 2520, 0, 0, 350.00, 9001, 26, 46068, P0
1785776845.200067990,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108187298307,743367190975,0, 81.73, 2520, 0, 0, 350.00, 9001, 27, 46068, P0
1785776845.782029059,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108187298307,743367190975,0, 82.09, 2520, 0, 0, 350.00, 9001, 27, 46068, P0
1785776846.372040030,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108187716813,743367610135,0, 82.09, 2520, 0, 0, 350.00, 9001, 27, 46068, P0
1785776846.952462758,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108187716813,743367610135,0, 82.00, 2520, 0, 0, 350.00, 9001, 27, 46068, P0
1785776847.538953476,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108188475215,743368356280,0, 82.00, 2520, 0, 0, 350.00, 9001, 27, 46068, P0
1785776848.126708991,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108188475215,743368356280,0, 81.75, 2520, 0, 0, 350.00, 9001, 27, 46068, P0
1785776848.709375959,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108189229745,743369077180,0, 81.75, 2520, 0, 0, 350.00, 9001, 27, 46068, P0
1785776849.289968231,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108189762241,743369566720,0, 81.75, 2520, 0, 0, 350.00, 9001, 27, 46068, P0
1785776849.871323387,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108189762241,743369566720,0, 81.65, 2520, 0, 0, 350.00, 9001, 27, 46068, P0
1785776850.453878927,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108190129721,743369907101,0, 81.65, 2520, 0, 0, 350.00, 9001, 27, 46068, P0
1785776851.042733431,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108190129721,743369907101,0, 81.78, 2520, 0, 0, 350.00, 9001, 27, 46068, P0
1785776851.632358877,neptune,prefill,prefill-2,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,2520,108190325153,743370100941,0, 81.78, 2520, 0, 0, 350.00, 9001, 27, 46068, P0
