unix_ts,host,role,instance_id,gpu_id,gpu_uuid,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785852902.089599505,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762171104926,170998818928,0, 16.30, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852902.713669593,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762171157342,170998884351,0, 16.25, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852903.340624095,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762171157342,170998884351,0, 16.25, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852903.963712130,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762171254460,170999007343,0, 16.30, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852904.607190983,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762171440588,170999236021,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852905.230728477,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762171440588,170999236021,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852905.851905836,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762171562382,170999386805,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852906.475066744,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762171562382,170999386805,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852907.117068396,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762171705102,170999571593,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852907.756498881,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762171892528,170999771649,0, 16.30, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852908.377334450,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762171892528,170999771649,0, 16.30, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852908.998214388,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762172455274,171000278635,0, 16.30, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852909.630496487,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762173248046,171000973301,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852910.251560171,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762173248046,171000973301,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852910.874194398,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762174155670,171001767629,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852911.496030642,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762174155670,171001767629,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852912.139177005,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762174313346,171001905061,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852912.760369645,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762174683764,171002245457,0, 16.30, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852913.383254383,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762174683764,171002245457,0, 16.30, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852914.006198169,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762175171622,171002698237,0, 16.30, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852914.647586093,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762175171622,171002698237,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852915.268639131,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762175382826,171002897885,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852915.889600387,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762175884404,171003372833,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852916.511701181,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762175884404,171003372833,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852917.143753060,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762176713954,171004162147,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852917.765718697,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762176713954,171004162147,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852918.395946153,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762177143584,171004577045,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852919.020092111,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762177589954,171005002883,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852919.660259019,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762177589954,171005002883,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852920.283287678,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762177784406,171005187697,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852920.907050221,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178144628,171005521509,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852921.529774126,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178144628,171005521509,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852922.167754775,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178268801,171005646352,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852922.790336995,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178268801,171005646352,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852923.414827378,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178303825,171005683816,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852924.037766075,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178373259,171005754736,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852924.667461289,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178373259,171005754736,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852925.290866901,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178506391,171005888320,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852925.911224121,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178506391,171005888320,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852926.533370668,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178610003,171005993296,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852927.168046044,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178747327,171006117118,0, 16.39, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852927.791990723,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178747327,171006117118,0, 16.39, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852928.416247717,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178877527,171006237722,0, 16.39, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852929.039394487,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178877527,171006237722,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852929.674650178,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762178990621,171006362618,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852930.296387379,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762179001605,171006376920,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852930.916305701,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762179001605,171006376920,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852931.539526032,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762179624275,171007023536,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852932.176365266,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762180029637,171007439728,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852932.798285705,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762180029637,171007439728,0, 16.30, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852933.417977918,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762180306033,171007726882,0, 16.30, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852934.044742245,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762180306033,171007726882,0, 16.30, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852934.672364317,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762180442341,171007855158,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852935.295455790,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762180830403,171008234036,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852935.918498233,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762180830403,171008234036,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852936.558777000,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762181091939,171008483018,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852937.186396252,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762181091939,171008483018,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852937.810356748,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762181481197,171008819892,0, 16.29, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852938.434330756,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762182339931,171009556484,0, 16.29, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852939.060364542,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762182339931,171009556484,0, 16.29, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852939.693108983,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762182501935,171009697180,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852940.317879185,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762182501935,171009697180,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
1785852940.941675959,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,2040,4762182545193,171009745206,0, 16.34, 210, 0, 0, 72.00, 405, 37, 23034, P8
