proxy_start hostname=ganymede http=0.0.0.0:30228 registry=0.0.0.0:31228
registry_add role=decode http=10.1.0.3:33228 zmq=10.1.0.3:34228 tp_size=4
registry_add role=prefill http=10.1.0.6:32228 zmq=10.1.0.6:34228 tp_size=4
route count=0 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_f8e3704c757c4d068e0e83e53f292eda prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=1 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_e557a4a528584d2fbec129291de72cb1 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=2 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_c65593041b564da19f4b87fed42137e6 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=3 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_576336607f294a87980eaab2f7d79dbc prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=4 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_557b761ee7074951813bf9e96833de5d prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=5 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_b9a89987377c411999e8e1d8d310ee1b prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=6 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_1d17087846b64a0ebd560e4ef417d221 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=7 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_1fc580aa1f9c49c0b910d3b512f516bc prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=8 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_d763846186af4a7392592a81f05cc8e0 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=9 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_0db17f05f132408389e2ad33225add55 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=10 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_6e1ca61296e0469baa6217493dc284df prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=11 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_f6bc40aa92c147d7856263542f5721d5 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=12 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_544238e907a5439296ec51835eed127f prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=13 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_2618b708e2784acc9dc5ace4832d6087 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=14 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_be588cb8402549c686962229d3458576 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=15 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_33e69d26207c44a5ae3a601f79bb1e3d prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=16 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_39100754f162479dab2249938bc75b10 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=17 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_2d592297a6204a0aa08f3009ece52b9a prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=18 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_1f4584c5cc42438eab24213b267306d7 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=19 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_a4f1ac55b83048518eb828791ab0a173 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=20 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_f3dc395a76ca4cbf8b7ad506e2c0d494 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=21 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_1b91c44a739441eea44118ecc15cc02b prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=22 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_2d7baed464244c128245a5c2d2747a7f prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=23 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_f7b55651fe9145e99710342a723de2d4 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=24 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_c82641248ae645658748337fbb927c3e prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=25 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_c0bdfb9507604f33b05dfd2904cdb8bb prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=26 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_7fc0dca7de5249b1aa97b8acd4be9e07 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=27 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_5b4a1e6ae3b149758e6b48de816ef663 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=28 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_1a8bddd18bcc4c6880fdb8fe9ef010ef prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=29 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_7b88f3fb02cd4d018cbf62aa08afe888 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=30 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_b1c967741d774ebfb7e5ab99fe46d0aa prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
route count=31 request_id=___prefill_addr_10.1.0.6:34228___decode_addr_10.1.0.3:34228_e01515c9eb3b40fa82a5e8039f822c48 prefill_http=10.1.0.6:32228 decode_http=10.1.0.3:33228
