unix_ts,host,gpu_index,gpu_uuid,gpu_power_w
1785922507.908042,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.14
1785922507.908042,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.79
1785922507.908042,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.51
1785922507.908042,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922508.408585,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.14
1785922508.408585,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.89
1785922508.408585,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.51
1785922508.408585,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922508.909091,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922508.909091,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.89
1785922508.909091,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.5
1785922508.909091,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922509.409598,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922509.409598,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.89
1785922509.409598,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.5
1785922509.409598,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922509.910085,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922509.910085,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.89
1785922509.910085,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.38
1785922509.910085,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922510.410596,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922510.410596,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.79
1785922510.410596,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.38
1785922510.410596,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922510.911102,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922510.911102,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.79
1785922510.911102,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.75
1785922510.911102,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922511.411583,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922511.411583,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.91
1785922511.411583,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.75
1785922511.411583,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922511.912091,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922511.912091,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.91
1785922511.912091,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.75
1785922511.912091,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922512.412600,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922512.412600,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.79
1785922512.412600,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.75
1785922512.412600,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922512.913108,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922512.913108,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.79
1785922512.913108,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.38
1785922512.913108,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922513.413640,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922513.413640,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.96
1785922513.413640,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.38
1785922513.413640,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922513.914151,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922513.914151,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.96
1785922513.914151,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.38
1785922513.914151,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922514.414661,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922514.414661,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,81.2
1785922514.414661,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.38
1785922514.414661,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922514.915172,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922514.915172,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,81.2
1785922514.915172,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.38
1785922514.915172,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922515.415714,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.15
1785922515.415714,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.91
1785922515.415714,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.38
1785922515.415714,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
1785922515.916211,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.16
1785922515.916211,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,80.91
1785922515.916211,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,78.75
1785922515.916211,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.4
