unix_ts,host,role,instance_id,gpu_id,gpu_uuid,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785933466.421245588,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108567919030,851572608117,0, 78.62, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933466.421245588,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108567919030,851572608117,0, 78.77, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933467.178931111,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108567969990,851572666899,0, 78.62, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933467.178931111,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108567969990,851572666899,0, 78.77, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933467.921720068,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108567969990,851572666899,0, 78.50, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933467.921720068,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108567969990,851572666899,0, 78.90, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933468.664081726,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108568048618,851572748221,0, 78.50, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933468.664081726,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108568048618,851572748221,0, 78.63, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933469.407856198,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108568061142,851572788641,0, 78.50, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933469.407856198,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108568061142,851572788641,0, 78.73, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933470.161178149,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108568065610,851572802771,0, 79.72, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933470.161178149,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108568065610,851572802771,0, 78.73, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933470.903845610,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108568065610,851572802771,0, 78.50, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933470.903845610,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108568065610,851572802771,0, 79.36, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933484.147808940,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569087790,851573929272,0, 80.06, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933484.147808940,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569087790,851573929272,0, 79.36, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933485.237399926,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569104582,851575071907,0, 79.94, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933485.237399926,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569104582,851575071907,0, 79.24, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933485.988902865,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569119002,851576204528,0, 79.70, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933485.988902865,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569119002,851576204528,0, 80.46, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933486.733853087,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569124184,851576229487,0, 80.19, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933486.733853087,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569124184,851576229487,0, 80.34, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933487.474878770,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569132126,851576271946,0, 79.23, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933487.474878770,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569132126,851576271946,0, 78.51, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933488.218831083,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569132126,851576271946,0, 79.23, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933488.218831083,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569132126,851576271946,0, 78.51, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933488.962224603,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569138004,851576295752,0, 79.35, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933488.962224603,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569138004,851576295752,0, 79.24, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933489.707964051,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569142670,851576304451,0, 79.60, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933489.707964051,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569142670,851576304451,0, 79.26, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933490.452277672,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569142670,851576304451,0, 79.82, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933490.452277672,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569142670,851576304451,0, 78.65, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933491.194867141,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569151296,851576324570,0, 79.82, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933491.194867141,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569151296,851576324570,0, 78.65, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933491.940106159,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569156292,851576340232,0, 80.06, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933491.940106159,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569156292,851576340232,0, 79.51, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933492.692640384,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569161408,851576358773,0, 79.84, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933492.692640384,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569161408,851576358773,0, 79.39, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933493.432855552,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569161408,851576358773,0, 80.45, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933493.432855552,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569161408,851576358773,0, 78.65, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933494.179293752,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569170244,851576394466,0, 80.45, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933494.179293752,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569170244,851576394466,0, 78.65, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933494.918480206,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569176286,851576420744,0, 80.82, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933494.918480206,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569176286,851576420744,0, 79.26, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933495.658738894,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569181216,851576444565,0, 79.84, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933495.658738894,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569181216,851576444565,0, 79.14, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933496.400243829,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569181216,851576444565,0, 79.84, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933496.400243829,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569181216,851576444565,0, 79.14, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933497.155167067,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569192000,851576488672,0, 80.67, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933497.155167067,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569192000,851576488672,0, 79.14, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933497.898848339,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569196798,851576502342,0, 81.38, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933497.898848339,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569196798,851576502342,0, 79.63, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933498.655428787,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569196798,851576502342,0, 80.53, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933498.655428787,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569196798,851576502342,0, 79.02, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933499.403826443,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569201716,851576514399,0, 80.53, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933499.403826443,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569201716,851576514399,0, 78.77, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933500.150826803,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569210288,851576538424,0, 81.51, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933500.150826803,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569210288,851576538424,0, 78.77, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933500.893807555,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569215404,851576557444,0, 81.41, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933500.893807555,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569215404,851576557444,0, 78.90, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933501.646903208,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569215404,851576557444,0, 79.96, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933501.646903208,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569215404,851576557444,0, 78.65, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933502.393601919,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569220466,851576579145,0, 79.96, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933502.393601919,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569220466,851576579145,0, 78.90, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933503.145179295,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569229356,851576610082,0, 80.09, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933503.145179295,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569229356,851576610082,0, 78.90, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933503.890092530,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569234286,851576630216,0, 80.09, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933503.890092530,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569234286,851576630216,0, 78.90, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933504.644925754,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569234286,851576630216,0, 79.84, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933504.644925754,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569234286,851576630216,0, 78.53, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933505.390268748,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569240950,851576669405,0, 79.84, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933505.390268748,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569240950,851576669405,0, 79.02, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933506.143846080,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569249786,851576711482,0, 80.21, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933506.143846080,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569249786,851576711482,0, 79.02, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933506.881152808,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569249786,851576728502,0, 80.06, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933506.881152808,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569249786,851576728502,0, 79.00, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933507.628027906,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569254704,851576728502,0, 79.21, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933507.628027906,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569254704,851576728502,0, 78.61, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933508.363941536,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569259502,851576743909,0, 79.21, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933508.363941536,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569259502,851576743909,0, 79.00, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933509.110818487,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569268194,851576771766,0, 79.11, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933509.110818487,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569268194,851576771766,0, 79.00, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933509.857568089,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569268194,851576771766,0, 78.99, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933509.857568089,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569268194,851576771766,0, 79.02, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933510.607017126,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569273058,851576785416,0, 78.84, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933510.607017126,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569273058,851576785416,0, 78.77, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933511.349652584,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569279504,851576805387,0, 78.84, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933511.349652584,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569279504,851576805387,0, 79.51, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933512.098726737,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569292562,851576859926,0, 79.09, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933512.098726737,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569292562,851576859926,0, 79.51, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933512.846083775,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569292562,851576859926,0, 78.99, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933512.846083775,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569292562,851576859926,0, 79.39, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933513.599050662,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569298584,851576891081,0, 78.99, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933513.599050662,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569298584,851576891081,0, 78.65, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933514.337999864,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569306580,851576927780,0, 78.99, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933514.337999864,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569306580,851576927780,0, 78.90, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933515.085637395,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569311246,851576939306,0, 79.11, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933515.085637395,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569311246,851576939306,0, 78.90, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933515.829967365,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569311246,851576939306,0, 79.11, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933515.829967365,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569311246,851576939306,0, 78.77, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933516.579920563,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569317952,851576953361,0, 79.23, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933516.579920563,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569317952,851576953361,0, 78.65, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933517.322799471,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569324868,851576972444,0, 79.23, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933517.322799471,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569324868,851576972444,0, 79.36, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933518.067172964,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569324868,851576972444,0, 79.60, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933518.067172964,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569324868,851576972444,0, 79.36, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933518.806027514,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569329984,851576989510,0, 79.60, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933518.806027514,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569329984,851576989510,0, 79.22, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933519.557667401,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569336966,851577016537,0, 79.11, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933519.557667401,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569336966,851577016537,0, 78.73, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933520.299991537,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569344242,851577048702,0, 79.11, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933520.299991537,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569344242,851577048702,0, 79.00, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933521.053635177,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569344242,851577048702,0, 79.11, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933521.053635177,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569344242,851577048702,0, 79.00, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933521.801285167,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569349238,851577075404,0, 79.36, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933521.801285167,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569349238,851577075404,0, 78.87, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933522.554047254,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569356274,851577110705,0, 79.23, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933522.554047254,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569356274,851577110705,0, 78.87, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933523.296654181,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569363554,851577134024,0, 79.23, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933523.296654181,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569363554,851577134024,0, 79.02, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933524.045117241,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569363554,851577134024,0, 79.35, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933524.045117241,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569363554,851577134024,0, 79.02, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933524.789075285,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569368406,851577144730,0, 79.45, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933524.789075285,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569368406,851577144730,0, 78.90, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933525.535244184,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,0,210,108569376092,851577163499,0, 78.84, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933525.535244184,neptune,prefill,prefill-2,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,0,210,108569376092,851577163499,0, 78.77, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933526.277884986,neptune,prefill,prefill-2,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,1,210,108569376092,851577163499,0, 78.84, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
