unix_ts,host,gpu_index,gpu_uuid,gpu_power_w
1786006818.415038,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.36
1786006818.415038,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.3
1786006818.915628,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.36
1786006818.915628,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.19
1786006819.416144,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.24
1786006819.416144,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.19
1786006819.916659,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.24
1786006819.916659,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.07
1786006820.417149,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.29
1786006820.417149,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.07
1786006820.917659,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.29
1786006820.917659,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.18
1786006821.418174,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.41
1786006821.418174,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.18
1786006821.918696,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.41
1786006821.918696,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.18
1786006822.419214,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.37
1786006822.419214,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.18
1786006822.919732,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.37
1786006822.919732,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.19
1786006823.420255,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.37
1786006823.420255,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.19
1786006823.920770,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.37
